date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_282,Gap_Up_aVWAP_263,Gap_Up_aVWAP_239,Gap_Up_aVWAP_236,Gap_Up_aVWAP_231,Gap_Up_aVWAP_229,Gap_Up_aVWAP_218,Gap_Up_aVWAP_175,Gap_Up_aVWAP_156,Gap_Up_aVWAP_136,Gap_Down_aVWAP_254,Gap_Down_aVWAP_250,Gap_Down_aVWAP_197,Gap_Down_aVWAP_109,Gap_Down_aVWAP_99,Gap_Down_aVWAP_96,Gap_Down_aVWAP_92,Gap_Down_aVWAP_59,aVWAP_OB_bull_254,aVWAP_OB_bull_199,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-06-21 00:00:00+00:00,1.74,1.75,1.68,1.74,927200,,,,,,,,,,,,,,,,,,,,,#000000,-1.0,1.73324,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,927200.0,False,False,False,False
2024-06-24 00:00:00+00:00,1.73,1.79,1.68,1.75,576679,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-576679,-22614.86274509804,False,False,False,False,913454.0784313726,False,False,False,False
2024-06-25 00:00:00+00:00,1.73,1.755,1.68,1.72,712957,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-576679,-44342.86812764322,False,False,False,False,905591.4479046521,False,False,False,False
2024-06-26 00:00:00+00:00,1.79,1.81,1.735,1.74,1062276,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.297820823244553,-23.143664245359158,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,485597,-23560.91251479447,False,False,False,False,911735.9401436854,False,False,False,False
2024-06-27 00:00:00+00:00,1.72,1.85,1.72,1.8,824334,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.299872811445624,-21.102773301910652,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-338737,-35920.759082841745,False,False,False,False,908308.4130792272,False,False,False,False
2024-06-28 00:00:00+00:00,1.79,1.79,1.72,1.76,463035,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.17417042253366,-13.290955491898224,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,124298,-29637.670491357756,False,False,False,False,890846.710605532,False,False,False,False
2024-07-01 00:00:00+00:00,1.79,1.8,1.76,1.76,154652,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.757035496592366,-8.509353316023812,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,124298,-23600.977530912358,False,False,False,False,861976.329797472,False,False,False,False
2024-07-02 00:00:00+00:00,1.69,1.8,1.68,1.8,1055723,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.98660832302682,-8.509353316023812,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-931425,-59201.91958852364,False,False,False,False,869574.2384328652,False,False,False,False
2024-07-03 00:00:00+00:00,1.72,1.77,1.7,1.72,365375,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.80725247227834,-8.509353316023812,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-566050,-79078.31489877761,False,False,False,False,849801.7192786352,False,False,False,False
2024-07-05 00:00:00+00:00,1.78,1.81,1.73,1.81,844635,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3277668310095,-8.509353316023812,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,278585,-65052.302549805936,False,False,False,False,849599.1028363359,False,False,False,False
