date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_160,Gap_Up_aVWAP_133,Gap_Up_aVWAP_22,aVWAP_OB_bull_144,aVWAP_OB_bull_120,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,1.65,1.7,1.44,1.68,2039572,,,,,,#000000,1.0,1.4833333,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2039572.0,False,False,False,False
2022-01-07 00:00:00+00:00,1.59,1.7,1.5,1.64,501994,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-501994,-37184.74074074074,False,False,False,False,1925677.3333333333,False,False,False,False
2022-01-14 00:00:00+00:00,1.59,1.7,1.5,1.59,833182,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-501994,-71615.0562414266,False,False,False,False,1844751.7530864198,False,False,False,False
2022-01-21 00:00:00+00:00,1.55,1.7,1.51,1.56,1088075,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1590069,-184093.12614946906,False,False,False,False,1788701.6232281665,False,False,False,False
2022-01-28 00:00:00+00:00,1.44,1.62,1.42,1.53,1122599,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,1.4933333333333334,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2712668,-371394.9686569158,False,False,False,False,1739360.6881742284,False,False,False,False
2022-02-04 00:00:00+00:00,1.47,1.6,1.44,1.47,528740,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,1.4965352198024353,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.023366920334158,-46.19666095812162,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2183928,-505656.67468232947,False,False,False,False,1649685.081642804,False,False,False,False
2022-02-11 00:00:00+00:00,1.5,1.57,1.48,1.48,867485,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,1.5034685062023654,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.115374143445518,-40.602831288865985,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1316443,-565714.9210021569,False,False,False,False,1591744.334854448,False,False,False,False
2022-02-18 00:00:00+00:00,1.515,1.56,1.48,1.54,843227,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,1.5071967136528666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.866513705594262,-35.53640240131318,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-473216,-558863.1490760712,False,False,False,False,1536298.6063467113,False,False,False,False
2022-02-25 00:00:00+00:00,0.97,1.52,0.8662,1.5,4087295,,,,,,"rgba(239, 83, 80, 0.5)",-1.0,0.62429285,,1.2063942968774262,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.764253090106564,-34.21555237950942,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-4560511,-855281.5084037697,False,False,False,False,1725261.3021728809,False,False,False,False
2022-03-04 00:00:00+00:00,0.99,1.07,0.9,0.99,1392300,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,1.1654136659525505,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.980990933003142,-34.51494163395925,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-3168211,-1026609.6188923793,False,False,False,False,1700597.5020119266,False,False,False,False
