date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_123,Gap_Down_aVWAP_105,aVWAP_OB_bull_170,aVWAP_OB_bull_136,aVWAP_OB_bull_70,aVWAP_OB_bull_39,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.13,11.35,10.935,11.02,1190581,,,,,,,#000000,1.0,17.17375,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1190581.0,False,False,False,False
2022-01-07 00:00:00+00:00,11.09,12.04,11.08,11.14,2771968,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-2771968,-205330.96296296295,False,False,False,False,1307720.7777777778,False,False,False,False
2022-01-14 00:00:00+00:00,11.58,11.865,10.76,11.0,2297200,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.54867256637164,-116.3716814159291,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-474768,-225289.26200274346,False,False,False,False,1381015.5349794237,False,False,False,False
2022-01-21 00:00:00+00:00,10.67,11.39,10.52,11.39,1952831,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.282174911508598,-113.28109944931836,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2427599,-388423.31666920695,False,False,False,False,1423372.236092059,False,False,False,False
2022-01-28 00:00:00+00:00,12.48,12.49,10.15,10.43,3783663,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,11.706666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.694020385267386,-99.07833652782699,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1356064,-259202.03395296942,False,False,False,False,1598208.5889741285,False,False,False,False
2022-02-04 00:00:00+00:00,12.16,13.4,11.96,12.43,5370488,,,,,,,#000000,0.0,0.0,,12.341335638152936,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.52990476221004,-89.84242533006102,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-4014424,-537366.6240305272,False,False,False,False,1877636.6934945632,False,False,False,False
2022-02-11 00:00:00+00:00,11.99,12.385,11.695,12.19,5528732,,,,,,,#000000,0.0,0.0,,12.19000432016131,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.427350376232205,-82.9554080806711,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-9543156,-1204462.1333615992,False,False,False,False,2148088.197680151,False,False,False,False
2022-02-18 00:00:00+00:00,12.36,12.64,11.87,11.96,3169653,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,12.208438822791367,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.43909961853074,-75.55567999084323,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-6373503,-1587354.049408888,False,False,False,False,2223759.6645186585,False,False,False,False
2022-02-25 00:00:00+00:00,12.08,12.4,11.17,12.24,2574416,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,12.161956240082707,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.76427755530391,-70.44350798595121,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-8947919,-2132581.0827860073,False,False,False,False,2249734.2078876467,False,False,False,False
2022-03-04 00:00:00+00:00,11.51,12.11,11.39,11.87,2401895,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,12.104568754641114,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.09723003081042,-68.09593318945484,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-11349814,-2815339.0766537106,False,False,False,False,2261005.377673747,False,False,False,False
