date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_176,Gap_Up_aVWAP_138,Gap_Down_aVWAP_34,Gap_Down_aVWAP_24,Gap_Down_aVWAP_17,aVWAP_OB_bull_171,aVWAP_OB_bull_136,aVWAP_OB_bull_95,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,90.1886580887,90.7579886448,88.8864818919,89.1504670747,2442102,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2442102.0,False,False,False,False
2022-01-07 00:00:00+00:00,94.7600475537,94.9693602581,90.4565783504,90.4565783504,3203618,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,3203618,237305.03703703702,False,False,False,False,2498510.5925925924,False,False,False,False
2022-01-14 00:00:00+00:00,98.8207140198,99.3398095268,93.5544063761,94.8186551109,2824165,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,6027783,666229.330589849,False,False,False,False,2522633.141289437,False,False,False,False
2022-01-21 00:00:00+00:00,95.4549657324,100.5789407371,94.7349300291,100.0263551974,4610323,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.3660288314359,41.83819912971674,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1417460,721876.0468424528,False,False,False,False,2677276.834527257,False,False,False,False
2022-01-28 00:00:00+00:00,94.6595774555,98.0085807266,91.8129246752,93.2111335408,5498724,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.78184209381439,35.022900328019546,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-4081264,366087.8952244934,False,False,False,False,2886272.9208585713,False,False,False,False
2022-02-04 00:00:00+00:00,98.2180375346,99.1643916471,93.9425448477,94.2974276399,6889573,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.9187178746006,32.885641505576615,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2808309,546993.1622449013,False,False,False,False,3182813.66746164,False,False,False,False
2022-02-11 00:00:00+00:00,99.8488084606,102.1259730439,98.3025334375,98.9447022996,3993230,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,100.09243831399999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7052873179118,32.263577945125405,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,6801539,1010292.8539304641,False,False,False,False,3242844.506908926,False,False,False,False
2022-02-18 00:00:00+00:00,97.0012965328,100.1952416626,96.832304727,99.654467884,3540917,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,99.11354754736881,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.07354395038564,28.297925108455047,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,3260622,1176983.9017874668,False,False,False,False,3264923.9508415987,False,False,False,False
2022-02-25 00:00:00+00:00,96.6464137406,97.9138522842,91.5766595664,96.2830813581,5482101,,,,,,,,,"rgba(38, 166, 154, 0.5)",-1.0,87.968155,,96.4598095922515,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3581572858713,25.245318259247952,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-2221479,925245.9090624694,False,False,False,False,3429159.287816295,False,False,False,False
2022-03-04 00:00:00+00:00,97.094242026,99.4601273073,94.8044030573,94.8044030573,5136671,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,96.82123587149522,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.02335870446262,23.484907881145674,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2915192,1072649.3232059903,False,False,False,False,3555641.6368669397,False,False,False,False
2022-03-11 00:00:00+00:00,97.5843182628,98.6151682783,92.7765013877,95.8014547116,4498089,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,96.72792185622583,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.70660475843904,22.61021817881604,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,7413281,1542325.7437092501,False,False,False,False,3625452.5526545737,False,False,False,False
2022-03-18 00:00:00+00:00,102.4597318604,102.7047699788,97.0249553856,97.8124572007,4276368,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,97.50160139276923,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.43342092611341,22.61021817881604,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,11689649,2293979.3182493057,False,False,False,False,3673668.511717198,False,False,False,False
2022-03-25 00:00:00+00:00,101.1922933168,103.7356199942,99.4770264879,102.9920560486,4262915,,,,,,,,,"rgba(38, 166, 154, 0.5)",1.0,100.74253,,99.24663044085969,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23195153256201,22.61021817881604,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,7426734,2674183.3687493573,False,False,False,False,3717316.399738146,False,False,False,False
2022-04-01 00:00:00+00:00,98.8517568064,101.7668654566,98.4123781113,100.761364212,3824817,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,99.09321050102268,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.75645246415765,22.422335494986058,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,3601917,2742904.378471627,False,False,False,False,3725279.40716495,False,False,False,False
