date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_49,Gap_Down_aVWAP_3,aVWAP_OB_bear_183,aVWAP_OB_bear_163,aVWAP_OB_bear_135,aVWAP_OB_bear_58,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,46.36,46.64,45.5,46.02,133226,,,,,,,#000000,-1.0,43.56,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,133226.0,False,False,False,False
2022-01-07 00:00:00+00:00,50.66,51.1,44.65,46.35,402355,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,402355,29804.074074074073,False,False,False,False,153161.48148148146,False,False,False,False
2022-01-14 00:00:00+00:00,49.78,52.52,49.28,51.12,349088,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.86181393538344,26.878162709225478,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,53267,31542.068587105623,False,False,False,False,167674.55692729764,False,False,False,False
2022-01-21 00:00:00+00:00,45.33,49.18,45.33,49.18,194946,,46.61333333333333,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.62723119106978,26.878162709225478,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-141679,18710.878321394095,False,False,False,False,169694.66382157188,False,False,False,False
2022-01-28 00:00:00+00:00,44.76,46.51,42.94,44.43,214360,,45.63049343685815,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,44.73666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.99252257150175,37.297709088370254,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-356039,-9048.371924635096,False,False,False,False,173003.2072421962,False,False,False,False
2022-02-04 00:00:00+00:00,46.63,47.38,44.5113,44.52,228360,,45.82504963831639,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,45.477939154921096,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.86443667621288,32.73748499595379,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-127679,-17835.82585614361,False,False,False,False,177103.71040944092,False,False,False,False
2022-02-11 00:00:00+00:00,45.22,47.83,44.7601,46.26,271587,,45.85839875762485,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,45.652364831321364,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.36591162955106,27.663913350609505,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-399266,-46089.9128297626,False,False,False,False,184102.4726013342,False,False,False,False
2022-02-18 00:00:00+00:00,46.69,48.64,45.4,45.41,220541,,46.06367617067063,,,,,"rgba(38, 166, 154, 0.5)",1.0,47.81012,,45.94905490044014,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.458695876112024,25.86919712967888,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-178725,-55914.73410163204,False,False,False,False,186801.62277901312,False,False,False,False
2022-02-25 00:00:00+00:00,46.37,46.63,43.52,46.46,160054,,45.99455825975877,,,,,#000000,0.0,0.0,,45.88438609321504,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.68478473165222,23.959515123421482,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-338779,-76867.64268669633,False,False,False,False,184820.3173879751,False,False,False,False
2022-03-04 00:00:00+00:00,44.03,47.31,43.65,45.85,211756,,45.85383571760597,,,,,#000000,0.0,0.0,,45.74052295925943,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.85505742149847,19.918483797106603,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-550535,-111954.11359879289,False,False,False,False,186815.553137014,False,False,False,False
