date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_893,Gap_Up_aVWAP_864,Gap_Up_aVWAP_841,Gap_Up_aVWAP_827,Gap_Up_aVWAP_785,Gap_Up_aVWAP_761,Gap_Up_aVWAP_755,Gap_Up_aVWAP_753,Gap_Up_aVWAP_684,Gap_Up_aVWAP_664,Gap_Down_aVWAP_836,Gap_Down_aVWAP_816,Gap_Down_aVWAP_815,Gap_Down_aVWAP_734,Gap_Down_aVWAP_708,Gap_Down_aVWAP_705,Gap_Down_aVWAP_699,Gap_Down_aVWAP_669,Gap_Down_aVWAP_660,Gap_Down_aVWAP_511,aVWAP_OB_bull_819,aVWAP_OB_bull_511,aVWAP_OB_bull_335,aVWAP_OB_bull_302,aVWAP_OB_bull_183,aVWAP_OB_bull_2,aVWAP_OB_bear_809,aVWAP_OB_bear_727,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,33.3772105571,33.9245274834,33.0123326062,33.0123326062,154063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,154063.0,False,False,False,False
2022-01-04 00:00:00+00:00,33.8333079957,34.4208527161,33.2677471718,33.7238446104,496942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,496942,19487.92156862745,False,False,False,False,167509.23529411765,False,False,False,False
2022-01-05 00:00:00+00:00,33.2495032742,34.5630638974,33.2495032742,34.179942049,545307,,,,,,,,,,,,,,,,,,,,,,,,,,33.68735681526667,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,1.0,34.563065,33.249504,0.0,0.0,0.0,0.0,0.0,80.5094130662771,-27.96234773489158,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-48365,16827.022683583236,False,False,False,False,182324.83391003462,False,False,False,False
2022-01-06 00:00:00+00:00,34.4444785634,34.6086736413,33.3954544546,34.0248689199,561231,,,,,,,,,,,,,,,,,,,,,,,,,,33.921771751954736,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.59256964137657,-27.96234773489158,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,512866,36279.53159795252,False,False,False,False,197183.89924689604,False,False,False,False
2022-01-07 00:00:00+00:00,35.101258875,35.1651125164,34.2852093378,34.6634053339,537313,,,,,,,,,,,,,,,,,,,,,,,,,,34.225346844886815,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.46629366729628,-25.013264181996817,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1050179,76040.29506469949,False,False,False,False,210522.29535486092,False,False,False,False
2022-01-10 00:00:00+00:00,35.0830149774,35.3293075943,34.5356980511,35.2016003115,427235,,,,,,,,,,,,,,,,,,,,,,,,,,34.381572357002405,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.83888415851999,-21.403037731630562,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,622944,97487.49917980931,False,False,False,False,219020.83279192523,False,False,False,False
2022-01-11 00:00:00+00:00,35.5573563136,35.9587220596,35.3384295431,35.5299904673,386001,,,,,,,,,,,,,,,,,,,,,,,,,,34.57583802960223,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.26193325664275,-16.426831034220413,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1008945,133230.93058452266,False,False,False,False,225569.07464322227,False,False,False,False
2022-01-12 00:00:00+00:00,36.0134537522,36.5151609347,35.7854050329,35.8310147767,535436,,,,,,,,,,,,,,,,,,,,,,,,,,34.849384267903105,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.06377991014224,-10.982979816483429,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1544381,188570.14899297277,False,False,False,False,237720.7187748606,False,False,False,False
2022-01-13 00:00:00+00:00,36.3600878055,36.9074047319,35.9860879059,36.1958927276,462974,,,,,,,,,,,,,,,,,,,,,,,,,,35.059531622105396,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.79237076895781,-5.64574725610909,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,2007355,259895.04511089541,False,False,False,False,246554.1807836896,False,False,False,False
2022-01-14 00:00:00+00:00,37.0168681171,37.181063195,35.2016003115,36.4695511908,372221,,,,,,,,,,,,,,,,,,,,,,,,,,35.19635128861278,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72139259321742,-0.24819501264788357,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,2379576,343019.7884398799,False,False,False,False,251482.29134119197,False,False,False,False
