date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_176,Gap_Up_aVWAP_74,Gap_Down_aVWAP_160,Gap_Down_aVWAP_114,Gap_Down_aVWAP_105,Gap_Down_aVWAP_35,Gap_Down_aVWAP_34,aVWAP_OB_bull_120,aVWAP_OB_bull_53,aVWAP_OB_bear_156,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,174.1072760855,177.7939537793,173.6170263922,173.631733883,337847299,,,,,,,,,,,#000000,1.0,177.50084,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,337847299.0,False,False,False,False
2022-01-07 00:00:00+00:00,168.8125793977,179.3725577918,167.6948100969,174.3622059261,482162362,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-482162362,-35715730.518518515,False,False,False,False,348537303.6666667,False,False,False,False
2022-01-14 00:00:00+00:00,169.6950288457,173.7248813247,164.8905818511,165.782836293,422454950,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32900432914304,-60.8225108228576,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-59707412,-37492892.10973936,False,False,False,False,354012684.8765433,False,False,False,False
2022-01-21 00:00:00+00:00,159.2429053841,169.1753641707,159.1350504515,168.1654498025,397684401,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.573261723311964,-60.35486883068228,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-457391813,-68596515.8793883,False,False,False,False,357247626.81161416,False,False,False,False
2022-01-28 00:00:00+00:00,167.0084605263,167.028070514,151.6832551131,156.89951185,688670659,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,161.90659538446667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.058517622500155,-50.98405699072614,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,231278846,-46383526.110544726,False,False,False,False,381797481.0477909,False,False,False,False
2022-02-04 00:00:00+00:00,169.2439991278,172.8031138514,166.2044510292,166.8417756305,458553231,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,164.90863059475288,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.537845309360065,-42.82102354125925,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,689832077,8150963.008754879,False,False,False,False,387483092.15536195,False,False,False,False
2022-02-11 00:00:00+00:00,165.5624340908,173.4262570098,164.9733836849,169.7054219458,412902045,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,165.72344491276215,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.786864749955477,-38.806552801034506,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,276930032,28060523.674773034,False,False,False,False,389365977.55126107,False,False,False,False
2022-02-18 00:00:00+00:00,164.2468881842,170.1766622705,163.1571449333,164.3156107316,364011266,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,165.7493224679145,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.26098623639886,-36.40366403286807,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-87081234,19531504.58775281,False,False,False,False,387487850.76968616,False,False,False,False
2022-02-25 00:00:00+00:00,161.8415990267,163.6480202716,149.2261028333,161.9692266147,413588646,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,164.4205266747145,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.084160704755895,-35.4352843077228,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-500669880,-19001931.307636283,False,False,False,False,389421243.00896865,False,False,False,False
2022-03-04 00:00:00+00:00,160.1922578902,165.8275067735,159.0141570783,160.0842653157,418753837,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,164.00388856256356,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.083517845003385,-35.08229822081956,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-919423717,-85699841.35892248,False,False,False,False,391594027.749045,False,False,False,False
