date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_176,Gap_Up_aVWAP_70,Gap_Up_aVWAP_54,Gap_Down_aVWAP_184,Gap_Down_aVWAP_92,Gap_Down_aVWAP_38,Gap_Down_aVWAP_35,Gap_Down_aVWAP_34,Gap_Down_aVWAP_24,Gap_Down_aVWAP_19,Gap_Down_aVWAP_14,aVWAP_OB_bear_153,aVWAP_OB_bear_124,aVWAP_OB_bear_109,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,39.73,40.68,39.44,39.44,1638,,,,,,,,,,,,,,,#000000,1.0,38.16972,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1638.0,False,False,False,False
2022-01-07 00:00:00+00:00,40.69,40.69,38.83,39.73,3992,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,3992,295.7037037037037,False,False,False,False,1812.3703703703704,False,False,False,False
2022-01-14 00:00:00+00:00,39.0025,40.1202,36.8,39.0,9354,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.33760955514391,-33.98075700185238,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-5362,-123.38545953360767,False,False,False,False,2371.0096021947875,False,False,False,False
2022-01-21 00:00:00+00:00,40.63,40.84,39.32,39.75,7647,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.52770580911609,-33.98075700185238,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,2285,55.01346339480769,False,False,False,False,2761.8237057359142,False,False,False,False
2022-01-28 00:00:00+00:00,40.64,41.109,38.5,39.71,19894,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.40725457106542,-33.98075700185238,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,22179,1693.827280921118,False,False,False,False,4030.873801607328,False,False,False,False
2022-02-04 00:00:00+00:00,37.74,42.17,37.27,40.7501,15824,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,39.06,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.58692014492486,-33.98075700185238,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,6355,2039.0993341862204,False,False,False,False,4904.43870519197,False,False,False,False
2022-02-11 00:00:00+00:00,38.37,39.19,36.4555,37.55,14682,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,38.552327312659806,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.66282009309532,-33.98075700185238,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,21037,3446.3512353576116,False,False,False,False,5628.70250480738,False,False,False,False
2022-02-18 00:00:00+00:00,38.0,38.96,37.865,38.22501,3219,,,,,,,,,,,,,,,#000000,0.0,0.0,,38.52585684210527,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.78881336835659,-33.98075700185238,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,17818,4510.917810516306,False,False,False,False,5450.206022969796,False,False,False,False
2022-02-25 00:00:00+00:00,38.56,38.56,36.4394,37.8,17460,,,,,,,,,,,,,,,#000000,0.0,0.0,,38.29638038487839,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8019070419523,-33.98075700185238,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,35278,6789.960935663246,False,False,False,False,6339.8203916387,False,False,False,False
2022-03-04 00:00:00+00:00,35.2,38.51,35.2,38.42,4015,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,38.151415096618365,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.09682966271402,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,31263,8602.778644132635,False,False,False,False,6167.611473739536,False,False,False,False
2022-03-11 00:00:00+00:00,31.75,33.84,31.3481,33.8,4451,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,35.014222802076524,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.81004375116914,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,26812,9951.609855678365,False,False,False,False,6040.455068277349,False,False,False,False
2022-03-18 00:00:00+00:00,35.14,35.15,31.53,31.64,7203,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,35.313712658106624,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.490219211057564,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,34015,11734.08319970219,False,False,False,False,6126.569507664212,False,False,False,False
2022-03-25 00:00:00+00:00,34.17,35.14,34.17,35.14,904,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,35.33721655791939,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.26761323116817,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,33111,13317.558518242768,False,False,False,False,5739.712507096492,False,False,False,False
2022-04-01 00:00:00+00:00,34.92,36.44,34.26,34.26,12627,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,35.62719002041828,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.04613999294475,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,45738,15719.072702076637,False,False,False,False,6249.88195101527,False,False,False,False
2022-04-08 00:00:00+00:00,33.14,34.15,32.8,34.15,2282,,,,,,,,,,,33.36333333333333,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,35.53851181732648,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.32239353004641,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,43456,17773.659909330217,False,False,False,False,5955.964769458584,False,False,False,False
2022-04-15 00:00:00+00:00,32.91,33.1012,32.06,32.42,4200,,,,,,,,,,,32.92730741540677,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,35.33597334418209,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.65105732936289,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,39256,19364.94436049094,False,False,False,False,5825.893305054245,False,False,False,False
2022-04-22 00:00:00+00:00,31.224,33.56,31.06,31.06,3430,,,,,,,,,,,32.58842278719398,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,35.14523949780214,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.10872927343591,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,35826,20584.281815269387,False,False,False,False,5648.419726902078,False,False,False,False
2022-04-29 00:00:00+00:00,30.02,31.14,30.02,31.14,6265,,,,,,,,,,,31.738312418866293,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,34.688499169622254,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.338904476559684,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,29561,21249.22390302721,False,False,False,False,5694.092339724146,False,False,False,False
2022-05-06 00:00:00+00:00,27.275,30.02,26.84,30.02,3099,,,,,,,,,,,31.144539064121187,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,34.380429628856916,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.80795931220135,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,26462,21635.355465765937,False,False,False,False,5501.863277522358,False,False,False,False
2022-05-13 00:00:00+00:00,25.681,26.26,24.23,26.18,15241,,,,,,,,,,25.390333333333338,28.603766414616956,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,32.72524091660902,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.396795344399838,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,11221,20863.921727561054,False,False,False,False,6223.280812520701,False,False,False,False
2022-05-20 00:00:00+00:00,27.41,28.28,24.021,26.04,10244,,,,,,,,,,25.864648420639593,28.138395031388935,,,,"rgba(239, 83, 80, 0.5)",-1.0,25.100124,,30.242130585672744,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.800462862923638,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,21465,20908.446044038013,False,False,False,False,6521.111863445094,False,False,False,False
2022-05-27 00:00:00+00:00,29.58,29.755,27.06,27.41,2101,,,,,,,,,,26.088083206457384,28.167982551605427,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,30.32584063237081,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.384860087902297,-33.98075700185238,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,23566,21105.301892627787,False,False,False,False,6193.696169856568,False,False,False,False
