date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_176,Gap_Up_aVWAP_158,Gap_Up_aVWAP_40,Gap_Up_aVWAP_29,Gap_Up_aVWAP_10,Gap_Down_aVWAP_101,aVWAP_OB_bear_151,aVWAP_OB_bear_119,aVWAP_OB_bear_89,aVWAP_OB_bear_35,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.4741667348,12.6954044969,11.2554375834,11.6564410276,9721446,,,,,,,,,,,#000000,-1.0,10.220854,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,9721446.0,False,False,False,False
2022-01-07 00:00:00+00:00,12.7318593554,12.895906219,11.405813875,11.5744175958,12916571,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,12916571,956783.037037037,False,False,False,False,9958121.925925925,False,False,False,False
2022-01-14 00:00:00+00:00,14.4361239936,14.513590568,12.4766753454,12.6042673504,13010342,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,25926913,2806422.2935528117,False,False,False,False,10184212.301783264,False,False,False,False
2022-01-21 00:00:00+00:00,13.023498224,14.8280137232,12.9141336483,14.654853145,10255565,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.15318676750168,40.691684366153936,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,15671348,3759379.753289641,False,False,False,False,10189497.686836354,False,False,False,False
2022-01-28 00:00:00+00:00,14.1809399836,14.6639668596,12.2488324794,12.5040164894,10581814,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4069262048594,36.60885812702034,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,26253162,5425585.845638556,False,False,False,False,10218558.154478107,False,False,False,False
2022-02-04 00:00:00+00:00,15.03762916,15.4750874628,13.9075285443,14.2447359861,10945233,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.19263101267455,35.00481892081068,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,37198395,7779127.264480144,False,False,False,False,10272385.920813061,False,False,False,False
2022-02-11 00:00:00+00:00,15.9945691974,16.0674789145,13.7936071113,14.9920605867,10850388,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.61288698522142,34.89569144805651,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,48048783,10762064.726370502,False,False,False,False,10315200.889641723,False,False,False,False
2022-02-18 00:00:00+00:00,15.5024286067,16.5668193398,14.882696011,15.7029303288,10168596,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.35297933325101,33.08401947576283,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,37880187,12770814.524417132,False,False,False,False,10304341.268186782,False,False,False,False
2022-02-25 00:00:00+00:00,16.5049372174,16.5186077893,15.0740840185,16.1859572049,9349370,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.80852150721105,32.86984462711018,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,47229557,15323313.9670529,False,False,False,False,10233602.6557285,False,False,False,False
2022-03-04 00:00:00+00:00,17.9540178455,18.1362921384,16.5049372174,16.5049372174,12677150,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.56793263102874,32.86984462711018,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,59906707,18625787.525048982,False,False,False,False,10414606.162711574,False,False,False,False
