date,Close,High,Low,Open,Volume,aVWAP_peak_883,aVWAP_peak_858,aVWAP_peak_824,aVWAP_peak_803,aVWAP_peak_782,aVWAP_peak_703,aVWAP_valley_896,aVWAP_valley_870,aVWAP_valley_835,aVWAP_valley_817,aVWAP_valley_793,aVWAP_valley_744,aVWAP_valley_674,aVWAP_valley_649,aVWAP_valley_626,aVWAP_valley_577,aVWAP_valley_530,aVWAP_valley_511,aVWAP_valley_488,aVWAP_valley_468,aVWAP_valley_441,aVWAP_valley_424,aVWAP_valley_422,aVWAP_valley_421,aVWAP_valley_408,aVWAP_valley_368,aVWAP_valley_367,aVWAP_valley_352,aVWAP_valley_328,aVWAP_valley_287,aVWAP_valley_242,aVWAP_valley_210,aVWAP_valley_183,aVWAP_OB_bull_817,aVWAP_OB_bull_530,aVWAP_OB_bull_183,aVWAP_OB_bear_703,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,3.5673419441,3.659684583,3.5479013886,3.5965027775,967745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,967745.0,False,False,False,False
2022-01-04 00:00:00+00:00,3.5576216664,3.659684583,3.5479013886,3.5479013886,750110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-750110,-29416.07843137255,False,False,False,False,959210.2941176471,False,False,False,False
2022-01-05 00:00:00+00:00,3.4701391664,3.6742649997,3.4536146941,3.615943333,1073360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1823470,-99771.13417916186,False,False,False,False,963686.7531718571,False,False,False,False
2022-01-06 00:00:00+00:00,3.2951741664,3.4074433747,3.2854538886,3.3826566664,1457170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3280640,-224511.0897015477,False,False,False,False,983039.0373611961,False,False,False,False
2022-01-07 00:00:00+00:00,3.3243349997,3.353495833,3.2562930553,3.2854538886,1114511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,3.6293731053762315,-46.67307465340512,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2166129,-300652.96853678115,False,False,False,False,988194.8006019336,False,False,False,False
2022-01-10 00:00:00+00:00,3.3632161108,3.3632161108,3.2562930553,3.3437755553,879781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.139261474035653,-40.90730882132155,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1286348,-339307.6756529858,False,False,False,False,983943.2790097009,False,False,False,False
2022-01-11 00:00:00+00:00,3.4701391664,3.5090202775,3.3632161108,3.3632161108,1172287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,22.011122128449436,-30.512450252526673,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-114061,-330474.4726862021,False,False,False,False,991329.3072838302,False,False,False,False
2022-01-12 00:00:00+00:00,3.5770622219,3.5819223608,3.4749993053,3.5090202775,745041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,34.34500994113702,-20.16198308421573,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,630980,-292770.37571811577,False,False,False,False,981670.9422923076,False,False,False,False
2022-01-13 00:00:00+00:00,3.528460833,3.6450069636,3.5187405552,3.6256636108,774821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,40.425509253181076,-15.84037324495489,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-143841,-286930.0080428955,False,False,False,False,973559.179849472,False,False,False,False
2022-01-14 00:00:00+00:00,3.4312580553,3.5479013886,3.3633133136,3.528460833,1131032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,41.091378504209636,-15.84037324495489,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1274873,-325672.8704725859,False,False,False,False,979734.5845612574,False,False,False,False
