date,Close,High,Low,Open,Volume,aVWAP_peak_809,aVWAP_peak_776,aVWAP_peak_745,aVWAP_peak_722,aVWAP_peak_710,aVWAP_peak_685,aVWAP_peak_652,aVWAP_peak_612,aVWAP_peak_594,aVWAP_peak_561,aVWAP_peak_524,aVWAP_peak_506,aVWAP_peak_475,aVWAP_peak_451,aVWAP_peak_415,aVWAP_peak_414,aVWAP_peak_376,aVWAP_peak_358,aVWAP_peak_324,aVWAP_peak_288,aVWAP_valley_810,aVWAP_valley_781,aVWAP_valley_764,aVWAP_valley_747,aVWAP_OB_bear_612,aVWAP_OB_bear_288,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-05-06 00:00:00+00:00,20.0,20.2,18.4,18.5,15225318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,15225318.0,False,False,False,False
2022-05-09 00:00:00+00:00,18.0,19.1817,17.8,18.99,5325826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5325826,-208855.92156862744,False,False,False,False,14837102.62745098,False,False,False,False
2022-05-10 00:00:00+00:00,17.55,18.06,16.25,18.06,5151743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10477569,-611550.5520953479,False,False,False,False,14457284.60284506,False,False,False,False
2022-05-11 00:00:00+00:00,16.55,17.94,16.37,17.67,1453243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11930812,-1055443.1578955303,False,False,False,False,13947322.187047213,False,False,False,False
2022-05-12 00:00:00+00:00,17.47,17.73,16.01,16.47,1098405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,8.280184142337038,-42.40983120285772,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10832407,-1438853.5046447252,False,False,False,False,13443443.081672814,False,False,False,False
2022-05-13 00:00:00+00:00,17.72,18.46,17.08,17.4,897173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.531966049957354,-36.22237468433559,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9935234,-1772044.896619442,False,False,False,False,12951432.490234664,False,False,False,False
2022-05-16 00:00:00+00:00,17.0,17.71,16.76,17.67,472538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,18.56800501356279,-34.129722134174,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10407772,-2110700.8614578955,False,False,False,False,12462064.078852912,False,False,False,False
2022-05-17 00:00:00+00:00,17.23,17.5,16.34,17.19,1333650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,22.083506884495804,-31.487371341050935,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9074122,-2383776.2002242524,False,False,False,False,12025655.683603778,False,False,False,False
2022-05-18 00:00:00+00:00,16.51,17.23,16.3,17.08,488156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,22.779799119463657,-31.356267312322128,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9562278,-2665286.0747252624,False,False,False,False,11573204.715619316,False,False,False,False
2022-05-19 00:00:00+00:00,17.52,17.66,16.32,16.32,953434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,28.490337244787874,-26.399208439780217,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8608844,-2898366.777677213,False,False,False,False,11156743.118928364,False,False,False,False
