date,Close,High,Low,Open,Volume,aVWAP_peak_180,aVWAP_peak_162,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_114,aVWAP_valley_101,aVWAP_valley_95,aVWAP_valley_91,aVWAP_valley_80,aVWAP_valley_60,aVWAP_valley_53,aVWAP_valley_44,aVWAP_OB_bull_171,aVWAP_OB_bull_114,aVWAP_OB_bull_95,aVWAP_OB_bull_60,aVWAP_OB_bear_162,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,143.8184043557,147.5431031632,143.8164162592,146.5858346947,78838440,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,78838440.0,False,False,False,False
2022-01-07 00:00:00+00:00,136.1890840067,145.7374145099,134.9808183541,143.6156185119,146251080,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-146251080,-10833413.333333332,False,False,False,False,83831968.88888888,False,False,False,False
2022-01-14 00:00:00+00:00,138.9545262492,142.3332962643,132.3480815535,134.2949250588,131091320,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.992262463444279,-69.9806561586107,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15159760,-11153883.456790121,False,False,False,False,87332661.563786,False,False,False,False
2022-01-21 00:00:00+00:00,129.3177254514,137.575781321,129.2272670603,135.786991488,110850420,,,,,,,,,,,,,,,,,,,,,,#000000,,,,9.61809152074077,-68.0066627744155,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-126010180,-19661757.274805665,False,False,False,False,89074717.7442463,False,False,False,False
2022-01-28 00:00:00+00:00,132.4961947433,132.5767126519,123.900112765,125.2774163232,191734100,,,,,,,,,,,,,,,,,,,,,,#000000,,129.6576733867333,,14.550804267179206,-62.64550765765428,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,65723920,-13336892.291486725,False,False,False,False,96679116.42985769,False,False,False,False
2022-02-04 00:00:00+00:00,142.1648050853,151.194739424,131.4867387415,133.399287582,281164060,,,,,,,,,,,,,,,,,,,,,,#000000,,139.19132308583625,,25.022911011599497,-51.99312568721557,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,346887980,13346431.581956735,False,False,False,False,110344667.80542378,False,False,False,False
2022-02-11 00:00:00+00:00,133.3316923008,142.9903571899,132.4952006951,142.8536805253,179319440,,,,,,,,,,,,,,,,,,,,,,#000000,,138.08297736329737,,28.909740122129307,-47.758708750328516,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,167568540,24770291.464774754,False,False,False,False,115453910.1902072,False,False,False,False
2022-02-18 00:00:00+00:00,129.6909905707,137.1249804378,129.5314706772,132.5717424106,141806740,,,,,,,,,,,,,,,,,,,,,,#000000,,136.80639042589672,,30.606127327697145,-45.472276276878254,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,25761800,24843736.541458104,False,False,False,False,117405971.65759927,False,False,False,False
2022-02-25 00:00:00+00:00,133.7188740957,134.5831990525,124.0219333785,129.2113622882,134283740,,,,,,,,,,,,,,,,,,,,,,#000000,,135.8018348847475,,33.75260726075016,-41.638641000620105,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,160045540,34858684.94579454,False,False,False,False,118656176.71999933,False,False,False,False
2022-03-04 00:00:00+00:00,131.3356434069,135.9001092091,129.6323417237,132.4912245021,122533880,,,,,,,,,,,,,,,,,,,,,,#000000,,135.33735089410197,,35.265026767755806,-39.28609037167848,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.1600143799705932,-0.1600143799705932,False,False,False,False,37511660,35055201.616476424,False,False,False,False,118943413.99999937,False,False,False,False
