date,Close,High,Low,Open,Volume,aVWAP_peak_183,aVWAP_peak_176,aVWAP_peak_164,aVWAP_peak_152,aVWAP_peak_145,aVWAP_peak_128,aVWAP_peak_115,aVWAP_peak_108,aVWAP_peak_103,aVWAP_peak_84,aVWAP_peak_78,aVWAP_peak_59,aVWAP_peak_31,aVWAP_peak_12,aVWAP_valley_185,aVWAP_valley_171,aVWAP_valley_157,aVWAP_valley_156,aVWAP_valley_150,aVWAP_valley_143,aVWAP_valley_125,aVWAP_valley_112,aVWAP_valley_93,aVWAP_valley_88,aVWAP_valley_87,aVWAP_valley_71,aVWAP_OB_bear_176,aVWAP_OB_bear_31,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,2.0636615548,2.0829481113,1.9382989369,1.9382989369,85855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,85855.0,False,False,False,False
2022-01-07 00:00:00+00:00,2.0356960477,2.1408077811,1.9575854935,2.1215212245,96052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-96052,-7114.962962962963,False,False,False,False,86610.33333333333,False,False,False,False
2022-01-14 00:00:00+00:00,2.0347317199,2.0568148272,1.9382989369,2.0202668024,38268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-134320,-16537.55829903978,False,False,False,False,83029.41975308642,False,False,False,False
2022-01-21 00:00:00+00:00,1.9489065431,2.0829481113,1.9479422152,2.0347317199,52807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-187127,-29173.81323985165,False,False,False,False,80790.72199359855,False,False,False,False
2022-01-28 00:00:00+00:00,1.8997258238,1.9575854935,1.8707959889,1.9190123804,102817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-289944,-48490.12337023301,False,False,False,False,82422.29814222088,False,False,False,False
2022-02-04 00:00:00+00:00,1.841866154,1.9672287718,1.7550766494,1.9190123804,259533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-549477,-85600.26237984537,False,False,False,False,95541.60939094526,False,False,False,False
2022-02-11 00:00:00+00:00,1.7454333711,1.9382989369,1.7357900928,1.8415864989,170978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-720455,-132626.53924059757,False,False,False,False,101129.49017680116,False,False,False,False
2022-02-18 00:00:00+00:00,1.7454333711,1.8032930408,1.7261468145,1.7437940138,72580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-720455,-176169.3881857385,False,False,False,False,99014.71312666775,False,False,False,False
2022-02-25 00:00:00+00:00,1.6782197214,1.7357900928,1.5525678052,1.7357900928,140577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-861032,-226899.95202383195,False,False,False,False,102093.40104321088,False,False,False,False
2022-03-04 00:00:00+00:00,1.6007841967,1.677930423,1.5911409184,1.677930423,60545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-921577,-278357.51113317773,False,False,False,False,99015.74170667674,False,False,False,False
2022-03-11 00:00:00+00:00,1.5429245269,1.5971197509,1.5236379703,1.5332812486,75716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,1.5545607493666664,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-997293,-331611.9917899794,False,False,False,False,97289.83491358958,False,False,False,False
2022-03-18 00:00:00+00:00,1.6779864886,1.6876858325,1.5236379703,1.5429245269,30175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,1.6028813578849508,,7.536632953310791,-42.87552666132339,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.2707518501743687,-0.3067900522948813,False,False,False,False,-967118,-378686.5109166476,False,False,False,False,92318.3656607311,False,False,False,False
2022-03-25 00:00:00+00:00,1.7846792711,1.9786661484,1.6779864886,1.6779864886,154338,,,,,,,,,,,,,,1.8137773027000001,,,,,,,,,,,,,,,1.8137773027000001,,#000000,,1.77149384887813,,16.75904903604129,-34.466581169092855,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.05868158809764586,-0.12405423209861773,False,False,False,False,-812780,-410841.5841820811,False,False,False,False,96912.41264882509,False,False,False,False
