date,Close,High,Low,Open,Volume,aVWAP_peak_871,aVWAP_peak_783,aVWAP_peak_756,aVWAP_peak_700,aVWAP_peak_688,aVWAP_peak_676,aVWAP_peak_661,aVWAP_peak_634,aVWAP_peak_593,aVWAP_peak_570,aVWAP_peak_550,aVWAP_peak_515,aVWAP_peak_491,aVWAP_peak_464,aVWAP_peak_418,aVWAP_peak_395,aVWAP_peak_394,aVWAP_peak_374,aVWAP_peak_345,aVWAP_peak_312,aVWAP_peak_272,aVWAP_peak_231,aVWAP_peak_217,aVWAP_peak_155,aVWAP_peak_101,aVWAP_peak_59,aVWAP_valley_897,aVWAP_valley_849,aVWAP_valley_816,aVWAP_valley_797,aVWAP_valley_715,aVWAP_valley_713,aVWAP_valley_687,aVWAP_valley_672,aVWAP_valley_649,aVWAP_OB_bull_715,aVWAP_OB_bull_649,aVWAP_OB_bear_155,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,9.37,9.39,9.1,9.32,5090667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,5090667.0,False,False,False,False
2022-01-04 00:00:00+00:00,9.33,9.49,9.12,9.37,6166395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,-1.0,9.49,9.12,0.0,0,,,False,False,False,False,,,False,False,False,False,-6166395,-241819.41176470587,False,False,False,False,5132852.411764706,False,False,False,False
2022-01-05 00:00:00+00:00,8.78,9.3471,8.78,9.27,9432681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15599076,-844064.76816609,False,False,False,False,5301473.140715109,False,False,False,False
2022-01-06 00:00:00+00:00,8.78,9.02,8.47,8.79,11285331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15599076,-1422692.6596105571,False,False,False,False,5536134.233236086,False,False,False,False
2022-01-07 00:00:00+00:00,8.86,9.23,8.8,8.97,6329661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,4.723124146129422,-45.6704695327147,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9269415,-1730407.2611944568,False,False,False,False,5567252.929971926,False,False,False,False
2022-01-10 00:00:00+00:00,8.84,8.84,8.51,8.82,7247630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.694735702284271,-43.20888805880216,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16517045,-2310275.407814282,False,False,False,False,5633150.069973026,False,False,False,False
2022-01-11 00:00:00+00:00,9.2,9.35,8.84,8.84,8433173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,21.94326491906667,-30.47682317383417,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8083872,-2536690.960449016,False,False,False,False,5742954.890758398,False,False,False,False
2022-01-12 00:00:00+00:00,9.2,9.345,9.0435,9.26,5020714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,31.442284396921604,-22.755264213646576,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8083872,-2754227.4718039567,False,False,False,False,5714631.718571794,False,False,False,False
2022-01-13 00:00:00+00:00,8.94,9.29,8.91,9.23,4328938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,33.212650692767966,-22.250177451651723,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12412810,-3132995.414086154,False,False,False,False,5660290.7884317245,False,False,False,False
2022-01-14 00:00:00+00:00,9.04,9.08,8.835,8.87,5482608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,36.56392732361671,-19.905094990092266,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6930202,-3281905.476278854,False,False,False,False,5653322.835944206,False,False,False,False
