date,Open,High,Low,Close,Volume,aVWAP_peak_867,aVWAP_peak_822,aVWAP_peak_785,aVWAP_peak_756,aVWAP_peak_731,aVWAP_peak_660,aVWAP_peak_635,aVWAP_peak_594,aVWAP_peak_581,aVWAP_peak_534,aVWAP_peak_479,aVWAP_peak_462,aVWAP_peak_449,aVWAP_peak_429,aVWAP_peak_366,aVWAP_peak_311,aVWAP_peak_284,aVWAP_peak_228,aVWAP_valley_846,aVWAP_valley_804,aVWAP_valley_762,aVWAP_valley_745,aVWAP_valley_724,aVWAP_valley_679,aVWAP_valley_642,aVWAP_valley_617,aVWAP_OB_bear_867,aVWAP_OB_bear_822,aVWAP_OB_bear_785,aVWAP_OB_bear_534,aVWAP_OB_bear_366,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-10 15:00:00+00:00,190.24,190.6,189.72,190.535,8650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,8650.0,False,False,False,False
2025-02-10 16:00:00+00:00,190.6,190.6,189.55,189.625,5970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5970.0,-92.55813953488372,False,False,False,False,8608.449612403101,False,False,False,False
2025-02-10 17:00:00+00:00,189.625,189.625,189.14,189.295,3278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9248.0,-234.50297458085453,False,False,False,False,8525.80698275344,False,False,False,False
2025-02-10 18:00:00+00:00,189.295,189.89,189.295,189.82,5864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,11.38325637422206,-39.75506926320014,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3384.0,-283.33238582766296,False,False,False,False,8484.538657439432,False,False,False,False
2025-02-10 19:00:00+00:00,189.725,189.93,189.585,189.715,11432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.159849333044356,-34.3391309827134,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14816.0,-508.64506201638136,False,False,False,False,8530.235732517891,False,False,False,False
2025-02-10 20:00:00+00:00,189.69,189.88,189.325,189.585,25132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,21.72194064610883,-31.90410858245982,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-39948.0,-1120.1079292719414,False,False,False,False,8787.627426587382,False,False,False,False
2025-02-11 15:00:00+00:00,188.995,189.39,188.655,189.365,5124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,22.684761836264446,-31.61385164637599,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-45072.0,-1801.532612539043,False,False,False,False,8730.827001368973,False,False,False,False
2025-02-11 16:00:00+00:00,189.365,189.865,189.135,189.23,3535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,22.571605834108965,-31.61385164637599,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-48607.0,-2527.1987735849493,False,False,False,False,8650.271543983406,False,False,False,False
2025-02-11 17:00:00+00:00,189.235,189.65,189.2,189.2,3936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,22.32863729750121,-31.61385164637599,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-52543.0,-3302.6375522890585,False,False,False,False,8577.182062681339,False,False,False,False
2025-02-11 18:00:00+00:00,189.2,189.535,189.16,189.39,2501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,25.76506313729669,-28.98705148533641,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-50042.0,-4027.2788305481427,False,False,False,False,8482.977689616513,False,False,False,False
