date,Close,High,Low,Open,Volume,aVWAP_peak_181,aVWAP_peak_159,aVWAP_peak_153,aVWAP_peak_144,aVWAP_peak_127,aVWAP_peak_116,aVWAP_peak_105,aVWAP_peak_91,aVWAP_peak_83,aVWAP_peak_67,aVWAP_peak_58,aVWAP_peak_45,aVWAP_peak_34,aVWAP_valley_188,aVWAP_valley_183,aVWAP_valley_171,aVWAP_valley_157,aVWAP_valley_148,aVWAP_valley_141,aVWAP_valley_132,aVWAP_valley_123,aVWAP_valley_108,aVWAP_valley_101,aVWAP_valley_86,aVWAP_valley_74,aVWAP_OB_bull_171,aVWAP_OB_bear_45,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,65.4008669522,69.0876352362,64.7725455404,66.9901505233,9616205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,9616205.0,False,False,False,False
2022-01-07 00:00:00+00:00,63.8855035473,66.8145901288,61.5939783984,66.1031085301,13458625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13458625,-996935.1851851852,False,False,False,False,9900828.703703703,False,False,False,False
2022-01-14 00:00:00+00:00,61.3906979416,65.4285870145,58.969812502,63.2294620732,13902144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27360769,-2949811.7640603567,False,False,False,False,10197222.42935528,False,False,False,False
2022-01-21 00:00:00+00:00,60.9841370281,64.0869359999,58.3045310072,61.4276580247,16719466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-44080235,-5996509.781537367,False,False,False,False,10680351.582736371,False,False,False,False
2022-01-28 00:00:00+00:00,65.6965476166,66.962430461,59.940014682,60.0601349519,25498053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.84531693445316,-35.021223835399745,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18582182,-6928781.797719784,False,False,False,False,11777959.09512627,False,False,False,False
2022-02-04 00:00:00+00:00,69.3555958383,70.0485973954,62.6473407652,65.1421463709,19486811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,31.18121853778222,-21.173909928392423,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,904629,-6348529.146036836,False,False,False,False,12348985.162153954,False,False,False,False
2022-02-11 00:00:00+00:00,70.9079193263,71.3699203644,65.1606264124,69.2631956307,16291181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,43.228298286293395,-10.88855592634031,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17195810,-4604504.024108182,False,False,False,False,12640999.668661067,False,False,False,False
2022-02-18 00:00:00+00:00,67.9858539193,71.6973786317,62.1216448737,70.0457501346,23325279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.60058845405736,-8.039870804686245,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6129469,-4717464.392692761,False,False,False,False,13432427.767278766,False,False,False,False
2022-02-25 00:00:00+00:00,73.7665536588,74.054196824,67.4847980831,70.370508547,19645992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,54.27551379473708,-2.808358381084979,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13516523,-3366798.659900704,False,False,False,False,13892691.784517376,False,False,False,False
2022-03-04 00:00:00+00:00,84.6691575015,85.2630014554,73.5716986114,74.3882340481,29299673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,62.17311565189196,3.662915862615776,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282503506744,0.3428282503506744,False,False,False,False,42816196,54163.90749934781,False,False,False,False,15033949.652330903,False,False,False,False
