date,Open,High,Low,Close,Volume,aVWAP_peak_404,aVWAP_valley_419,aVWAP_valley_340,aVWAP_valley_315,aVWAP_valley_269,aVWAP_valley_236,aVWAP_valley_210,aVWAP_valley_185,aVWAP_valley_158,aVWAP_valley_129,aVWAP_valley_49,aVWAP_OB_bull_269,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-19 17:00:00+00:00,1.505,1.535,1.47,1.535,58300.0,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,58300.0,False,False,False,False
2023-12-20 17:00:00+00:00,1.505,1.525,1.49,1.495,30482.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30482.0,-472.5891472868217,False,False,False,False,57868.71317829457,False,False,False,False
2023-12-21 17:00:00+00:00,1.52,1.525,1.505,1.52,19807.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.761467889908268,-70.64220183486239,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10675.0,-630.7660597319873,False,False,False,False,57278.60909801094,False,False,False,False
2023-12-22 17:00:00+00:00,1.53,1.55,1.52,1.525,56605.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,24.599285693656913,-59.512019022497796,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45930.0,91.10628227936138,False,False,False,False,57268.16554610379,False,False,False,False
2023-12-25 17:00:00+00:00,1.525,1.525,1.525,1.525,0.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,31.82449756282268,-51.457762546088205,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45930.0,801.7868050347201,False,False,False,False,56380.28701050528,False,False,False,False
2023-12-26 17:00:00+00:00,1.485,1.51,1.48,1.505,46614.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,32.00087020183101,-49.437148217988224,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-684.0,778.7513506930966,False,False,False,False,56228.87170801682,False,False,False,False
2023-12-27 17:00:00+00:00,1.55,1.555,1.53,1.535,115320.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,39.711152386629536,-40.06005883385812,False,False,False,True,True,,-1.0,1.555,1.53,58.0,0,,,False,False,False,False,,,False,False,False,False,114636.0,2543.980011922661,False,False,False,False,57145.013231923534,False,False,False,False
2023-12-28 17:00:00+00:00,1.5,1.51,1.46,1.465,36192.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,36.22900191351789,-40.06005883385812,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,78444.0,3720.7245078618444,False,False,False,False,56820.16031359914,False,False,False,False
2023-12-29 17:00:00+00:00,1.455,1.465,1.44,1.445,32686.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,32.629221695131456,-40.06005883385812,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45758.0,4372.4652131663115,False,False,False,False,56445.98728548132,False,False,False,False
2024-01-01 17:00:00+00:00,1.445,1.445,1.445,1.445,0.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,30.22936821620717,-40.06005883385812,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45758.0,5014.101411411794,False,False,False,False,55570.85569965991,False,False,False,False
2024-01-02 17:00:00+00:00,1.43,1.45,1.41,1.425,46873.0,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,27.423582599489926,-40.06005883385812,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1115.0,4919.07658332789,False,False,False,False,55436.005223696186,False,False,False,False
