date,Close,High,Low,Open,Volume,aVWAP_peak_183,aVWAP_peak_149,aVWAP_peak_134,aVWAP_peak_118,aVWAP_valley_187,aVWAP_valley_177,aVWAP_valley_171,aVWAP_valley_163,aVWAP_valley_155,aVWAP_valley_134,aVWAP_OB_bear_118,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,27.61,28.35,27.41,27.98,8514257,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,8514257.0,False,False,False,False
2022-01-07 00:00:00+00:00,27.02,28.08,26.26,27.94,20817389,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20817389,-1542028.8148148148,False,False,False,False,9425600.111111112,False,False,False,False
2022-01-14 00:00:00+00:00,27.08,27.9,25.9017,26.99,28854634,,,,,,,,,,,,,,#000000,,,,2.8072364316905283,-57.01809107922632,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8037245,-832452.9766803841,False,False,False,False,10864787.806584364,False,False,False,False
2022-01-21 00:00:00+00:00,25.06,27.2277,24.62,26.62,23086547,,,,,,,,,,,,,,#000000,,,,2.622940098504264,-57.01809107922632,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15049302,-1885552.9043336888,False,False,False,False,11770103.30239293,False,False,False,False
2022-01-28 00:00:00+00:00,24.14,24.85,22.295,24.62,24706722,,,,,,,,,,,,,,#000000,,23.761666666666667,,2.3209972479595553,-57.01809107922632,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-39756024,-4690772.985494156,False,False,False,False,12728371.354067529,False,False,False,False
2022-02-04 00:00:00+00:00,24.52,25.23,23.81,24.06,18852829,,,,,,,,,,,,,,#000000,,24.089877778354513,,5.163320598376922,-54.09469287574921,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20903195,-5891693.134716811,False,False,False,False,13182034.883395858,False,False,False,False
2022-02-11 00:00:00+00:00,25.13,26.385,24.06,24.5,15729992,,,,,,,,,,,,,,#000000,,24.382191220521527,,11.142661473823395,-48.160427786584556,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5173203,-5838471.643256306,False,False,False,False,13370772.447588759,False,False,False,False
2022-02-18 00:00:00+00:00,23.93,25.825,23.91,25.01,11496283,,,,,,,,,,,,,,#000000,,24.410256989419516,,13.555278430129185,-45.768901199254884,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16669486,-6640769.003015098,False,False,False,False,13231921.377396999,False,False,False,False
2022-02-25 00:00:00+00:00,24.35,24.59,21.42,23.73,26876734,,,,,,,,,,,,,,#000000,,24.146911623877838,,17.242753994553908,-42.15354146179785,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10207248,-5392767.743532498,False,False,False,False,14242648.238330554,False,False,False,False
2022-03-04 00:00:00+00:00,22.86,24.3799,22.52,24.0,12724179,,,,,,,,,,,,,,#000000,,24.04390582479628,,18.022422758650954,-41.32490739675401,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.2766056340051328,-0.2766056340051328,False,False,False,False,-2516931,-5179742.799567128,False,False,False,False,14130169.035491254,False,False,False,False
