date,Open,High,Low,Close,Volume,aVWAP_peak_867,aVWAP_peak_851,aVWAP_peak_827,aVWAP_peak_803,aVWAP_peak_783,aVWAP_peak_766,aVWAP_peak_744,aVWAP_peak_660,aVWAP_peak_646,aVWAP_peak_527,aVWAP_peak_492,aVWAP_peak_444,aVWAP_peak_420,aVWAP_peak_383,aVWAP_peak_356,aVWAP_valley_881,aVWAP_valley_861,aVWAP_valley_845,aVWAP_valley_811,aVWAP_valley_774,aVWAP_valley_743,aVWAP_valley_718,aVWAP_valley_690,aVWAP_valley_673,aVWAP_valley_618,aVWAP_OB_bull_811,aVWAP_OB_bull_690,aVWAP_OB_bear_444,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,245.54,249.43,244.81,249.3,466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,466.0,False,False,False,False
2025-02-03 16:00:00+00:00,249.3,249.615,248.035,248.085,816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-816.0,-12.651162790697674,False,False,False,False,471.4263565891473,False,False,False,False
2025-02-03 17:00:00+00:00,248.085,249.01,247.45,248.0,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1402.0,-34.1914548404543,False,False,False,False,473.2026921459047,False,False,False,False
2025-02-03 18:00:00+00:00,247.89,248.15,247.02,247.75,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1696.0,-59.95592840881935,False,False,False,False,470.424355833565,False,False,False,False
2025-02-03 19:00:00+00:00,247.75,248.525,247.0,247.0,898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2594.0,-99.24343339472912,False,False,False,False,477.0534355880834,False,False,False,False
2025-02-03 20:00:00+00:00,247.0,247.27,246.17,246.62,2944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5538.0,-183.56524062891936,False,False,False,False,515.3006691448572,False,False,False,False
2025-02-04 15:00:00+00:00,244.38,246.32,242.98,243.41,887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6425.0,-280.33167100676553,False,False,False,False,521.0634494681927,False,False,False,False
2025-02-04 16:00:00+00:00,243.41,244.2,243.1,243.83,1873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,2.8554556775828432,-47.43008989017544,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4552.0,-346.559086960149,False,False,False,False,542.0237060655851,False,False,False,False
2025-02-04 17:00:00+00:00,243.83,244.82,243.685,244.59,602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,9.284806513951558,-41.815001478098566,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3950.0,-402.42638793751104,False,False,False,False,542.9535710878241,False,False,False,False
2025-02-04 18:00:00+00:00,244.59,245.43,243.945,244.59,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.571040404864036,-38.434526608142114,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3950.0,-457.4275292097977,False,False,False,False,548.4116552570051,False,False,False,False
