date,Open,High,Low,Close,Volume,aVWAP_peak_873,aVWAP_peak_846,aVWAP_peak_816,aVWAP_peak_798,aVWAP_peak_774,aVWAP_peak_708,aVWAP_peak_690,aVWAP_peak_643,aVWAP_peak_601,aVWAP_peak_587,aVWAP_peak_546,aVWAP_peak_521,aVWAP_peak_474,aVWAP_peak_409,aVWAP_peak_374,aVWAP_peak_318,aVWAP_peak_276,aVWAP_peak_205,aVWAP_peak_161,aVWAP_valley_860,aVWAP_valley_828,aVWAP_valley_790,aVWAP_valley_750,aVWAP_valley_702,aVWAP_valley_654,aVWAP_valley_626,aVWAP_valley_578,aVWAP_valley_545,aVWAP_valley_511,aVWAP_valley_482,aVWAP_valley_444,aVWAP_valley_426,aVWAP_valley_395,aVWAP_valley_351,aVWAP_valley_306,aVWAP_valley_293,aVWAP_valley_257,aVWAP_OB_bull_750,aVWAP_OB_bull_626,aVWAP_OB_bull_324,aVWAP_OB_bull_306,aVWAP_OB_bear_161,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-07 15:00:00+00:00,39.19,39.625,38.26,38.62,5523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,5523.0,False,False,False,False
2025-02-07 16:00:00+00:00,38.64,38.64,37.85,37.9,3159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3159.0,-48.97674418604651,False,False,False,False,5486.3488372093025,False,False,False,False
2025-02-07 17:00:00+00:00,37.85,38.67,37.85,38.6,3331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,17.41293532338313,-76.11940298507469,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,172.0,-45.55074815215432,False,False,False,False,5452.932576167297,False,False,False,False
2025-02-07 18:00:00+00:00,38.555,38.72,38.3,38.345,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,25.951048955504255,-66.69380718382737,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-828.0,-57.6817443048341,False,False,False,False,5383.894861808114,False,False,False,False
2025-02-07 19:00:00+00:00,38.345,38.56,38.285,38.525,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,33.97579057016769,-57.197756896816244,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,172.0,-54.12078702879016,False,False,False,False,5315.927499609538,False,False,False,False
2025-02-07 20:00:00+00:00,38.495,38.615,38.325,38.48,1462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,38.768794631600045,-50.29547379254525,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1290.0,-73.28170505935155,False,False,False,False,5256.176685662103,False,False,False,False
2025-02-10 15:00:00+00:00,40.495,41.415,40.435,40.89,4539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,53.46351459888436,-34.15771649760683,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3249.0,-21.773461570059283,False,False,False,False,5245.057667279745,False,False,False,False
2025-02-10 16:00:00+00:00,40.88,40.94,40.335,40.585,2857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,60.861535146751486,-25.071104870968142,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,392.0,-15.358369142616503,False,False,False,False,5208.033517399439,False,False,False,False
2025-02-10 17:00:00+00:00,40.59,40.745,40.31,40.49,1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,65.04875855627283,-18.784599911276345,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-708.0,-26.096999078389892,False,False,False,False,5144.343075269215,False,False,False,False
2025-02-10 18:00:00+00:00,40.48,40.755,40.375,40.695,1509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,68.43288766930718,-13.042009178734382,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,801.0,-13.273789790352842,False,False,False,False,5087.981167125506,False,False,False,False
