date,Open,High,Low,Close,Volume,aVWAP_peak_868,aVWAP_peak_834,aVWAP_peak_792,aVWAP_peak_767,aVWAP_peak_704,aVWAP_peak_683,aVWAP_peak_665,aVWAP_peak_603,aVWAP_peak_602,aVWAP_valley_881,aVWAP_valley_853,aVWAP_valley_774,aVWAP_valley_745,aVWAP_valley_695,aVWAP_valley_673,aVWAP_valley_648,aVWAP_valley_617,aVWAP_valley_564,aVWAP_valley_550,aVWAP_valley_510,aVWAP_valley_463,aVWAP_valley_438,aVWAP_valley_404,aVWAP_valley_378,aVWAP_valley_304,aVWAP_valley_285,aVWAP_valley_255,aVWAP_OB_bull_564,aVWAP_OB_bull_304,aVWAP_OB_bear_767,aVWAP_OB_bear_704,aVWAP_OB_bear_603,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-10 15:00:00+00:00,59.27,59.275,58.88,59.015,1444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1444.0,False,False,False,False
2025-02-10 16:00:00+00:00,59.02,59.06,58.88,58.91,545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-545.0,-8.449612403100774,False,False,False,False,1430.0620155038757,False,False,False,False
2025-02-10 17:00:00+00:00,58.91,58.955,58.83,58.905,968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1513.0,-31.77597500150231,False,False,False,False,1422.898263325521,False,False,False,False
2025-02-10 18:00:00+00:00,58.9,59.04,58.895,59.015,779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.5741088180113,-33.28330206378983,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-734.0,-42.66316918752553,False,False,False,False,1412.9153445142724,False,False,False,False
2025-02-10 19:00:00+00:00,58.995,59.06,58.96,58.995,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,29.056423422533605,-24.963665448800434,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2234.0,-76.63738361872669,False,False,False,False,1414.2654942117254,False,False,False,False
2025-02-10 20:00:00+00:00,58.995,59.025,58.825,58.87,5309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,29.068289679176374,-24.963665448800434,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7543.0,-192.3949435626224,False,False,False,False,1474.648974921621,False,False,False,False
2025-02-11 15:00:00+00:00,58.27,58.435,58.17,58.43,3845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,23.02875551984108,-20.548810573165547,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11388.0,-365.97021575544994,False,False,False,False,1511.3986032174098,False,False,False,False
2025-02-11 16:00:00+00:00,58.43,58.48,58.26,58.285,2151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.317007297667644,-24.29245857641107,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13539.0,-570.2032356662181,False,False,False,False,1521.3149039427212,False,False,False,False
2025-02-11 17:00:00+00:00,58.285,58.395,58.23,58.235,2267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,14.97454946971458,-26.976707846491813,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15806.0,-806.4171389892225,False,False,False,False,1532.8759131839192,False,False,False,False
2025-02-11 18:00:00+00:00,58.23,58.35,58.195,58.27,2351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,14.297916688961383,-27.48637357948315,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13455.0,-1002.5191988498547,False,False,False,False,1545.5600075531606,False,False,False,False
