date,Open,High,Low,Close,Volume,aVWAP_peak_864,aVWAP_peak_827,aVWAP_peak_793,aVWAP_peak_770,aVWAP_peak_735,aVWAP_peak_648,aVWAP_peak_606,aVWAP_peak_552,aVWAP_peak_492,aVWAP_peak_453,aVWAP_peak_427,aVWAP_peak_378,aVWAP_peak_342,aVWAP_peak_305,aVWAP_peak_287,aVWAP_peak_255,aVWAP_peak_222,aVWAP_valley_850,aVWAP_valley_802,aVWAP_valley_774,aVWAP_valley_725,aVWAP_valley_703,aVWAP_valley_602,aVWAP_valley_569,aVWAP_valley_510,aVWAP_valley_474,aVWAP_valley_438,aVWAP_valley_407,aVWAP_valley_372,aVWAP_valley_334,aVWAP_valley_317,aVWAP_valley_285,aVWAP_valley_270,aVWAP_OB_bull_850,aVWAP_OB_bull_774,aVWAP_OB_bear_222,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,116.67,119.555,116.67,119.185,9753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,9753.0,False,False,False,False
2025-02-03 16:00:00+00:00,119.035,119.83,118.41,119.37,10917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,-1.0,119.83,118.41,0.0,0,,,False,False,False,False,,,False,False,False,False,10917.0,169.25581395348837,False,False,False,False,9771.046511627907,False,False,False,False
2025-02-03 17:00:00+00:00,119.33,119.4,118.64,118.96,6584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,76.20889748549314,-33.26885880077401,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4333.0,233.80998738056604,False,False,False,False,9721.634937804218,False,False,False,False
2025-02-03 18:00:00+00:00,118.83,119.075,118.62,118.67,4316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,56.89177077290399,-33.26885880077401,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17.0,230.44859222737895,False,False,False,False,9637.826644194849,False,False,False,False
2025-02-03 19:00:00+00:00,118.685,118.91,118.59,118.85,9690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,49.514157346751276,-33.26885880077401,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9707.0,377.37186986726454,False,False,False,False,9638.635533432138,False,False,False,False
2025-02-03 20:00:00+00:00,118.84,119.19,118.47,118.85,22331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,44.595748395982795,-33.26885880077401,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9707.0,522.0172672336635,False,False,False,False,9835.416377875052,False,False,False,False
2025-02-04 15:00:00+00:00,118.72,119.59,118.53,119.075,11820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,46.58089508935412,-33.26885880077401,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,21527.0,847.6759142532965,False,False,False,False,9866.18511620257,False,False,False,False
2025-02-04 16:00:00+00:00,119.11,119.685,119.08,119.23,5904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,50.508023768830704,-33.26885880077401,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,27431.0,1259.8204737222375,False,False,False,False,9804.755889594777,False,False,False,False
2025-02-04 17:00:00+00:00,119.23,119.31,118.74,118.74,12230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,46.12830801264446,-33.26885880077401,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15201.0,1475.962791959102,False,False,False,False,9842.356573477027,False,False,False,False
2025-02-04 18:00:00+00:00,118.74,118.99,118.58,118.605,4866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,41.95903404036289,-33.26885880077401,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10335.0,1613.3122060372555,False,False,False,False,9765.20375838436,False,False,False,False
