date,Open,High,Low,Close,Volume,aVWAP_peak_887,aVWAP_peak_866,aVWAP_peak_846,aVWAP_peak_827,aVWAP_peak_791,aVWAP_peak_737,aVWAP_peak_681,aVWAP_peak_648,aVWAP_peak_607,aVWAP_peak_552,aVWAP_peak_520,aVWAP_peak_491,aVWAP_peak_449,aVWAP_peak_420,aVWAP_peak_389,aVWAP_peak_370,aVWAP_peak_369,aVWAP_peak_342,aVWAP_peak_306,aVWAP_peak_287,aVWAP_peak_245,aVWAP_peak_229,aVWAP_peak_197,aVWAP_peak_151,aVWAP_peak_120,aVWAP_valley_863,aVWAP_valley_861,aVWAP_valley_858,aVWAP_valley_845,aVWAP_valley_799,aVWAP_valley_774,aVWAP_valley_725,aVWAP_valley_703,aVWAP_valley_664,aVWAP_valley_603,aVWAP_valley_602,aVWAP_valley_581,aVWAP_valley_528,aVWAP_valley_510,aVWAP_valley_474,aVWAP_valley_433,aVWAP_valley_406,aVWAP_valley_372,aVWAP_valley_334,aVWAP_valley_333,aVWAP_valley_317,aVWAP_valley_283,aVWAP_OB_bull_774,aVWAP_OB_bull_603,aVWAP_OB_bull_372,aVWAP_OB_bear_151,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,21.275,21.635,21.265,21.585,602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,602.0,False,False,False,False
2025-02-03 16:00:00+00:00,21.58,21.675,21.505,21.575,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-188.0,-2.9147286821705425,False,False,False,False,595.5813953488372,False,False,False,False
2025-02-03 17:00:00+00:00,21.575,21.595,21.495,21.525,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-852.0,-16.078841415780303,False,False,False,False,596.6421489093203,False,False,False,False
2025-02-03 18:00:00+00:00,21.525,21.58,21.495,21.565,377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,14.438502673797053,-37.005347593582655,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-475.0,-23.193898138016266,False,False,False,False,593.2368442750674,False,False,False,False
2025-02-03 19:00:00+00:00,21.565,21.625,21.56,21.61,389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,30.754709412012865,-23.187071689616246,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-86.0,-24.167636151380353,False,False,False,False,590.0703815731283,False,False,False,False
2025-02-03 20:00:00+00:00,21.605,21.625,21.54,21.575,1085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,36.63424864750701,-19.33649086752597,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1171.0,-41.947982877715546,False,False,False,False,597.7437089905992,False,False,False,False
2025-02-04 15:00:00+00:00,21.57,21.64,21.54,21.56,439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,38.902562485490535,-18.354712217317953,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1610.0,-66.25886686410755,False,False,False,False,595.2825662155511,False,False,False,False
2025-02-04 16:00:00+00:00,21.56,21.665,21.56,21.645,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.8600880195253,-10.826030768750655,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1220.0,-84.14632629257099,False,False,False,False,592.0998907703488,False,False,False,False
2025-02-04 17:00:00+00:00,21.645,21.675,21.61,21.655,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,54.398424626988245,-5.508543285202144,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1220.0,-101.75646076865516,False,False,False,False,582.9200475025914,False,False,False,False
2025-02-04 18:00:00+00:00,21.655,21.655,21.59,21.61,397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,54.23804384097257,-5.508543285202144,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1617.0,-125.24860866371476,False,False,False,False,580.037566145962,False,False,False,False
