date,Open,High,Low,Close,Volume,aVWAP_peak_381,aVWAP_peak_360,aVWAP_peak_316,aVWAP_valley_399,aVWAP_valley_370,aVWAP_valley_344,aVWAP_valley_326,aVWAP_valley_265,aVWAP_valley_241,aVWAP_valley_194,aVWAP_valley_147,aVWAP_valley_86,aVWAP_valley_65,aVWAP_OB_bull_147,aVWAP_OB_bear_360,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,55.16,55.45,54.67,54.8,54950.0,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,54950.0,False,False,False,False
2023-12-15 17:00:00+00:00,53.87,54.06,53.47,53.84,60698.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-60698.0,-941.0542635658915,False,False,False,False,55039.11627906977,False,False,False,False
2023-12-18 17:00:00+00:00,54.06,54.29,53.89,53.925,35072.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,3.0195381882769015,-54.52930728241535,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-25626.0,-1323.7666005648698,False,False,False,False,54729.54858482062,False,False,False,False
2023-12-19 17:00:00+00:00,53.54,53.7,53.315,53.645,45594.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,4.273663756723473,-53.09864045198575,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-71220.0,-2407.4291338894454,False,False,False,False,54587.912172652854,False,False,False,False
2023-12-20 17:00:00+00:00,53.155,53.675,53.0,53.05,62392.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,4.261270894816875,-52.7043940240655,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-133612.0,-4441.608527162478,False,False,False,False,54708.905782379166,False,False,False,False
2023-12-21 17:00:00+00:00,53.355,53.84,53.08,53.84,73925.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,15.720068309758453,-41.8526006083736,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-59687.0,-5298.126224415772,False,False,False,False,55006.829723737625,False,False,False,False
2023-12-22 17:00:00+00:00,54.555,54.585,54.265,54.54,33093.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,28.752479944330545,-30.20900594005323,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26594.0,-5628.294810083745,False,False,False,False,54667.08042569518,False,False,False,False
2023-12-25 17:00:00+00:00,54.54,54.54,54.54,54.54,0.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,37.44075436737861,-22.919942382335723,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26594.0,-5953.344502950663,False,False,False,False,53819.52879118828,False,False,False,False
2023-12-26 17:00:00+00:00,54.73,55.085,54.685,55.0,21362.0,,,,,,,,,,,,,,,,,,#000000,,,,45.941714925121914,-15.75014496418973,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5232.0,-5942.160867246001,False,False,False,False,53316.3112905497,False,False,False,False
2023-12-27 17:00:00+00:00,55.035,55.2,54.91,55.195,24528.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,52.58480705438179,-10.15563206162566,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,19296.0,-5550.871551474745,False,False,False,False,52869.98088294428,False,False,False,False
