date,Close,High,Low,Open,Volume,aVWAP_peak_180,aVWAP_peak_175,aVWAP_peak_157,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_148,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_130,aVWAP_valley_113,aVWAP_valley_107,aVWAP_valley_96,aVWAP_valley_95,aVWAP_valley_84,aVWAP_valley_70,aVWAP_OB_bull_182,aVWAP_OB_bull_141,aVWAP_OB_bull_112,aVWAP_OB_bull_70,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.61,11.94,10.42,11.67,11046541,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,11046541.0,False,False,False,False
2022-01-07 00:00:00+00:00,11.86,12.905,10.93,11.9,15351080,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,-1.0,12.905,10.93,0.0,0,,,False,False,False,False,,,False,False,False,False,15351080,1137117.037037037,False,False,False,False,11365395.74074074,False,False,False,False
2022-01-14 00:00:00+00:00,10.67,12.5,10.16,11.565,14521413,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,76.11241217798596,-57.49414519906318,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,829667,1114342.9602194787,False,False,False,False,11599174.796982167,False,False,False,False
2022-01-21 00:00:00+00:00,9.25,10.85,8.95,10.34,11530468,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,56.629915554965024,-57.49414519906318,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10700801,239147.11131433223,False,False,False,False,11594085.404613119,False,False,False,False
2022-01-28 00:00:00+00:00,8.27,9.71,7.61,8.87,20662653,,,,,,,,,,,,,,,,,,,,,,,#000000,,8.53,,42.088037148917145,-57.49414519906318,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-31363454,-2101786.3043385814,False,False,False,False,12265831.152419554,False,False,False,False
2022-02-04 00:00:00+00:00,8.57,9.895,8.01,8.27,17868208,,,,,,,,,,,,,,,,,,,,,,,#000000,,8.666802584297299,,33.93991069563207,-57.49414519906318,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13495246,-2945746.2817949825,False,False,False,False,12680822.030018106,False,False,False,False
2022-02-11 00:00:00+00:00,9.31,10.125,8.4801,8.54,11670578,,,,,,,,,,,,,,,,,,,,,,,#000000,,8.815175258208567,,32.567880111864945,-57.49414519906318,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1824668,-2862703.4461064655,False,False,False,False,12605989.138905654,False,False,False,False
2022-02-18 00:00:00+00:00,8.11,9.94,8.07,9.32,11387885,,,,,,,,,,,,,,,,,,,,,,,#000000,,8.795111986171499,,29.60348633111868,-57.49414519906318,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13212553,-3629358.968617098,False,False,False,False,12515759.20269042,False,False,False,False
2022-02-25 00:00:00+00:00,8.43,8.46,5.81,7.56,23669185,,,,,,,,,,,,,,,,,,,,,,,#000000,,8.454075063631088,,28.903508239431588,-57.49414519906318,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10456632,-2585952.230201017,False,False,False,False,13341938.89138002,False,False,False,False
2022-03-04 00:00:00+00:00,7.39,8.935,7.25,8.42,17468889,,,,,,,,,,,,,,,,,,,,,,,#000000,,8.352768631638725,,26.993979376092767,-57.49414519906318,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.20050645819329935,-0.20050645819329935,False,False,False,False,-7012257,-2913826.6575935343,False,False,False,False,13647638.899425944,False,False,False,False
2022-03-11 00:00:00+00:00,6.32,7.63,6.18,7.49,15245953,,,,,,,,,,,,,,,,,,,,,,,#000000,,8.140470064754426,,24.570701236027748,-57.49414519906318,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.27166735630434663,False,False,False,False,-22258210,-4346743.942216235,False,False,False,False,13766032.536505505,False,False,False,False
2022-03-18 00:00:00+00:00,8.26,8.57,5.78,6.27,23137017,,,,,,,,,,,,,,,,,,,,,,,#000000,,7.789067362757262,,28.539092933161825,-57.49414519906318,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.29827020267627585,-0.28496877949031124,False,False,False,False,878807,-3959666.0946446625,False,False,False,False,14460179.533801395,False,False,False,False
2022-03-25 00:00:00+00:00,7.85,8.61,7.59,8.09,20430897,,,,,,,,,,,,,,,,,,,,,,,#000000,,7.900045465492973,,30.79655062248881,-57.49414519906318,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.06676011547294258,-0.1758644474816269,False,False,False,False,-19552090,-5114660.458004317,False,False,False,False,14902454.901667958,False,False,False,False
2022-04-01 00:00:00+00:00,7.22,8.44,7.08,7.91,17731569,,,,,,,,,,,,,,,,,,,,,,,#000000,,7.851091069427964,,31.580444758422374,-57.49414519906318,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.09491877678649942,-0.13539161213406317,False,False,False,False,-37283659,-7497549.238892887,False,False,False,False,15112018.908951813,False,False,False,False
2022-04-08 00:00:00+00:00,6.92,8.44,6.63,7.35,15587602,,,,,,,,,,,,,,,,,,,,,,,#000000,,7.786136581453819,,31.766451884113827,-57.49414519906318,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.15787158984752828,-0.14663160099079572,False,False,False,False,-52871261,-10858564.92490082,False,False,False,False,15147247.286066493,False,False,False,False
2022-04-15 00:00:00+00:00,6.41,7.555,6.4,6.79,9569415,,,,,,,,,,,,,,,,,,,,,,,#000000,,7.712474856396211,,31.288253558210677,-57.49414519906318,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.32059201598235,-0.23361180848657287,False,False,False,False,-62440676,-14679462.041574834,False,False,False,False,14734074.524135642,False,False,False,False
2022-04-22 00:00:00+00:00,6.15,7.21,6.035,6.38,14516395,,,,,,,,,,,,,,,,,,,,,,,#000000,,7.588171655308825,,30.645957716586565,-57.49414519906318,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.2882200314509834,False,False,False,False,-76957071,-19292618.260717437,False,False,False,False,14717950.114940409,False,False,False,False
