date,Open,High,Low,Close,Volume,aVWAP_peak_846,aVWAP_peak_792,aVWAP_peak_696,aVWAP_peak_690,aVWAP_peak_665,aVWAP_peak_626,aVWAP_peak_611,aVWAP_peak_582,aVWAP_peak_546,aVWAP_peak_528,aVWAP_peak_511,aVWAP_peak_467,aVWAP_valley_828,aVWAP_valley_776,aVWAP_valley_773,aVWAP_valley_679,aVWAP_valley_678,aVWAP_valley_638,aVWAP_valley_617,aVWAP_valley_616,aVWAP_valley_615,aVWAP_valley_578,aVWAP_valley_557,aVWAP_valley_537,aVWAP_valley_536,aVWAP_valley_498,aVWAP_valley_482,aVWAP_valley_414,aVWAP_valley_385,aVWAP_valley_384,aVWAP_valley_366,aVWAP_valley_348,aVWAP_valley_310,aVWAP_valley_309,aVWAP_valley_240,aVWAP_OB_bull_348,aVWAP_OB_bear_846,aVWAP_OB_bear_696,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-07 15:00:00+00:00,3.085,3.085,3.03,3.055,41574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,41574.0,False,False,False,False
2025-02-07 16:00:00+00:00,3.055,3.065,3.035,3.035,21516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21516.0,-333.5813953488372,False,False,False,False,41263.023255813954,False,False,False,False
2025-02-07 17:00:00+00:00,3.035,3.08,3.035,3.075,20148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,23.076923076923073,-84.61538461538461,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1368.0,-349.61889309536684,False,False,False,False,40935.65855417343,False,False,False,False
2025-02-07 18:00:00+00:00,3.075,3.095,3.075,3.085,19220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,40.133106330289394,-66.95712737966261,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17852.0,-67.42325134195028,False,False,False,False,40598.981677364536,False,False,False,False
2025-02-07 19:00:00+00:00,3.085,3.09,3.065,3.085,23746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,51.50389516586694,-54.05448073053711,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17852.0,210.39726418273113,False,False,False,False,40337.695139730975,False,False,False,False
2025-02-07 20:00:00+00:00,3.085,3.12,3.075,3.11,56042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,62.00521377285069,-41.40056994772489,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,73894.0,1352.77870194734,False,False,False,False,40581.17273446383,False,False,False,False
2025-02-10 15:00:00+00:00,3.155,3.185,3.14,3.14,46838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,70.78881164800485,-29.9814415187329,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,120732.0,3203.6193422272263,False,False,False,False,40678.177808348104,False,False,False,False
2025-02-10 16:00:00+00:00,3.145,3.15,3.125,3.145,20868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,76.86083330385496,-20.799072347342083,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,141600.0,5349.299662502774,False,False,False,False,40371.043268683796,False,False,False,False
2025-02-10 17:00:00+00:00,3.145,3.17,3.145,3.155,56956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,81.31718251843392,-12.891339418227076,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,198556.0,8344.752380913584,False,False,False,False,40628.17438079722,False,False,False,False
2025-02-10 18:00:00+00:00,3.16,3.16,3.14,3.145,8568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,80.9381547545261,-9.331043503756192,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,189988.0,11160.926762604846,False,False,False,False,40131.11741365308,False,False,False,False
2025-02-10 19:00:00+00:00,3.145,3.16,3.14,3.15,14984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,81.07497929201007,-5.075966335526935,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,204972.0,14165.749603494693,False,False,False,False,39741.23962429412,False,False,False,False
2025-02-10 20:00:00+00:00,3.155,3.18,3.145,3.18,75811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,82.93604349141627,0.6807109527171065,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,280783.0,18299.35038483586,False,False,False,False,40300.460715390334,False,False,False,False
