date,Close,High,Low,Open,Volume,aVWAP_peak_292,aVWAP_valley_282,aVWAP_valley_246,aVWAP_valley_245,aVWAP_valley_244,aVWAP_valley_243,aVWAP_valley_171,aVWAP_valley_160,aVWAP_valley_125,aVWAP_valley_124,aVWAP_valley_123,aVWAP_valley_122,aVWAP_valley_121,aVWAP_valley_118,aVWAP_valley_112,aVWAP_valley_97,aVWAP_valley_58,aVWAP_valley_15,aVWAP_valley_13,aVWAP_OB_bull_171,aVWAP_OB_bull_97,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,9.72,9.73,9.7,9.705,11637,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,11637.0,False,False,False,False
2022-01-04 00:00:00+00:00,9.72,9.72,9.72,9.72,0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,11180.64705882353,False,False,False,False
2022-01-05 00:00:00+00:00,9.72,9.72,9.72,9.72,5,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,10742.386389850059,False,False,False,False
2022-01-06 00:00:00+00:00,9.71,9.72,9.71,9.71,3123,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3123,-122.47058823529412,False,False,False,False,10443.586923581428,False,False,False,False
2022-01-07 00:00:00+00:00,9.75,9.75,9.725,9.725,1499,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,27.160493827160494,-104.32098765432099,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1624,-181.35409457900806,False,False,False,False,10092.818808931175,False,False,False,False
2022-01-10 00:00:00+00:00,9.71,9.71,9.71,9.71,100002,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,32.42991255144033,-97.22731267146776,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-101626,-4159.575502634733,False,False,False,False,13618.669051718189,False,False,False,False
2022-01-11 00:00:00+00:00,9.73,9.73,9.7,9.7,12321,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,39.86517499812345,-86.93211010402928,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-89305,-7498.611757433371,False,False,False,False,13567.780069297869,False,False,False,False
2022-01-12 00:00:00+00:00,9.72,9.72,9.72,9.72,340,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,42.96258045169027,-79.97349432378643,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-89645,-10720.038747337945,False,False,False,False,13049.04359599207,False,False,False,False
2022-01-13 00:00:00+00:00,9.725,9.725,9.725,9.725,760,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,45.92704737529597,-72.54866817319295,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-88885,-13785.331345481556,False,False,False,False,12567.120317717872,False,False,False,False
2022-01-14 00:00:00+00:00,9.7,9.7,9.7,9.7,100043,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,43.99754118095958,-69.63939165530229,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-188928,-20653.671292717572,False,False,False,False,15997.546971925014,False,False,False,False
