date,Close,High,Low,Open,Volume,aVWAP_peak_41,aVWAP_peak_40,aVWAP_peak_31,aVWAP_valley_31,aVWAP_valley_24,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,29.27,32.3412,29.13,32.34,4678543,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,4678543.0,False,False,False,False
2022-01-07 00:00:00+00:00,28.63,31.0,27.07,29.56,6042888,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6042888,-447621.3333333333,False,False,False,False,4779605.592592592,False,False,False,False
2022-01-14 00:00:00+00:00,28.99,30.46,27.14,28.55,5859881,,,,,,,,#000000,,,,10.744130521289279,-76.86032630322319,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-183007,-428020.2716049382,False,False,False,False,4859625.993141289,False,False,False,False
2022-01-21 00:00:00+00:00,26.54,30.23,26.12,28.78,6159986,,,,,,,,#000000,,,,10.545612111838246,-76.48213155030808,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6342993,-866166.399634202,False,False,False,False,4955948.956612305,False,False,False,False
2022-01-28 00:00:00+00:00,27.42,28.23,25.21,26.25,9137121,,,,,,,,#000000,,26.95333333333333,,16.056993603238894,-70.25204922456078,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2794128,-595033.4811427796,False,False,False,False,5265665.404270653,False,False,False,False
2022-02-04 00:00:00+00:00,27.59,30.01,26.95,27.51,5324121,,,,,,,,#000000,,27.40617609953557,,20.866665269330255,-64.58782235722776,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8118249,50394.85079372255,False,False,False,False,5269995.448398752,False,False,False,False
2022-02-11 00:00:00+00:00,30.8,32.62,27.4543,27.56,6395022,,,,,,,,#000000,,28.29086395570175,,33.28257841031902,-51.642659271021216,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,14513271,1121719.0099941874,False,False,False,False,5353330.748517362,False,False,False,False
2022-02-18 00:00:00+00:00,32.52,34.82,30.1913,31.0,5536510,,,,,,,,#000000,,30.8432259964653,,44.311194628947874,-40.26625667377032,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,20049781,2523797.6759205437,False,False,False,False,5366899.581960521,False,False,False,False
2022-02-25 00:00:00+00:00,29.84,32.9099,27.11,32.18,5765768,,,,,,,,#000000,,30.2606554405126,,46.821803304280756,-37.08640028763224,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,14284013,3394924.7369634667,False,False,False,False,5396445.390704187,False,False,False,False
2022-03-04 00:00:00+00:00,27.53,31.1,27.26,29.82,4865129,,,,,,,,#000000,,29.82804668204944,,45.66566243691702,-37.08640028763224,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.04941484615819637,-0.04941484615819637,False,False,False,False,9418884,3841143.9416328394,False,False,False,False,5357088.621022396,False,False,False,False
2022-03-11 00:00:00+00:00,27.81,29.83,27.39,27.4,5171553,,,,,,,,#000000,,29.52104890787415,,45.24249157108258,-36.44581998588848,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.1149005969624023,-0.08215772156029934,False,False,False,False,14590437,4637387.871882258,False,False,False,False,5343345.241687404,False,False,False,False
2022-03-18 00:00:00+00:00,32.59,32.895,27.675,27.8,5622695,,,,,,,,#000000,,29.75254465917915,,49.89273074831705,-30.60468915469176,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.07682939802964996,-0.0026641617653246907,False,False,False,False,20213132,5791146.696187276,False,False,False,False,5364037.816377226,False,False,False,False
2022-03-25 00:00:00+00:00,34.44,35.2,31.71,32.59,3896804,,,,,,,,#000000,,30.14853151338218,,54.468691089115595,-24.890678036481273,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282434182505,0.17008204082646292,False,False,False,False,24109936,7148094.052025257,False,False,False,False,5255353.829978913,False,False,False,False
2022-04-01 00:00:00+00:00,35.91,36.44,34.32,34.6,4251350,,,,,,,,#000000,,30.67078231615809,,58.59954726561777,-19.655667788088092,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282458627658,0.25645514334461433,False,False,False,False,28361286,8719441.60372709,False,False,False,False,5180983.1759064,False,False,False,False
2022-04-08 00:00:00+00:00,34.8,38.05,34.76,36.17,5653436,,,,,,,,#000000,,32.79469122495562,,60.233922149512175,-16.82381708415096,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282450695566,0.2996416942070855,False,False,False,False,22707850,9755620.003451008,False,False,False,False,5215979.681394815,False,False,False,False
2022-04-15 00:00:00+00:00,35.44,36.49,33.75,34.352,2946756,,,,,,,,#000000,,32.866424128911575,,61.805556742449866,-13.998536657768348,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.22491694669712334,0.2622793204521044,False,False,False,False,25654606,10933322.669862045,False,False,False,False,5047889.038328533,False,False,False,False
2022-04-22 00:00:00+00:00,33.34,36.69,32.67,35.43,5039027,,,,,,,,#000000,,32.847293442615545,,60.63033433347701,-13.87501749162223,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.18606262738564483,0.2241709739188746,False,False,False,False,20615579,11650526.842464857,False,False,False,False,5047232.591044938,False,False,False,False
2022-04-29 00:00:00+00:00,30.7,35.294,30.56,33.02,4036330,,,,,,,,#000000,,32.639898506536454,,57.458836749363385,-13.87501749162223,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.035533865825776854,0.12985241987232574,False,False,False,False,16579249,12015617.372652646,False,False,False,False,4972350.917634202,False,False,False,False
2022-05-06 00:00:00+00:00,26.87,33.62,26.33,30.51,10370442,,,,,,,,#000000,,31.684728240716414,,52.64242638920009,-13.87501749162223,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.21780598915530405,-0.04397678464148916,False,False,False,False,6208807,11585483.270974671,False,False,False,False,5372209.516327965,False,False,False,False
2022-05-13 00:00:00+00:00,25.63,26.26,22.67,25.85,11136712,,,,,,,,#000000,,29.00449157257184,,48.519424237076265,-13.87501749162223,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.34282825441539394,-0.19340251952844156,False,False,False,False,-4927905,10362269.324976549,False,False,False,False,5799209.700303672,False,False,False,False
2022-05-20 00:00:00+00:00,27.33,29.04,25.33,25.51,6416641,,,,,,,,#000000,,28.999505433465846,,46.97911436266942,-13.87501749162223,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.18161917626713864,-0.1875108478977901,False,False,False,False,1488736,9704970.56016347,False,False,False,False,5844945.352133029,False,False,False,False
