date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_178,aVWAP_peak_161,aVWAP_peak_143,aVWAP_peak_127,aVWAP_peak_112,aVWAP_peak_102,aVWAP_peak_83,aVWAP_peak_72,aVWAP_peak_57,aVWAP_peak_50,aVWAP_peak_46,aVWAP_peak_32,aVWAP_peak_23,aVWAP_peak_13,aVWAP_valley_183,aVWAP_valley_171,aVWAP_OB_bull_171,aVWAP_OB_bear_161,aVWAP_OB_bear_83,aVWAP_OB_bear_72,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,37.06,37.69,36.28,37.52,2444693,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2444693.0,False,False,False,False
2022-01-07 00:00:00+00:00,34.38,38.12,33.78,37.19,5839404,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5839404,-432548.44444444444,False,False,False,False,2696153.074074074,False,False,False,False
2022-01-14 00:00:00+00:00,32.33,35.13,31.68,33.76,6030969,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11870373,-1279794.70781893,False,False,False,False,2943176.4759945134,False,False,False,False
2022-01-21 00:00:00+00:00,30.05,32.7,29.63,32.17,5471373,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17341746,-2469568.8776101205,False,False,False,False,3130450.2925875126,False,False,False,False
2022-01-28 00:00:00+00:00,29.45,31.14,28.17,29.32,8722199,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26063945,-4217300.442231593,False,False,False,False,3544653.9005439933,False,False,False,False
2022-02-04 00:00:00+00:00,31.14,32.85,29.36,29.48,5511827,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,6.083978562763535,-44.2487390148876,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20552118,-5427286.927992215,False,False,False,False,3690370.4264296233,False,False,False,False
2022-02-11 00:00:00+00:00,26.9,34.45,26.52,30.24,17475759,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,8.21493476997637,-42.48385765849506,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-38027877,-7842145.451844644,False,False,False,False,4711510.32076817,False,False,False,False
2022-02-18 00:00:00+00:00,28.34,30.74,26.98,27.14,9934904,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.626440945679413,-38.582963152740206,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-28092973,-9342206.751708005,False,False,False,False,5098428.371081639,False,False,False,False
2022-02-25 00:00:00+00:00,26.73,28.14,24.0,27.5,5759062,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,14.946889186379188,-36.76145454596997,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-33852035,-11157749.584914818,False,False,False,False,5147364.195445962,False,False,False,False
2022-03-04 00:00:00+00:00,24.09,26.95,23.81,26.54,4992926,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.55168031234825,-36.54504572111169,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-38844961,-13208654.134180387,False,False,False,False,5135924.329116631,False,False,False,False
