date,Close,High,Low,Open,Volume,aVWAP_peak_185,aVWAP_valley_187,aVWAP_valley_183,aVWAP_valley_171,aVWAP_valley_136,aVWAP_valley_128,aVWAP_valley_121,aVWAP_valley_111,aVWAP_valley_92,aVWAP_valley_64,aVWAP_valley_51,aVWAP_valley_39,aVWAP_valley_25,aVWAP_OB_bull_171,aVWAP_OB_bull_136,aVWAP_OB_bull_92,aVWAP_OB_bull_25,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,13.1990227073,13.8430714057,13.0718032113,13.5488763212,727038,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,727038.0,False,False,False,False
2022-01-07 00:00:00+00:00,13.4773153547,13.6999494727,13.2081666086,13.2308275813,391876,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,391876,29027.85185185185,False,False,False,False,702211.1851851852,False,False,False,False
2022-01-14 00:00:00+00:00,13.7397055652,13.7834372669,13.1990227073,13.5727299767,338156,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,730032,80954.08504801097,False,False,False,False,675244.134430727,False,False,False,False
2022-01-21 00:00:00+00:00,13.1433641778,13.7952845825,13.1195105223,13.6840470357,291668,,,,,,,,,,,,,,,,,,,,#000000,,,,84.277095804818,35.136942127992015,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,438364,107428.89356297311,False,False,False,False,646831.0874358583,False,False,False,False
2022-01-28 00:00:00+00:00,13.2387787998,13.4057543883,12.9763885893,13.1195105223,606886,,,,,,,,,,,,,,,,,,,,#000000,,,,74.40184387633175,26.44662778172537,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1045250,176897.12366941955,False,False,False,False,643872.1920702392,False,False,False,False
2022-02-04 00:00:00+00:00,12.9922910263,13.2785348923,12.8412178749,13.1195105223,473259,,,,,,,,,,,,,,,,,,,,#000000,,,,64.61186393466618,18.067305455984737,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,571991,206163.33673094405,False,False,False,False,631234.1778428141,False,False,False,False
2022-02-11 00:00:00+00:00,12.5152179164,13.2785348923,12.0063399325,12.8968764044,451506,,,,,,,,,,,,,,,,,,,,#000000,,,,54.34557143892641,9.388494294527675,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,120485,199816.79326939263,False,False,False,False,617920.9794840871,False,False,False,False
2022-02-18 00:00:00+00:00,12.4357057315,12.6503886309,12.141510647,12.5947301014,391253,,,,,,,,,,,,,,,,,,,,#000000,,,,46.615077099019,3.217381090775376,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-270768,164958.6604346228,False,False,False,False,601130.7587815621,False,False,False,False
2022-02-25 00:00:00+00:00,12.189217958,12.6424374124,11.8552667811,12.5311203534,533037,,,,,,,,,,,,,,,,,,,,#000000,,12.2289740505,,40.01154949938872,-1.934275910752561,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-803805,93198.38929131742,False,False,False,False,596086.7766495945,False,False,False,False
2022-03-04 00:00:00+00:00,12.3243886725,12.6185837569,11.9904374956,12.1176569915,686765,,,,,,,,,,,,,,,,,,,,#000000,,12.275232698971289,,36.94215680480671,-3.8500692436440573,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.30999439974125337,-0.30999439974125337,False,False,False,False,-117040,77625.17526973835,False,False,False,False,602803.6820829579,False,False,False,False
