date,Close,High,Low,Open,Volume,aVWAP_peak_185,aVWAP_peak_179,aVWAP_peak_168,aVWAP_peak_143,aVWAP_peak_135,aVWAP_peak_119,aVWAP_peak_112,aVWAP_peak_95,aVWAP_peak_67,aVWAP_peak_55,aVWAP_peak_50,aVWAP_peak_45,aVWAP_peak_40,aVWAP_peak_32,aVWAP_peak_10,aVWAP_valley_179,aVWAP_valley_172,aVWAP_valley_162,aVWAP_OB_bear_119,aVWAP_OB_bear_55,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,8.7325,9.35,8.25,8.8975,132783,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,132783.0,False,False,False,False
2022-01-07 00:00:00+00:00,8.445,8.95,8.3925,8.75,67817,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-67817,-5023.481481481481,False,False,False,False,127970.7037037037,False,False,False,False
2022-01-14 00:00:00+00:00,9.5,10.0,8.375,8.5,106330,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,22.777977689816485,-106.94494422454122,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,38513,-1798.5569272976672,False,False,False,False,126367.68861454046,False,False,False,False
2022-01-21 00:00:00+00:00,10.25,11.81,9.09,9.5,213183,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,41.23680052319095,-88.24991760995506,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,251696,16978.817659909564,False,False,False,False,132798.4524208708,False,False,False,False
2022-01-28 00:00:00+00:00,9.0,10.995,8.5,10.25,127536,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,44.363398032328654,-83.87148241127773,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,124160,24918.16449991626,False,False,False,False,132408.64113043592,False,False,False,False
2022-02-04 00:00:00+00:00,9.2625,10.355,8.75,9.31,79512,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.73222101420739,-78.50603369823537,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,203672,38159.189351774316,False,False,False,False,128490.3714170703,False,False,False,False
2022-02-11 00:00:00+00:00,10.5,10.935,9.0,9.25,92459,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.842530147476246,-70.00999279038808,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,296131,57268.21236275399,False,False,False,False,125821.38094173177,False,False,False,False
2022-02-18 00:00:00+00:00,10.925,12.25,10.075025,10.5,138081,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,59.07280237831358,-62.08522951135892,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,434212,85189.9744099574,False,False,False,False,126729.50087197385,False,False,False,False
2022-02-25 00:00:00+00:00,11.875,12.3375,10.675,11.06,157203,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,64.32289817909782,-53.94743436763207,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,591415,122688.12445366426,False,False,False,False,128986.7971036795,False,False,False,False
2022-03-04 00:00:00+00:00,12.3725,12.725,11.2,12.185,166513,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,68.69453673102828,-46.53725104352722,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282823191155537,0.34282823191155537,False,False,False,False,757928,169742.93004968914,False,False,False,False,131766.5158367403,False,False,False,False
2022-03-11 00:00:00+00:00,14.98,15.7,12.4725,12.6325,402014,,,,,,,,,,,,,,,14.384166666666667,,,,,,14.384166666666667,,#000000,,14.384166666666667,,73.86275613589888,-38.30603611218703,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282824073750656,0.34282823632453097,False,False,False,False,1159942,243091.0093052677,False,False,False,False,151784.84799698176,False,False,False,False
2022-03-18 00:00:00+00:00,14.25,15.1125,12.5,15.1125,182504,,,,,,,,,,,,,,,14.249907807230343,,,,,,14.249907807230343,,#000000,,14.249907807230343,,75.19017533339736,-33.73471682322213,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3010531337540603,0.3219406850392956,False,False,False,False,977438,297487.0826900627,False,False,False,False,154060.34073794607,False,False,False,False
2022-03-25 00:00:00+00:00,13.575,14.75,13.1225,14.0,151216,,,,,,,,,,,,,,,14.160692131938987,,,,,,14.160692131938987,,#000000,,14.160692131938987,,74.20234044582932,-31.372261483727883,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.31851521876017924,0.3202279518997374,False,False,False,False,826222,336652.63212042843,False,False,False,False,153849.64883143155,False,False,False,False
2022-04-01 00:00:00+00:00,12.4975,13.6,12.25,13.1075,147742,,,,,,,,,,,,,,,13.930219700365374,,,,,,13.930219700365374,,#000000,,13.930219700365374,,70.86051250648997,-31.372261483727883,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.162363027617326,0.2412954897585317,False,False,False,False,678480,361973.17788928555,False,False,False,False,153397.23039947366,False,False,False,False
