date,Close,High,Low,Open,Volume,aVWAP_peak_904,aVWAP_peak_890,aVWAP_peak_862,aVWAP_peak_848,aVWAP_peak_807,aVWAP_peak_778,aVWAP_peak_776,aVWAP_peak_755,aVWAP_peak_737,aVWAP_peak_709,aVWAP_peak_679,aVWAP_peak_658,aVWAP_peak_640,aVWAP_peak_596,aVWAP_peak_583,aVWAP_peak_559,aVWAP_peak_542,aVWAP_peak_528,aVWAP_peak_514,aVWAP_peak_482,aVWAP_peak_463,aVWAP_peak_427,aVWAP_peak_395,aVWAP_peak_382,aVWAP_peak_365,aVWAP_peak_347,aVWAP_peak_337,aVWAP_peak_318,aVWAP_peak_260,aVWAP_peak_232,aVWAP_peak_208,aVWAP_peak_192,aVWAP_peak_154,aVWAP_peak_136,aVWAP_peak_121,aVWAP_peak_60,aVWAP_valley_897,aVWAP_valley_869,aVWAP_valley_856,aVWAP_valley_819,aVWAP_OB_bull_869,aVWAP_OB_bear_755,aVWAP_OB_bear_559,aVWAP_OB_bear_260,aVWAP_OB_bear_232,aVWAP_OB_bear_60,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,7.32,7.42,6.9,7.04,1258445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1258445.0,False,False,False,False
2022-01-04 00:00:00+00:00,6.88,7.24,6.84,7.2,1509351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1509351,-59190.23529411764,False,False,False,False,1268284.450980392,False,False,False,False
2022-01-05 00:00:00+00:00,6.56,7.12,6.48,6.92,1497148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3006499,-174770.97116493655,False,False,False,False,1277259.492118416,False,False,False,False
2022-01-06 00:00:00+00:00,6.4,6.7,6.32,6.6596,1796321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4802820,-356263.0899427822,False,False,False,False,1297614.845368674,False,False,False,False
2022-01-07 00:00:00+00:00,6.48,6.92,6.384,6.4,1463305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,3.250067150147733,-47.02077177903124,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3339515,-473253.3609254182,False,False,False,False,1304112.4984914712,False,False,False,False
2022-01-10 00:00:00+00:00,6.92,6.96,6.6,6.708,2479649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,16.578409058935478,-34.98368431542846,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-859866,-488414.64088912733,False,False,False,False,1350211.9691388644,False,False,False,False
2022-01-11 00:00:00+00:00,6.96,7.2,6.56,6.92,2489242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,26.14089395143551,-27.071386157171773,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1629376,-405364.0275209263,False,False,False,False,1394879.81348636,False,False,False,False
2022-01-12 00:00:00+00:00,6.84,7.2,6.8,7.04,1529031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,30.92264752896753,-23.744845051308427,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,100345,-385532.30095147825,False,False,False,False,1400140.6443300322,False,False,False,False
2022-01-13 00:00:00+00:00,6.64,7.0,6.6,6.84,1280500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,31.921694005119193,-23.70996409293165,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1180155,-416693.97542396927,False,False,False,False,1395448.8543563054,False,False,False,False
2022-01-14 00:00:00+00:00,6.56,6.6656,6.4,6.5444,1158690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,31.834600654208895,-23.70996409293165,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2338845,-492072.4469759705,False,False,False,False,1386164.1934011562,False,False,False,False
