date,Open,High,Low,Close,Volume,aVWAP_peak_402,aVWAP_peak_401,aVWAP_peak_364,aVWAP_peak_307,aVWAP_peak_243,aVWAP_valley_392,aVWAP_valley_372,aVWAP_valley_339,aVWAP_valley_297,aVWAP_valley_277,aVWAP_valley_227,aVWAP_valley_187,aVWAP_valley_168,aVWAP_valley_137,aVWAP_valley_91,aVWAP_OB_bull_392,aVWAP_OB_bull_91,aVWAP_OB_bear_307,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-20 17:00:00+00:00,35.08,35.54,34.645,34.72,286.0,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,286.0,False,False,False,False
2023-12-21 17:00:00+00:00,34.86,35.18,34.84,35.14,499.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,499.0,7.736434108527131,False,False,False,False,289.30232558139534,False,False,False,False
2023-12-22 17:00:00+00:00,35.77,35.97,35.72,35.89,1495.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1994.0,38.53121807583678,False,False,False,False,307.99531278168377,False,False,False,False
2023-12-25 17:00:00+00:00,35.89,35.89,35.89,35.89,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1994.0,68.84856353202537,False,False,False,False,303.22019165328555,False,False,False,False
2023-12-26 17:00:00+00:00,36.13,36.56,36.13,36.44,235.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2229.0,102.33928347726528,False,False,False,False,302.1625142633122,False,False,False,False
2023-12-27 17:00:00+00:00,36.38,36.5,36.07,36.29,614.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,96.49821147792451,46.84839033013206,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1615.0,125.79138760940069,False,False,False,False,306.99720396465614,False,False,False,False
2023-12-28 17:00:00+00:00,35.99,36.11,35.8,35.8,688.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,85.85450117949821,37.47915837287292,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,927.0,138.21322656119293,False,False,False,False,312.9042240582274,False,False,False,False
2023-12-29 17:00:00+00:00,35.62,36.015,35.59,35.59,867.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,76.21055921345274,29.55029045404399,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,60.0,137.00061839745348,False,False,False,False,321.49485624337115,False,False,False,False
2024-01-01 17:00:00+00:00,35.59,35.59,35.59,35.59,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,69.78126456942242,24.727983415011636,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,60.0,135.80681036028363,False,False,False,False,316.51043986750494,False,False,False,False
2024-01-02 17:00:00+00:00,35.39,35.39,34.72,35.03,324.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,60.077905017559786,16.825563131710396,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-264.0,129.60825516089938,False,False,False,False,316.6265570788614,False,False,False,False
