date,Close,High,Low,Open,Volume,aVWAP_peak_183,aVWAP_valley_187,aVWAP_valley_171,aVWAP_valley_155,aVWAP_valley_150,aVWAP_valley_137,aVWAP_valley_129,aVWAP_valley_111,aVWAP_valley_107,aVWAP_valley_97,aVWAP_valley_85,aVWAP_valley_74,aVWAP_valley_63,aVWAP_valley_51,aVWAP_valley_42,aVWAP_valley_28,aVWAP_OB_bull_171,aVWAP_OB_bull_97,aVWAP_OB_bull_42,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,7.182114263,7.2861310902,6.983986973,7.063237889,2404744,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2404744.0,False,False,False,False
2022-01-07 00:00:00+00:00,7.2712715435,7.5040711092,6.8750169635,7.1325824405,4271268,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4271268,316390.2222222222,False,False,False,False,2543005.037037037,False,False,False,False
2022-01-14 00:00:00+00:00,7.8062152265,8.2272357178,7.04342516,7.1920206275,5925268,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10196536,1048252.8724279834,False,False,False,False,2793543.0342935524,False,False,False,False
2022-01-21 00:00:00+00:00,7.5882752075,8.311439816,7.5040711092,7.855747049,4969610,,,,,,,,,,,,,,,,,,,,,,#000000,,,,92.16635806865119,42.59476036177183,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5226926,1357784.2152110958,False,False,False,False,2954733.1799014374,False,False,False,False
2022-01-28 00:00:00+00:00,6.9938933375,7.617994301,6.7214683137,7.2910842725,7432714,,,,,,,,,,,,,,,,,,,,,,#000000,,7.111118650733334,,77.34663496849163,28.90679258849272,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2205788,1093815.902973237,False,False,False,False,3286435.4628717015,False,False,False,False
2022-02-04 00:00:00+00:00,7.2910842725,7.3980730091,6.8601574167,6.9740806085,7321621,,,,,,,,,,,,,,,,,,,,,,#000000,,7.146840764281192,,70.04363229897838,22.845295586798812,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5115833,1391743.0953455898,False,False,False,False,3585338.095251575,False,False,False,False
2022-02-11 00:00:00+00:00,7.974623423,8.3609716386,7.24155245,7.3307097305,5561748,,,,,,,,,,,,,,,,,,,,,,#000000,,7.600432354101244,,69.25834871643303,22.845295586798812,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10677581,2079582.9401348054,False,False,False,False,3731738.828936644,False,False,False,False
2022-02-18 00:00:00+00:00,7.697245217,8.291627087,7.6873388525,7.9449043295,3885330,,,,,,,,,,,,,,,,,,,,,,#000000,,7.6513920807836655,,66.33831425313667,20.917860658748182,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6792251,2428669.4630877827,False,False,False,False,3743115.9527191147,False,False,False,False
2022-02-25 00:00:00+00:00,7.736870675,7.8607002313,6.9740806085,7.7071515815,6467655,,,,,,,,,,,,,,,,,,,,,,#000000,,7.590410987360091,,64.46831468648705,19.71265128951694,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13259906,3230983.280636836,False,False,False,False,3944933.659925106,False,False,False,False
2022-03-04 00:00:00+00:00,8.1034061615,8.3163929983,7.5486497495,7.5486497495,8185715,,,,,,,,,,,,,,,,,,,,,,#000000,,7.691160622057714,,64.90712328760758,19.71265128951694,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.2945354755967898,0.2945354755967898,False,False,False,False,21445621,4580215.7042933665,False,False,False,False,4259065.611041765,False,False,False,False
