date,Close,High,Low,Open,Volume,aVWAP_peak_180,aVWAP_peak_160,aVWAP_valley_186,aVWAP_valley_171,aVWAP_valley_136,aVWAP_valley_127,aVWAP_valley_120,aVWAP_valley_107,aVWAP_valley_92,aVWAP_valley_64,aVWAP_valley_50,aVWAP_valley_39,aVWAP_valley_27,aVWAP_OB_bull_64,aVWAP_OB_bull_50,aVWAP_OB_bull_39,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,6.0538917616,6.1789417737,5.9582652818,6.0171123463,76768052,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,76768052.0,False,False,False,False
2022-01-07 00:00:00+00:00,6.796835951,6.8483271325,6.0759594108,6.0833152938,106504327,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,106504327,7889209.407407407,False,False,False,False,78970739.03703703,False,False,False,False
2022-01-14 00:00:00+00:00,7.0542918583,7.1057830397,6.5724815176,6.8189036002,95326421,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,201830748,22255249.303155005,False,False,False,False,80182271.03429355,False,False,False,False
2022-01-21 00:00:00+00:00,6.7453447696,7.1940536365,6.7012094712,7.1057830397,75037361,,,,,,,,,,,,,,,,,,,#000000,,,,92.62214449645526,43.025620969305365,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,126793387,29998815.058476858,False,False,False,False,79801166.58730884,False,False,False,False
2022-01-28 00:00:00+00:00,6.9880889107,7.2161212857,6.4363976809,6.5835153422,137502140,,,,,,,,,,,,,,,,,,,#000000,,,,88.66968177173285,39.591915904478796,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,264295527,47354127.05414524,False,False,False,False,84075312.7660267,False,False,False,False
2022-02-04 00:00:00+00:00,7.5324242574,7.6574742695,6.8851065478,6.9880889107,131453465,,,,,,,,,,,,,,,,,,,#000000,,,,87.66595867828136,39.02584784273401,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,395748992,73161154.08717151,False,False,False,False,87584805.5240988,False,False,False,False
2022-02-11 00:00:00+00:00,7.7100840193,7.7325405747,7.3058660222,7.56037365,99327812,,,,,,,,,,,,,,,,,,,#000000,,,,87.35194776488453,39.02584784273401,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,495076804,104414165.19182546,False,False,False,False,88454657.85564703,False,False,False,False
2022-02-18 00:00:00+00:00,7.5229460577,7.769968167,7.4057228385,7.6876274639,88623028,,,,,,,,,,,,,,,,,,,#000000,,,,84.73239063446488,36.793545276536776,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,406453776,126787469.69613469,False,False,False,False,88467129.7181917,False,False,False,False
2022-02-25 00:00:00+00:00,7.3283225776,7.6352288346,7.1374418567,7.6202577977,93106597,,,,,,,,,,,,,,,,,,,#000000,,,,80.68553281082403,33.21927601722689,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,313347179,140606707.42234692,False,False,False,False,88810793.9612886,False,False,False,False
2022-03-04 00:00:00+00:00,7.8073957593,7.8972219809,7.2759239483,7.3208370591,113102838,,,,,,,,,,,,,,,,,,,#000000,,,,79.51355237615694,32.43362414454651,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3422079475379643,0.3422079475379643,False,False,False,False,426450017,161780285.90958047,False,False,False,False,90610204.63082278,False,False,False,False
2022-03-11 00:00:00+00:00,7.56037365,8.0020192394,7.5304315761,7.9196785363,141620050,,,,,,,,,,,,,,,,,,,#000000,,,,76.45648125389384,29.793893283172167,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282819762007993,0.3425180725790221,False,False,False,False,284829967,170895077.10146338,False,False,False,False,94388711.69520627,False,False,False,False
2022-03-18 00:00:00+00:00,7.3283225776,7.5304315761,7.1187280605,7.4930039838,102825709,,,,,,,,,,,,,,,,,,,#000000,,7.325827404733334,,72.45120479716918,26.275034456960114,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.0198997636414888,0.18120891811025547,False,False,False,False,182004258,171717979.3902439,False,False,False,False,95013674.45852432,False,False,False,False
2022-03-25 00:00:00+00:00,7.9121930178,7.9346495732,7.384463966,7.4031777622,99619626,,,,,,,,,,,,,,,,,,,#000000,,7.5314887043617516,,71.73516867437178,25.91082271955517,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.2608626502789619,0.22103578419460868,False,False,False,False,281623884,179859157.5094851,False,False,False,False,95354856.05418918,False,False,False,False
2022-04-01 00:00:00+00:00,8.6233172721,8.6757159013,7.6763991862,7.8597943886,165399175,,,,,,,,,,,,,,,,,,,#000000,,7.888351311768329,,73.00000441258013,25.91082271955517,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428281995436639,0.2819319918691363,False,False,False,False,447023059,199649076.13841215,False,False,False,False,100543324.12424925,False,False,False,False
2022-04-08 00:00:00+00:00,8.4062372366,8.7243717713,8.091845461,8.6682303828,89640118,,,,,,,,,,,,,,,,,,,#000000,,7.990070990099408,,72.52452415162642,25.91082271955517,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428281892635931,0.31238009056636473,False,False,False,False,357382941,211333066.1281594,False,False,False,False,99735679.22615671,False,False,False,False
2022-04-15 00:00:00+00:00,8.6308027905,8.6981724567,8.2190992749,8.3837806812,68890380,,,,,,,,,,,,,,,,,,,#000000,,8.058906250283984,,72.72236158085644,25.91082271955517,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282818910490637,0.3276041398356355,False,True,False,False,426273321,227254566.48903647,False,False,False,False,97450842.2464414,False,False,False,False
2022-04-22 00:00:00+00:00,8.4436648289,9.0425063061,8.413722755,8.6682303828,93424842,,,,,,,,,,,,,,,,,,,#000000,,8.145486547193936,,71.70576239553,25.91082271955517,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282016445188,0.33521617074007715,False,False,False,False,332848479,235076337.78614488,False,False,False,False,97152620.00596426,False,False,False,False
2022-04-29 00:00:00+00:00,8.2939544596,8.6457738275,7.9121930178,8.2378130711,126497310,,,,,,,,,,,,,,,,,,,#000000,,8.168960120293548,,70.0845279768211,24.837541193847187,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.11936364077518369,0.22728990575763042,False,False,True,False,206351169,232948547.50568968,False,False,False,False,99326300.7462632,False,False,False,False
2022-05-06 00:00:00+00:00,8.8553683445,9.3419270447,8.1592151272,8.2490413488,148326113,,,,,,,,,,,,,,,,,,,#000000,,8.528342423669343,,70.42082346562363,24.837541193847187,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282024755561,0.28505905411659327,False,False,False,False,354677282,241965490.8015645,False,False,False,False,102955916.46876222,False,False,False,False
2022-05-13 00:00:00+00:00,8.4137420642,8.7335404051,7.8845519525,8.7183119127,134154331,,,,,,,,,,,,,,,,,,,#000000,,8.400138359707809,,68.32237312163535,23.071759686043748,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.12631390339737003,0.20568647875698165,False,False,False,False,220522951,240377154.51996714,False,False,False,False,105266910.13774279,False,False,False,False
2022-05-20 00:00:00+00:00,8.4594275415,8.9771962839,8.2538428937,8.3756708331,97465919,,,,,,,,,,,,,,,,,,,#000000,,8.438038829500377,,66.95610036894254,21.722521576660768,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.27416195109030816,0.2399242149236449,False,False,False,False,317988870,246126170.48145103,False,False,False,False,104689058.94235443,False,False,False,False
2022-05-27 00:00:00+00:00,8.8705968369,8.9695820377,8.3528280945,8.4746560339,86473749,,,,,,,,,,,,,,,,,,,#000000,,8.484649722350332,,67.1064300926304,21.722521576660768,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.2832807007636128,0.26160245784362884,False,False,False,False,404462619,257854796.29763985,False,False,False,False,103339776.72440225,False,False,False,False
2022-06-03 00:00:00+00:00,9.0228817611,9.198009424,8.802068621,8.9924247763,68270837,,,,,,,,,,,,,,,,,,,#000000,,8.542788097267854,,67.59601212958265,21.722521576660768,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428281645277542,0.30221531118569156,False,False,False,False,472733456,273771734.05337024,False,False,False,False,100742077.48555763,False,False,False,False
2022-06-10 00:00:00+00:00,8.8629825907,9.4645080414,8.7944543748,9.1218669619,81918532,,,,,,,,,,,,,,,,,,,#000000,,8.70928880978857,,67.07596565465411,21.590652901770355,False,False,True,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,0.34282816733021654,0.322521739257954,False,False,False,False,390814924,282441599.9753428,False,False,False,False,99347740.78292373,False,False,False,False
2022-06-17 00:00:00+00:00,7.4848040263,8.6459765737,7.4086615642,8.6459765737,156933304,,,,,,,,,,,,,,,,,,,#000000,,8.402708051644714,,61.25423904698906,15.931843284683325,False,False,True,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.34282825441539394,-0.01015325757871996,False,False,False,False,233881620,278844564.4216137,False,False,False,False,103613338.0582627,False,False,False,False
2022-06-24 00:00:00+00:00,7.6903886741,7.975922907,7.2830265017,7.8046023672,97690556,,,,,,,,,,,,,,,,,,,#000000,,8.295658601384995,,57.77046800449067,12.690236725768898,False,False,True,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.34282825441539394,-0.17649075599705694,False,False,False,False,331572176,282750313.4274201,False,False,False,False,103174613.46135436,False,False,False,False
2022-07-01 00:00:00+00:00,7.6294747044,8.0178012612,7.4391185491,7.7665311362,129583855,,,,,,,,,,,,,,,,,,,#000000,,8.20843281941076,,55.08766603991067,10.262686290100866,False,False,True,False,False,,0.0,0.0,0.0,0.0,1,1.0757827081358844,0.8698343908655572,False,False,False,False,-0.2946910358581576,-0.23559089592760726,False,False,False,False,201988321,276767943.61798155,False,False,False,False,105130853.57532811,False,False,False,False
2022-07-08 00:00:00+00:00,7.5761749809,7.6218604581,6.9670352839,7.507646765,113665378,,,,,,,,,,,,,7.388356907633332,,,,,7.388356907633332,#000000,,7.910805970306045,,52.99396840494307,8.39805500495956,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,1.0433471535352288,0.9308014593673515,False,False,False,False,-0.34282825441539394,-0.2892095751715006,False,False,False,False,88322943,262809054.68331623,False,False,False,False,105763040.56974825,False,False,False,False
