date,Close,High,Low,Open,Volume,aVWAP_peak_218,aVWAP_peak_202,aVWAP_peak_190,aVWAP_peak_169,aVWAP_peak_167,aVWAP_peak_129,aVWAP_peak_109,aVWAP_peak_96,aVWAP_peak_60,aVWAP_valley_229,aVWAP_valley_212,aVWAP_valley_181,aVWAP_valley_158,aVWAP_OB_bear_109,aVWAP_OB_bear_60,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-09-10 00:00:00+00:00,2.305,2.32,2.2805,2.2963,1604,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1604.0,False,False,False,False
2024-09-11 00:00:00+00:00,2.35,2.35,2.28,2.28,6407,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6407,251.2549019607843,False,False,False,False,1792.3529411764707,False,False,False,False
2024-09-12 00:00:00+00:00,2.44,2.49,2.35,2.35,4089,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10496,653.0096116878124,False,False,False,False,1882.4175317185698,False,False,False,False
2024-09-13 00:00:00+00:00,2.41,2.49,2.36,2.4484,13832,,,,,,,,,,,,,,,,,,#000000,,,,93.28896283971162,43.84821593640231,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3336,496.577862209859,False,False,False,False,2351.028608906077,False,False,False,False
2024-09-16 00:00:00+00:00,2.38,2.435,2.28,2.435,9769,,,,,,,,,,,,,,,,,,#000000,,,,83.98803761579465,35.69520321227223,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13105,-36.81734807288052,False,False,False,False,2641.9294477725052,False,False,False,False
2024-09-17 00:00:00+00:00,2.476,2.476,2.2801,2.32,11157,,,,,,,,,,,,,,,,,,#000000,,,,82.28235534719762,34.88140132434147,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1948,-111.7656873641401,False,False,False,False,2975.8537831539757,False,False,False,False
2024-09-18 00:00:00+00:00,2.46,2.46,2.3602,2.42,6841,,,,,,,,,,,,,,,,,,#000000,,,,79.3926782731583,32.77969632701411,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8789,-452.04938589887973,False,False,False,False,3127.428144598918,False,False,False,False
2024-09-19 00:00:00+00:00,2.485,2.51,2.45,2.45,11307,,,,,,,,,,,,,,,,,,#000000,,,,78.37038157914098,32.29571002038554,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2518,-335.5768609616688,False,False,False,False,3448.195668340137,False,False,False,False
2024-09-20 00:00:00+00:00,2.455,2.53,2.442,2.5,4540,,,,,,,,,,,,,,,,,,#000000,,,,74.64906565362934,29.149293512096378,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2022,-401.71110170827006,False,False,False,False,3491.011524483661,False,False,False,False
2024-09-23 00:00:00+00:00,2.48,2.5,2.48,2.48,2953,,,,,,,,,,,,,,,,,,#000000,,,,73.24722310703032,28.138500554716586,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,931,-349.44792124912226,False,False,False,False,3469.9130333274393,False,False,False,False
