date,Close,High,Low,Open,Volume,aVWAP_peak_191,aVWAP_peak_149,aVWAP_peak_136,aVWAP_peak_120,aVWAP_peak_54,aVWAP_peak_28,aVWAP_valley_171,aVWAP_valley_130,aVWAP_valley_114,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,7.94,8.07,7.53,7.79,7811867,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,7811867.0,False,False,False,False
2022-01-04 00:00:00+00:00,7.5,8.06,7.28,8.035,2397938,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2397938,-94036.78431372548,False,False,False,False,7599556.05882353,False,False,False,False
2022-01-05 00:00:00+00:00,7.1,7.535,7.09,7.44,2470201,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4868139,-281256.47904652054,False,False,False,False,7398404.880046137,False,False,False,False
2022-01-06 00:00:00+00:00,6.98,7.29,6.84,7.02,3260038,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8128177,-588978.8524172453,False,False,False,False,7236115.982789425,False,False,False,False
2022-01-07 00:00:00+00:00,6.89,7.14,6.835,6.93,3962864,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12091041,-1040040.1131067651,False,False,False,False,7107753.159934939,False,False,False,False
2022-01-10 00:00:00+00:00,6.91,6.95,6.49,6.79,3707711,,,,,,,,,,,,#000000,,,,0.8312100319744407,-49.238057470690094,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8383330,-1328012.2655339506,False,False,False,False,6974418.173270824,False,False,False,False
2022-01-11 00:00:00+00:00,7.35,7.36,6.8,6.93,3818986,,,,,,,,,,,,#000000,,,,13.617460977264793,-37.56350577261696,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4564344,-1454927.2355130115,False,False,False,False,6850675.735103341,False,False,False,False
2022-01-12 00:00:00+00:00,6.91,7.3,6.855,7.08,3206270,,,,,,,,,,,,#000000,,,,18.316977255116186,-33.9948245854351,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7770614,-1702601.226277207,False,False,False,False,6707757.863138504,False,False,False,False
2022-01-13 00:00:00+00:00,6.65,7.0,6.63,6.99,2401042,,,,,,,,,,,,#000000,,,,19.97291310772149,-33.19796881571876,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10171656,-2034721.0213251598,False,False,False,False,6538867.04497621,False,False,False,False
2022-01-14 00:00:00+00:00,6.55,6.82,6.3,6.54,3277875,,,,,,,,,,,,#000000,,,,20.585127541808042,-33.14527558860564,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13449531,-2482360.6283320165,False,False,False,False,6410985.003996751,False,False,False,False
2022-01-18 00:00:00+00:00,6.49,6.82,6.27,6.4,4308675,,,,,,,,,,,,#000000,,,,20.701483464089073,-33.14527558860564,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17758206,-3081413.3880052706,False,False,False,False,6328541.474428251,False,False,False,False
2022-01-19 00:00:00+00:00,6.72,6.9,6.55,6.6,4000851,,,,,,,,,,,,#000000,,,,24.593860401257047,-29.84833585042605,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13757355,-3500077.7649462405,False,False,False,False,6237259.495038909,False,False,False,False
2022-01-20 00:00:00+00:00,6.72,7.02,6.69,6.82,5158170,,,,,,,,,,,,#000000,,,,27.18877835936903,-27.635963041456694,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13757355,-3902323.93102678,False,False,False,False,6194942.259939344,False,False,False,False
2022-01-21 00:00:00+00:00,6.13,6.72,6.12,6.68,4940933,,,,,,,,,,,,#000000,,,,25.572922912923595,-27.635963041456694,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18698288,-4482557.8160845535,False,False,False,False,6145765.426216233,False,False,False,False
