date,Close,High,Low,Open,Volume,aVWAP_peak_185,aVWAP_peak_177,aVWAP_peak_164,aVWAP_peak_155,aVWAP_peak_142,aVWAP_peak_126,aVWAP_peak_118,aVWAP_peak_111,aVWAP_peak_101,aVWAP_peak_85,aVWAP_peak_55,aVWAP_peak_32,aVWAP_peak_23,aVWAP_peak_13,aVWAP_peak_6,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_150,aVWAP_valley_138,aVWAP_valley_129,aVWAP_valley_122,aVWAP_valley_116,aVWAP_valley_108,aVWAP_valley_95,aVWAP_valley_91,aVWAP_valley_75,aVWAP_valley_71,aVWAP_valley_57,aVWAP_valley_48,aVWAP_valley_42,aVWAP_valley_28,aVWAP_valley_23,aVWAP_OB_bear_177,aVWAP_OB_bear_118,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,5.03,5.75,5.02,5.67,330427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,330427.0,False,False,False,False
2022-01-07 00:00:00+00:00,5.08,5.45,4.5762,5.3,155212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,155212,11497.185185185184,False,False,False,False,317448.1111111111,False,False,False,False
2022-01-14 00:00:00+00:00,4.71,5.0376,4.41,4.96,131398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,74.62857142857142,-64.17142857142862,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,23814,12409.54183813443,False,False,False,False,303666.62139917695,False,False,False,False
2022-01-21 00:00:00+00:00,5.72,5.88,4.505,4.74,256288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,74.82433418164723,-62.59887159391164,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,280102,32238.612813087435,False,False,False,False,300157.0938881268,False,False,False,False
2022-01-28 00:00:00+00:00,4.77,5.47,4.6,5.47,172563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,65.9013731701361,-62.59887159391164,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,107539,37816.41927137726,False,False,False,False,290705.6795260433,False,False,False,False
2022-02-04 00:00:00+00:00,5.21,5.5,4.7,4.7,52092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,62.31381589933048,-62.59887159391164,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,159631,46839.721547571535,False,False,False,False,273030.59215374384,False,False,False,False
2022-02-11 00:00:00+00:00,7.26,7.98,5.25,5.34,844683,,,,,,,,,,,,,,,6.830000000000001,,,,,,,,,,,,,,,,,,,,6.830000000000001,,#000000,,6.830000000000001,,65.92596908590927,-62.59887159391164,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1004314,117763.74217367734,False,False,False,False,315375.21495717025,False,False,False,False
2022-02-18 00:00:00+00:00,6.54,7.42,6.5,7.24,176174,,,,,,,,,,,,,,,6.828274253886685,,,,,,,,,,,,,,,,,,,,6.828274253886685,,#000000,,6.828274253886685,,65.32713022736351,-60.85370347674443,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,828140,170384.2057163679,False,False,False,False,305064.0138492317,False,False,False,False
2022-02-25 00:00:00+00:00,6.07,6.6,5.57,6.6,105210,,,,,,,,,,,,,,,6.758361953596012,,,,,,,,,,,,,,,,,,,,6.758361953596012,,#000000,,6.758361953596012,,63.184122904665955,-59.1757947411956,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,722930,211313.52381145174,False,False,False,False,290260.01282336266,False,False,False,False
2022-03-04 00:00:00+00:00,6.47,7.47,5.92,6.06,237224,,,,,,,,,,,,,,,6.734285820122043,,,,,,,,,,,,,,,,,,,,6.734285820122043,,#000000,,6.734285820122043,,62.60518024567064,-55.73038575654326,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.2573197858349309,0.2573197858349309,False,False,False,False,960154,266783.18871430715,False,False,False,False,286331.41928089136,False,False,False,False
