date,Close,High,Low,Open,Volume,aVWAP_peak_176,aVWAP_peak_169,aVWAP_peak_145,aVWAP_peak_138,aVWAP_peak_132,aVWAP_peak_126,aVWAP_peak_114,aVWAP_valley_171,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_122,aVWAP_valley_112,aVWAP_valley_95,aVWAP_valley_91,aVWAP_valley_86,aVWAP_valley_78,aVWAP_valley_70,aVWAP_valley_53,aVWAP_valley_41,aVWAP_OB_bull_171,aVWAP_OB_bull_53,aVWAP_OB_bear_132,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,143.9,156.73,143.55,147.51,256680653,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,256680653.0,False,False,False,False
2022-01-07 00:00:00+00:00,132.0,152.42,131.13,145.135,328325337,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-328325337,-24320395.333333332,False,False,False,False,261987666.62962964,False,False,False,False
2022-01-14 00:00:00+00:00,136.88,141.25,125.03,129.08,378969023,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,8.721553675682108,-71.80388418920526,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,50643686,-18767500.419753086,False,False,False,False,270652952.2866941,False,False,False,False
2022-01-21 00:00:00+00:00,118.81,136.3893,118.39,134.5,312490767,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.174204600683833,-69.95371514502571,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-261847081,-36773395.277549155,False,False,False,False,273752049.6728649,False,False,False,False
2022-01-28 00:00:00+00:00,105.24,117.16,99.35,115.4,520860981,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,107.25,,10.005198852909688,-69.35686483860901,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-782708062,-92027815.03476775,False,False,False,False,292056414.9563564,False,False,False,False
2022-02-04 00:00:00+00:00,123.6,130.06,106.9,107.93,589550336,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,114.1184604193865,,17.82074480189218,-60.92359077204166,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-193157726,-99518919.55071087,False,False,False,False,314093001.70033,False,False,False,False
2022-02-11 00:00:00+00:00,113.18,132.96,111.81,123.56,533187219,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,115.80477071479535,,21.723137985078193,-56.3125313826925,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-726344945,-145950476.99139893,False,False,False,False,330322202.9817871,False,False,False,False
2022-02-18 00:00:00+00:00,113.83,121.88,109.89,115.51,610896584,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,115.64089705612372,,24.714373746742098,-52.50424892877952,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-115448361,-143691060.99203604,False,False,False,False,351105490.46461767,False,False,False,False
2022-02-25 00:00:00+00:00,121.06,121.23,104.26,115.27,532146205,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,115.61717361181027,,28.989327295993938,-47.41223954869416,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,416697844,-102180771.7333667,False,False,False,False,364515913.7635349,False,False,False,False
2022-03-04 00:00:00+00:00,108.41,124.61,106.81,120.31,594160955,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,115.2058399322463,,30.09939629129468,-45.32479459914377,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.21581781876514972,-0.21581781876514972,False,False,False,False,-177463111,-107757241.30867286,False,False,False,False,381526657.5588286,False,False,False,False
