date,Open,High,Low,Close,Volume,aVWAP_peak_155,aVWAP_valley_74,aVWAP_OB_bull_74,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-26 17:00:00+00:00,28.925,28.94,28.305,28.375,23521.0,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,23521.0,False,False,False,False
2024-12-27 17:00:00+00:00,28.125,28.37,28.125,28.2,22385.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22385.0,-347.05426356589146,False,False,False,False,23503.387596899225,False,False,False,False
2024-12-30 17:00:00+00:00,27.96,28.1,27.63,28.07,20885.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-43270.0,-1012.5262904873505,False,False,False,False,23462.792440358153,False,False,False,False
2024-12-31 17:00:00+00:00,28.0,28.13,27.655,27.68,22049.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-65319.0,-2009.5258828828955,False,False,False,False,23440.87317771694,False,False,False,False
2025-01-01 17:00:00+00:00,27.68,27.68,27.68,27.68,0.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-65319.0,-2991.068117256804,False,False,False,False,23077.44878736474,False,False,False,False
2025-01-02 17:00:00+00:00,28.355,28.475,27.905,28.065,8277.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,14.35973043794883,-37.076242605846055,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-57042.0,-3829.067061175303,False,False,False,False,22847.984465080015,False,False,False,False
2025-01-03 17:00:00+00:00,28.13,28.515,28.04,28.515,16027.0,,,,,,"rgba(239, 83, 80, 0.5)",,,,30.794105023033026,-23.146889305547205,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-41015.0,-4405.5931532501045,False,False,False,False,22742.23276794699,False,False,False,False
2025-01-06 17:00:00+00:00,29.165,29.335,28.98,29.065,10336.0,,,,,,#000000,,,,45.77285739231927,-11.111586022309005,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30679.0,-4812.932794284986,False,False,False,False,22549.88807387029,False,False,False,False
2025-01-07 17:00:00+00:00,29.185,29.52,29.0,29.235,30841.0,,,,,,"rgba(38, 166, 154, 0.5)",,29.25166666666667,,56.59619443030549,-2.979012366607023,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,162.0,-4735.802053288319,False,False,False,False,22678.432444818038,False,False,False,False
2025-01-08 17:00:00+00:00,28.09,28.09,27.405,27.545,46250.0,,,,,,#000000,,28.308760447609536,,49.81761418159631,-2.979012366607023,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-46088.0,-5376.921401299353,False,False,False,False,23043.8831045883,False,False,False,False
2025-01-09 17:00:00+00:00,27.545,27.545,27.545,27.545,0.0,,,,,,"rgba(239, 83, 80, 0.5)",,28.308760447609536,,45.29856068245686,8.169765865656942,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-46088.0,-6008.100914457503,False,False,False,False,22686.613599090808,False,False,False,False
2025-01-10 17:00:00+00:00,26.475,27.15,26.34,26.965,23645.0,,,,,,"rgba(239, 83, 80, 0.5)",,27.958923754500216,,40.001330169028535,3.7060086401674397,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-69733.0,-6996.083846016301,False,False,False,False,22701.47230298087,False,False,False,False
2025-01-13 17:00:00+00:00,26.38,26.755,26.33,26.505,22483.0,,,,,,"rgba(239, 83, 80, 0.5)",,27.69819697719778,,35.05531115518508,-0.7601727068563804,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-92216.0,-8317.322856155582,False,False,False,False,22698.08513549279,False,False,False,False
2025-01-14 17:00:00+00:00,26.255,26.29,25.94,25.995,26165.0,,,,,,"rgba(239, 83, 80, 0.5)",,27.41388976284832,,30.478532593294823,-5.139557951311382,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-118381.0,-10023.736455284954,False,False,False,False,22751.835753547166,False,False,False,False
2025-01-15 17:00:00+00:00,25.69,25.725,25.46,25.5,37527.0,,,,,,"rgba(239, 83, 80, 0.5)",,27.042010225900743,,26.412452307243367,-9.247974863814882,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-155908.0,-12285.507983109994,False,False,False,False,22980.908067445656,False,False,False,False
