date,Close,High,Low,Open,Volume,aVWAP_peak_183,aVWAP_peak_178,aVWAP_peak_162,aVWAP_peak_150,aVWAP_peak_135,aVWAP_peak_128,aVWAP_peak_121,aVWAP_peak_115,aVWAP_peak_100,aVWAP_peak_91,aVWAP_peak_80,aVWAP_peak_71,aVWAP_peak_66,aVWAP_peak_58,aVWAP_peak_45,aVWAP_peak_34,aVWAP_peak_20,aVWAP_peak_12,aVWAP_valley_189,aVWAP_valley_171,aVWAP_valley_160,aVWAP_valley_154,aVWAP_valley_147,aVWAP_valley_144,aVWAP_valley_129,aVWAP_valley_108,aVWAP_OB_bull_171,aVWAP_OB_bull_154,aVWAP_OB_bear_58,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,5.53,6.17,5.2,5.96,963450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,963450.0,False,False,False,False
2022-01-07 00:00:00+00:00,5.57,6.088,5.31,5.6,500699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,500699,37088.81481481481,False,False,False,False,929172.1481481482,False,False,False,False
2022-01-14 00:00:00+00:00,5.53,5.86,5.2,5.53,558377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,85.22167487684729,-16.502463054187203,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-57678,30069.050754458156,False,False,False,False,901705.8408779149,False,False,False,False
2022-01-21 00:00:00+00:00,5.07,5.65,5.01,5.46,372958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,62.7433448051355,-16.502463054187203,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-430636,-4057.2493014276297,False,False,False,False,862539.3341462176,False,False,False,False
2022-01-28 00:00:00+00:00,4.77,6.13,4.25,5.0,1800838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,5.05,,45.98296838297288,-16.502463054187203,False,False,False,True,False,,1.0,6.13,4.25,12.0,0,,,False,False,False,False,,,False,False,False,False,-2231474,-169051.08268650706,False,False,False,False,932042.9390242755,False,False,False,False
2022-02-04 00:00:00+00:00,5.41,5.79,4.757,4.9,625892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,5.119379349165338,,46.68795799997185,-16.502463054187203,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1605582,-275460.78026528435,False,False,False,False,909365.0916891439,False,False,False,False
2022-02-11 00:00:00+00:00,6.15,6.58,5.41,5.49,665626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,5.318976856049778,,52.55695292685378,-16.502463054187203,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-939956,-324682.6483937818,False,False,False,False,891310.3441566147,False,False,False,False
2022-02-18 00:00:00+00:00,6.19,6.61,5.84,6.11,421847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,5.819834634102431,,56.942550542445744,-16.502463054187203,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-518109,-339010.5262905387,False,False,False,False,856535.2816264952,False,False,False,False
2022-02-25 00:00:00+00:00,5.92,6.15,5.35,6.1,333818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,5.746508283704813,,57.55280324835152,-16.502463054187203,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-851927,-377004.33915790624,False,False,False,False,817815.4829874955,False,False,False,False
2022-03-04 00:00:00+00:00,6.09,6.315,5.8,5.85,248916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,5.769301161287917,,58.931410248240496,-16.502463054187203,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.2270091105124366,0.2270091105124366,False,False,False,False,-603011,-393745.57329435763,False,False,False,False,775674.7805439773,False,False,False,False
2022-03-11 00:00:00+00:00,5.31,6.1063,4.7,6.05,730091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,5.6188748424746535,,54.857121556674,-16.502463054187203,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.19657161213764002,0.015218749187398295,False,False,False,False,-1333102,-463327.5308281089,False,False,False,False,772298.2042073864,False,False,False,False
