date,Close,High,Low,Open,Volume
2021-12-31 00:00:00+00:00,15.1979608404,16.002958128,13.9468204776,15.9544643155,3408510
2022-01-07 00:00:00+00:00,14.2183858277,15.4792249529,13.9953142902,14.9748893028,2203753
2022-01-14 00:00:00+00:00,14.5578425153,15.2367558904,13.9080254276,14.0729043902,1427628
2022-01-21 00:00:00+00:00,14.5772400403,16.5945826406,14.4996499402,14.4996499402,2861640
2022-01-28 00:00:00+00:00,12.9187516524,14.5772400403,12.6908307337,14.4317586027,3481609
2022-02-04 00:00:00+00:00,13.3260996775,14.0535068652,12.9575467025,13.0157392775,1946928
2022-02-11 00:00:00+00:00,14.9360942528,15.0670275466,13.4715811151,13.4715811151,2118608
2022-02-18 00:00:00+00:00,15.2755509404,16.002958128,14.8391066278,15.1494670279,1868192
2022-02-25 00:00:00+00:00,16.3618123406,17.3122910658,15.1494670279,15.2755509404,2200972
2022-03-04 00:00:00+00:00,17.1765083908,17.4674712658,16.2308790468,16.6818715032,2586092
2022-03-11 00:00:00+00:00,17.1280145782,18.9901769786,16.7206665532,17.3995799283,3238545
2022-03-18 00:00:00+00:00,15.9544643155,17.7099403284,15.5083212404,16.7788591282,3828254
2022-03-25 00:00:00+00:00,16.5072937781,17.2153034408,15.692597728,15.711995253,2243991
2022-04-01 00:00:00+00:00,16.2648247156,16.3327160531,14.6645289028,16.1678370906,2739580
2022-04-08 00:00:00+00:00,16.4684987281,16.7497628407,15.4210323779,16.4006073906,1900340
2022-04-15 00:00:00+00:00,17.5062663158,17.6905428034,16.2454271906,16.7303653157,1826336
2022-04-22 00:00:00+00:00,15.0427806403,17.9136143409,14.9942868278,17.7487353784,2268611
2022-04-29 00:00:00+00:00,14.2959759277,15.0039855903,13.4715811151,14.3444697402,2825167
2022-05-06 00:00:00+00:00,14.2183858277,15.3725385654,13.6558576026,13.8595316151,2092480
2022-05-13 00:00:00+00:00,12.9381491775,13.7916402776,11.6823534087,13.6267613151,3785684
2022-05-20 00:00:00+00:00,13.9759167651,14.2183858277,12.6471863024,12.9769442275,2422500
2022-05-27 00:00:00+00:00,14.4026623152,14.6354326153,13.8013390401,14.2474821152,1870912
2022-06-03 00:00:00+00:00,14.6160350903,15.2949484654,13.3842922525,14.3444697402,1760535
2022-06-10 00:00:00+00:00,14.3444697402,15.1106719779,13.1225226526,14.8972992028,1735266
2022-06-17 00:00:00+00:00,12.1816457023,13.7819415151,12.1234531273,13.5588699776,4199544
2022-06-24 00:00:00+00:00,12.5404999149,12.8945047462,11.7452013897,12.2204407523,1884325
2022-07-01 00:00:00+00:00,12.1816457023,12.8120652649,11.4736360397,12.5404999149,2102031
2022-07-08 00:00:00+00:00,10.785023902,11.8809840648,10.3873746395,11.8324902522,2206136
2022-07-15 00:00:00+00:00,10.4455672145,11.1535768771,10.0091229019,10.571651127,2103817
2022-07-22 00:00:00+00:00,11.2505645021,11.9779716898,10.629843702,10.629843702,2772280
2022-07-29 00:00:00+00:00,13.5006774026,13.7043514151,10.7559276145,11.1923719271,3190429
2022-08-05 00:00:00+00:00,13.0545343275,13.7334477026,12.6180900149,13.5782675026,2256039
2022-08-12 00:00:00+00:00,13.5976650276,13.9371217151,13.200015765,13.355195965,2068659
2022-08-19 00:00:00+00:00,12.3562234273,13.5782675026,12.2883320898,13.0545343275,1933816
2022-08-26 00:00:00+00:00,12.4144160024,13.0932323899,11.9381097759,12.0458630273,1844888
2022-09-02 00:00:00+00:00,11.2893595521,12.520035526,10.726831327,12.1234531273,2230060
2022-09-09 00:00:00+00:00,12.6956801149,12.7587220712,11.0662880146,11.4057447022,1497606
2022-09-16 00:00:00+00:00,11.8324902522,13.4715811151,11.4057447022,13.161220715,3267838
2022-09-23 00:00:00+00:00,11.4154434647,12.6374875399,10.9693003896,11.5997199522,3116002
2022-09-30 00:00:00+00:00,12.1040556023,12.4338135274,10.319483302,11.2796607896,4028701
2022-10-07 00:00:00+00:00,12.7538726899,13.5976650276,12.4047172398,12.5211023899,2926943
2022-10-14 00:00:00+00:00,11.8518877772,12.8557096962,11.6580095148,12.5114036274,2173134
2022-10-21 00:00:00+00:00,12.3465246648,12.4920061024,11.5512261397,12.2010432273,1628337
2022-10-28 00:00:00+00:00,12.6471863024,13.29700339,11.8704124136,12.2689345648,2019674
2022-11-04 00:00:00+00:00,14.2377833527,14.3541685027,12.2592358023,12.4532110524,2668625
2022-11-11 00:00:00+00:00,15.653802678,15.7168446342,13.9177241901,14.2668796402,3108558
2022-11-18 00:00:00+00:00,14.6839264278,15.711995253,14.2989825441,15.4695261904,1971285
2022-11-25 00:00:00+00:00,15.2561534154,15.5374175279,14.2675585536,14.5869388028,975784
2022-12-02 00:00:00+00:00,16.0708494655,16.2939210031,14.1020006777,15.1688645529,1794732
