date,Open,High,Low,Close,Volume,aVWAP_peak_424,aVWAP_peak_394,aVWAP_peak_368,aVWAP_peak_339,aVWAP_peak_284,aVWAP_peak_235,aVWAP_peak_212,aVWAP_peak_172,aVWAP_peak_146,aVWAP_peak_118,aVWAP_peak_81,aVWAP_peak_31,aVWAP_valley_381,aVWAP_valley_362,aVWAP_valley_344,aVWAP_valley_319,aVWAP_valley_267,aVWAP_valley_228,aVWAP_valley_193,aVWAP_valley_123,aVWAP_valley_17,aVWAP_OB_bear_284,aVWAP_OB_bear_146,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,14.915,14.98,14.835,14.895,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,3000.0,False,False,False,False
2023-12-15 17:00:00+00:00,14.865,14.945,14.825,14.875,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1000.0,-15.503875968992247,False,False,False,False,2968.9922480620157,False,False,False,False
2023-12-18 17:00:00+00:00,14.515,14.545,14.32,14.405,400.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1400.0,-36.9689321555195,False,False,False,False,2929.1629108827597,False,False,False,False
2023-12-19 17:00:00+00:00,14.59,14.635,14.485,14.6,1333.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.340764018462153,-40.69331238338406,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-67.0,-37.43453010659671,False,False,False,False,2904.4161990861276,False,False,False,False
2023-12-20 17:00:00+00:00,14.56,14.605,14.425,14.43,2096.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,14.822313267210074,-37.28036390061867,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2163.0,-70.38903351579677,False,False,False,False,2891.882614604172,False,False,False,False
2023-12-21 17:00:00+00:00,14.335,14.415,14.28,14.4,204.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,17.459074937431517,-35.50707580093503,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2367.0,-105.99540508919526,False,False,False,False,2850.2100159281385,False,False,False,False
2023-12-22 17:00:00+00:00,14.315,14.355,14.245,14.27,2225.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,17.872023870419063,-35.50707580093503,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4592.0,-175.5458639250217,False,False,False,False,2840.5168373866168,False,False,False,False
2023-12-25 17:00:00+00:00,14.27,14.27,14.27,14.27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,18.147323159077427,-35.48814659687356,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4592.0,-244.01802107347095,False,False,False,False,2796.4778166519404,False,False,False,False
2023-12-26 17:00:00+00:00,14.64,14.675,14.475,14.495,100.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,25.917519349805257,-28.473741358933207,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4492.0,-309.87820679326205,False,False,False,False,2754.6719590294297,False,False,False,False
2023-12-27 17:00:00+00:00,14.455,14.485,14.335,14.335,287.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,28.5690440002096,-26.395424955003747,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4779.0,-379.1669167654595,False,False,False,False,2716.4134790444773,False,False,False,False
