date,Close,High,Low,Open,Volume,aVWAP_peak_38,aVWAP_peak_33,aVWAP_peak_12,aVWAP_peak_6,aVWAP_valley_39,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_10,aVWAP_valley_4,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,667.59,678.67,650.48,650.48,191022,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,191022.0,False,False,False,False
2022-01-07 00:00:00+00:00,674.31,677.275,655.4834,665.04,352368,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,352368,26101.333333333332,False,False,False,False,202973.55555555556,False,False,False,False
2022-01-14 00:00:00+00:00,684.46,694.1,669.68,678.8,338380,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,690748,75334.41975308642,False,False,False,False,213003.66255144036,False,False,False,False
2022-01-21 00:00:00+00:00,652.4,682.51,650.825,682.51,213728,,,,,,,,,,,#000000,,,,80.66988553871087,31.727001173312615,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,477020,105088.90717878373,False,False,False,False,213057.3171772596,False,False,False,False
2022-01-28 00:00:00+00:00,658.23,660.0,633.75,642.69,352596,,,,,,,,,650.6600000000001,650.6600000000001,#000000,,650.6600000000001,,69.113938386471,21.59585660691218,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,829616,158757.58072109605,False,False,False,False,223393.51590487,False,False,False,False
2022-02-04 00:00:00+00:00,687.23,694.36,650.02,654.76,370355,,,,,,,,,664.2576798104805,664.2576798104805,#000000,,664.2576798104805,,67.40064016434678,21.0283388888993,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1199971,235884.5006676815,False,False,False,False,234279.5517637685,False,False,False,False
2022-02-11 00:00:00+00:00,670.57,703.22,667.86,688.58,303449,,,,680.5500000000001,,,,,669.0744064951936,674.8122032475968,#000000,,674.8122032475968,,62.73669552830406,17.44000913102927,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,896522,284820.61172933475,False,False,False,False,239403.21459608196,False,False,False,False
2022-02-18 00:00:00+00:00,687.8,698.24,665.5,669.83,320316,,,,682.2429053088904,,,,,672.5879841827577,677.4154447458241,#000000,,677.4154447458241,,61.84444238613433,17.346579448630337,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1216838,353858.93678642105,False,False,False,False,245396.75425563147,False,False,False,False
2022-02-25 00:00:00+00:00,673.54,692.94,644.61,685.2,324831,,,,678.1749425045015,,,,,672.1556687527583,675.1653056286299,#000000,,675.1653056286299,,58.9247612053954,15.112196652248585,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,892007,393721.75628372317,False,False,False,False,251280.77245891804,False,False,False,False
2022-03-04 00:00:00+00:00,654.25,676.72,642.335,661.62,355555,,,,672.6114211608422,,,,,669.6321208281577,671.1217709944999,#000000,,671.1217709944999,,54.4404677573263,11.301140898787153,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,536452,404294.3669293733,False,False,False,False,259004.789313813,False,False,False,False
