date,Close,High,Low,Open,Volume,aVWAP_peak_176,aVWAP_peak_163,aVWAP_peak_149,aVWAP_peak_143,aVWAP_peak_139,aVWAP_peak_133,aVWAP_peak_123,aVWAP_peak_118,aVWAP_peak_104,aVWAP_peak_87,aVWAP_peak_82,aVWAP_peak_61,aVWAP_peak_44,aVWAP_peak_33,aVWAP_peak_23,aVWAP_peak_16,aVWAP_peak_7,aVWAP_valley_187,aVWAP_valley_183,aVWAP_valley_171,aVWAP_valley_158,aVWAP_valley_148,aVWAP_valley_136,aVWAP_valley_132,aVWAP_valley_107,aVWAP_valley_96,aVWAP_valley_86,aVWAP_valley_70,aVWAP_valley_63,aVWAP_valley_44,aVWAP_valley_27,aVWAP_valley_19,aVWAP_valley_14,aVWAP_valley_10,aVWAP_valley_6,aVWAP_valley_4,aVWAP_OB_bull_136,aVWAP_OB_bull_96,aVWAP_OB_bear_163,aVWAP_OB_bear_149,aVWAP_OB_bear_1,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,51.2365251868,52.5488029454,49.8812069155,50.2200364833,1609195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1609195.0,False,False,False,False
2022-01-07 00:00:00+00:00,51.3189431898,53.6632774968,51.0716891808,51.3097856339,1907132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0179699558,,#000000,,,,100.0,,False,False,True,False,False,,-1.0,53.663277,51.07169,0.0,0,,,False,False,False,False,,,False,False,False,False,1907132,141269.03703703702,False,False,False,False,1631264.4074074074,False,False,False,False
2022-01-14 00:00:00+00:00,50.3024544863,51.7768209841,49.276808227,51.2548402985,1822581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2527485461147,,#000000,,,,73.43862168013412,-69.52620243939647,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,84551,137067.70096021946,False,False,False,False,1645436.0068587107,False,False,False,False
2022-01-21 00:00:00+00:00,46.3738630109,50.1376184804,46.3555478991,49.7255284654,1425043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.249115430365606,,#000000,,,,52.87063543578339,-69.52620243939647,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1340492,27618.83422242543,False,False,False,False,1629110.5989432505,False,False,False,False
2022-01-28 00:00:00+00:00,45.2841138603,48.0680108499,43.8005898067,45.6046283164,1999670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.71757150563333,,,,,48.982543878717806,45.71757150563333,#000000,,45.71757150563333,,38.100099060483146,-69.52620243939647,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3340162,-221846.41275701346,False,False,False,False,1656559.4434659728,False,False,False,False
2022-02-04 00:00:00+00:00,44.2035222657,46.7218501346,43.8830078097,44.7529756189,2124423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.31502984606783,,,,,48.0561033639333,45.31502984606783,#000000,,45.31502984606783,,27.493171791232715,-69.52620243939647,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5464585,-610197.4192194568,False,False,False,False,1691216.0032092342,False,False,False,False
2022-02-11 00:00:00+00:00,48.2053741882,49.0844995534,43.8005898067,44.0478438156,3161751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.03015451610001,46.059322084633315,,,,,47.79536073129615,46.54473830036666,#000000,,46.54473830036666,,31.257785876659774,-69.52620243939647,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2302834,-735577.9066846822,False,False,False,False,1800144.5214900316,False,False,False,False
2022-02-18 00:00:00+00:00,48.1229561853,50.7694898365,47.8024417292,48.4801008648,2039282,,,,,,,,,,,,,,,,,48.898295917000006,,,,,,,,,,,,,,,,,,47.76263730025273,46.68016819811386,,,,,47.95069320371357,47.78036713845554,#000000,,47.78036713845554,,33.84491882668668,-69.52620243939647,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4342116,-1002728.876559891,False,False,False,False,1817858.4087870663,False,False,False,False
2022-02-25 00:00:00+00:00,48.4617857531,48.6495156487,44.8537087337,48.1229561853,1456676,,,,,,,,,,,,,,,,,48.24135636896233,,,,,,,,,,,,,,,,,,47.6661557001603,46.766838343286025,,,,,47.89319754257397,47.558116804136226,#000000,,47.558116804136226,,36.32697051458815,-69.52620243939647,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2885440,-1142188.959777677,False,False,False,False,1791104.1562843206,False,False,False,False
2022-03-04 00:00:00+00:00,45.9892456636,48.6540944267,45.471843756,47.5093999408,2181188,,,,,,,,,,,,,,,,,47.65110408235158,,,,,,,,,,,,,,,,,,47.42898497495102,46.756443566731065,,,,,47.75015830614188,47.27884420801123,#000000,,47.27884420801123,,35.36278618854817,-69.52620243939647,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5066628,-1432888.1479422934,False,False,False,False,1819999.2558188154,False,False,False,False
