date,Close,High,Low,Open,Volume,aVWAP_peak_189,aVWAP_peak_180,aVWAP_peak_161,aVWAP_peak_156,aVWAP_peak_147,aVWAP_peak_138,aVWAP_peak_123,aVWAP_peak_118,aVWAP_peak_94,aVWAP_peak_83,aVWAP_peak_70,aVWAP_peak_66,aVWAP_peak_53,aVWAP_peak_45,aVWAP_peak_35,aVWAP_peak_24,aVWAP_peak_9,aVWAP_valley_172,aVWAP_valley_148,aVWAP_valley_133,aVWAP_valley_117,aVWAP_valley_110,aVWAP_valley_103,aVWAP_valley_102,aVWAP_valley_88,aVWAP_valley_79,aVWAP_valley_74,aVWAP_valley_64,aVWAP_valley_50,aVWAP_valley_30,aVWAP_valley_25,aVWAP_valley_21,aVWAP_valley_13,aVWAP_valley_4,aVWAP_OB_bull_30,aVWAP_OB_bear_161,aVWAP_OB_bear_147,aVWAP_OB_bear_83,aVWAP_OB_bear_53,aVWAP_OB_bear_45,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,849.0,946.08,808.38,808.38,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,519.0,False,False,False,False
2022-01-07 00:00:00+00:00,897.0,999.0,869.16,870.0,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,502,37.18518518518518,False,False,False,False,517.7407407407408,False,False,False,False
2022-01-14 00:00:00+00:00,828.0,915.0,807.0,915.0,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,82.67637459201607,-27.956314335927665,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,85,40.72702331961591,False,False,False,False,510.2784636488341,False,False,False,False
2022-01-21 00:00:00+00:00,750.0,870.0,750.0,840.0,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,65.5397877907237,-27.956314335927665,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-92,30.89539196260732,False,False,False,False,485.5911700452167,False,False,False,False
2022-01-28 00:00:00+00:00,654.0,831.0,594.0,750.0,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.0,,,,,,,693.0,#000000,,693.0,,50.97571383791389,-27.956314335927665,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-784,-29.467229664252475,False,False,False,False,500.8807130048303,False,False,False,False
2022-02-04 00:00:00+00:00,636.0,678.0,633.0,660.0,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.0358974358975,,,,,,,688.0358974358975,#000000,,688.0358974358975,,40.29336806763608,-27.956314335927665,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-872,-91.87706450393748,False,False,False,False,470.29695648595396,False,False,False,False
2022-02-11 00:00:00+00:00,639.0,660.0,615.0,660.0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.6544622425629,,,,,,,682.6544622425629,#000000,,682.6544622425629,,32.95564939537117,-27.956314335927665,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-778,-142.70098565179396,False,False,False,False,442.4231078573648,False,False,False,False
2022-02-18 00:00:00+00:00,716.79,723.45,627.0,638.43,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.4920199004974,,,,,,,683.4920199004974,#000000,,683.4920199004974,,33.756348852515295,-27.956314335927665,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-647,-180.05646819610553,False,False,False,False,419.35472949756,False,False,False,False
2022-02-25 00:00:00+00:00,678.0,714.0,660.0,714.0,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.5478122232064,,,,,,,683.5478122232064,#000000,,683.5478122232064,,33.13444707015206,-27.956314335927665,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-771,-223.83006314454215,False,False,False,False,397.4766013866296,False,False,False,False
2022-03-04 00:00:00+00:00,723.0,783.0,675.03,699.0,173,,,,,,,,,,,,,,,,,727.0099999999999,,,,,,,,,,,,,,,,,689.3227419354838,,,,,,,708.1663709677418,#000000,,708.1663709677418,,35.16943287486975,-27.956314335927665,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-598,-251.54635476346493,False,False,False,False,380.84870498762007,False,False,False,False
