date,Close,High,Low,Open,Volume,aVWAP_peak_180,aVWAP_peak_169,aVWAP_peak_163,aVWAP_peak_154,aVWAP_peak_148,aVWAP_peak_135,aVWAP_peak_125,aVWAP_peak_100,aVWAP_peak_89,aVWAP_peak_82,aVWAP_peak_76,aVWAP_peak_67,aVWAP_peak_54,aVWAP_peak_48,aVWAP_peak_40,aVWAP_peak_32,aVWAP_peak_16,aVWAP_peak_10,aVWAP_valley_187,aVWAP_valley_171,aVWAP_valley_157,aVWAP_valley_150,aVWAP_valley_136,aVWAP_valley_130,aVWAP_valley_113,aVWAP_valley_97,aVWAP_valley_92,aVWAP_valley_80,aVWAP_valley_72,aVWAP_valley_62,aVWAP_valley_39,aVWAP_valley_35,aVWAP_valley_28,aVWAP_valley_19,aVWAP_valley_13,aVWAP_valley_4,aVWAP_OB_bull_171,aVWAP_OB_bull_136,aVWAP_OB_bull_113,aVWAP_OB_bear_100,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,15.1979608404,16.002958128,13.9468204776,15.9544643155,3408510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3408510.0,False,False,False,False
2022-01-07 00:00:00+00:00,14.2183858277,15.4792249529,13.9953142902,14.9748893028,2203753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2203753,-163240.96296296295,False,False,False,False,3319268.740740741,False,False,False,False
2022-01-14 00:00:00+00:00,14.5578425153,15.2367558904,13.9080254276,14.0729043902,1427628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.735946364615297,-69.33986591153824,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-776125,-208639.78052126197,False,False,False,False,3179147.204389575,False,False,False,False
2022-01-21 00:00:00+00:00,14.5772400403,16.5945826406,14.4996499402,14.4996499402,2861640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,13.601380528605493,-63.37213811157636,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2085515,-38702.389371538884,False,False,False,False,3155628.1522125695,False,False,False,False
2022-01-28 00:00:00+00:00,12.9187516524,14.5772400403,12.6908307337,14.4317586027,3481609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.395607475466667,,,,,13.395607475466667,#000000,,13.395607475466667,,12.95357008054267,-63.37213811157636,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1396094,-139249.91608475824,False,False,False,False,3179774.881678305,False,False,False,False
2022-02-04 00:00:00+00:00,13.3260996775,14.0535068652,12.9575467025,13.0157392775,1946928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.413579369820809,,,,,13.413579369820809,#000000,,13.413579369820809,,15.940429056705296,-59.96235505013097,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,550834,-88132.58896736873,False,False,False,False,3088452.890442875,False,False,False,False
2022-02-11 00:00:00+00:00,14.9360942528,15.0670275466,13.4715811151,13.4715811151,2118608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.716188445070284,,,,,13.716188445070284,#000000,,13.716188445070284,,26.07752300693375,-49.51064130179119,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2669442,116132.1954005845,False,False,False,False,3016612.528187847,False,False,False,False
2022-02-18 00:00:00+00:00,15.2755509404,16.002958128,14.8391066278,15.1494670279,1868192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.044841582392825,,,,,14.044841582392825,#000000,,14.044841582392825,,34.37756456728927,-41.0238124140148,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4537634,443650.8475931338,False,False,False,False,2931544.340914673,False,False,False,False
2022-02-25 00:00:00+00:00,16.3618123406,17.3122910658,15.1494670279,15.2755509404,2200972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.467305156782798,,,,,14.467305156782798,#000000,,14.467305156782798,,42.965045663249036,-32.366053627600856,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6738606,909943.8218454942,False,False,False,False,2877427.8712172904,False,False,False,False
2022-03-04 00:00:00+00:00,17.1765083908,17.4674712658,16.2308790468,16.6818715032,2586092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.92088383246937,,,,,14.92088383246937,#000000,,14.92088383246937,,50.55054098599609,-24.74578529714302,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9324698,1533258.9461532354,False,False,False,False,2855847.4363123057,False,False,False,False
