date,Open,High,Low,Close,Volume,aVWAP_peak_417,aVWAP_peak_368,aVWAP_peak_335,aVWAP_peak_291,aVWAP_peak_247,aVWAP_peak_182,aVWAP_peak_156,aVWAP_peak_111,aVWAP_peak_32,aVWAP_valley_430,aVWAP_valley_385,aVWAP_valley_341,aVWAP_valley_323,aVWAP_valley_281,aVWAP_valley_226,aVWAP_valley_174,aVWAP_valley_132,aVWAP_valley_89,aVWAP_valley_39,aVWAP_OB_bull_341,aVWAP_OB_bull_132,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,52.64,52.73,50.83,51.38,7468.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,7468.0,False,False,False,False
2023-12-15 17:00:00+00:00,52.03,53.32,51.15,53.1,5456.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5456.0,84.5891472868217,False,False,False,False,7436.806201550387,False,False,False,False
2023-12-18 17:00:00+00:00,53.28,53.45,52.665,52.715,1668.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,93.29462989840351,26.5312046444123,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3788.0,142.00636980950662,False,False,False,False,7347.367345712396,False,False,False,False
2023-12-19 17:00:00+00:00,54.45,55.04,54.135,54.73,2536.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,92.46013879456271,26.5312046444123,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6324.0,237.85123229308016,False,False,False,False,7272.772503143212,False,False,False,False
2023-12-20 17:00:00+00:00,55.48,55.87,53.42,53.49,2648.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,83.64398937600045,26.5312046444123,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3676.0,291.1558643505518,False,False,False,False,7201.0706038696735,False,False,False,False
2023-12-21 17:00:00+00:00,53.17,53.74,53.17,53.65,3234.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,78.1983075573592,26.5312046444123,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6910.0,393.77360288775253,False,False,False,False,7139.565633267043,False,False,False,False
2023-12-22 17:00:00+00:00,55.22,55.535,53.895,54.09,5222.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,75.71717590143041,41.05954079569909,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12132.0,575.7616090445316,False,False,False,False,7109.835933526469,False,False,False,False
2023-12-25 17:00:00+00:00,54.09,54.09,54.09,54.09,0.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,74.06308813081122,38.633578435444704,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12132.0,754.9280957260117,False,False,False,False,6999.60591905319,False,False,False,False
2023-12-26 17:00:00+00:00,55.44,56.5,55.4,56.29,2956.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,76.86226226068177,38.633578435444704,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15088.0,977.1462647845232,False,False,False,False,6936.9143544167055,False,False,False,False
2023-12-27 17:00:00+00:00,56.29,56.87,56.22,56.6,612.0,,,,,,,,,,,,,,,,,,,,,,,#000000,,56.56333333333334,,79.07720672633964,38.633578435444704,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15700.0,1205.407563004918,False,False,False,False,6838.85366675133,False,False,False,False
