date,Close,High,Low,Open,Volume,aVWAP_peak_184,aVWAP_peak_174,aVWAP_peak_164,aVWAP_peak_158,aVWAP_peak_150,aVWAP_peak_124,aVWAP_peak_109,aVWAP_peak_92,aVWAP_peak_84,aVWAP_peak_80,aVWAP_peak_68,aVWAP_peak_56,aVWAP_peak_47,aVWAP_peak_32,aVWAP_peak_22,aVWAP_peak_12,aVWAP_valley_176,aVWAP_valley_171,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_120,aVWAP_valley_101,aVWAP_valley_93,aVWAP_valley_83,aVWAP_valley_78,aVWAP_valley_61,aVWAP_valley_52,aVWAP_valley_45,aVWAP_valley_19,aVWAP_valley_10,aVWAP_OB_bull_61,aVWAP_OB_bear_164,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,8.7375,10.8,8.592,10.6815,249990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,249990.0,False,False,False,False
2022-01-07 00:00:00+00:00,8.2335,9.4695,7.98,9.0,238191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-238191,-17643.777777777777,False,False,False,False,249116.0,False,False,False,False
2022-01-14 00:00:00+00:00,11.4165,14.7,7.79814,8.1015,6725540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,24.892663585388163,-112.23165896347041,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6487349,464207.5390946502,False,False,False,False,728851.1111111111,False,False,False,False
2022-01-21 00:00:00+00:00,9.2685,13.2735,9.0,11.2665,668627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,33.05259409377612,-103.156657114934,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5818722,860838.2399024538,False,False,False,False,724390.0658436215,False,False,False,False
2022-01-28 00:00:00+00:00,9.5985,10.8,8.8905,8.925,273876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,39.67656982242792,-94.84730901400559,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6092598,1248375.9999096794,False,False,False,False,691018.6535589088,False,False,False,False
2022-02-04 00:00:00+00:00,9.8445,10.8,9.12,10.1085,210059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,44.978076580018254,-87.22467957787742,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6302657,1622767.1851015552,False,False,False,False,655392.0125545453,False,False,False,False
2022-02-11 00:00:00+00:00,9.0,10.0485,8.871,9.8445,108394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,46.375444732697886,-82.84220238032482,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6194263,1961396.504723662,False,False,False,False,614873.6412542086,False,False,False,False
2022-02-18 00:00:00+00:00,8.079,9.3675,7.95,8.8995,109631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,45.326120750405416,-80.42566141927708,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6084632,2266821.356225613,False,False,False,False,577448.2604205635,False,False,False,False
2022-02-25 00:00:00+00:00,8.7225,8.73,7.2465,8.1,89857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,46.166598476749215,-75.79397287494655,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6174489,2556278.2187274196,False,False,False,False,541330.3892782995,False,False,False,False
2022-03-04 00:00:00+00:00,7.725,9.375,7.62075,8.493,145238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,44.851362302249036,-73.15410631784837,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6029251,2813535.461784648,False,False,False,False,511990.2122947218,False,False,False,False
2022-03-11 00:00:00+00:00,8.175,8.382,7.2,7.605,164042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.919,,,7.919,#000000,,7.919,,44.96234512652124,-68.95848189070954,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6193293,3063887.872022822,False,False,False,False,486216.2706432609,False,False,False,False
2022-03-18 00:00:00+00:00,9.0825,9.1125,7.365,7.95,213163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.258632197346271,,,8.258632197346271,#000000,,8.258632197346271,,46.913985213721865,-62.9875054714387,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6406456,3311485.5111322426,False,False,False,False,465990.10244746384,False,False,False,False
2022-03-25 00:00:00+00:00,9.345,9.867,8.55,9.075,91192,,,,,,,,,,,,,,,,9.254,,,,,,,,,,,,,,,8.452419904482737,,,8.853209952241368,#000000,,8.853209952241368,,48.80058081218604,-57.19081789856865,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6497648,3547497.5473446692,False,False,False,False,438227.28004394803,False,False,False,False
2022-04-01 00:00:00+00:00,8.85,9.54,8.598,9.15,93693,,,,,,,,,,,,,,,,9.123254974714012,,,,,,,,,,,,,,,8.543027547189952,,,8.833141260951983,#000000,,8.833141260951983,,49.11778757864204,-53.02242860439318,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6403955,3759086.9882821008,False,False,False,False,412706.2222629149,False,False,False,False
2022-04-08 00:00:00+00:00,7.872,9.15,7.725,8.55,58846,,,,,,,,,,,,,,,,8.91217633374499,,,,,,,,,,,,,,,8.515162606130101,,,8.713669469937546,#000000,,8.713669469937546,,47.56413135743158,-50.89779789955593,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6345109,3950644.1743352786,False,False,False,False,386494.3539471434,False,False,False,False
2022-04-15 00:00:00+00:00,7.5105,8.4,7.05,7.65,91288,,,,,,,,,,,,,,,,8.569204606305911,,,,,,,,,,,,,,,8.40472058790493,,,8.486962597105421,#000000,,8.486962597105421,,45.86642807293253,-49.11493826003032,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6253821,4121249.865125258,False,False,False,False,364627.21661772544,False,False,False,False
2022-04-22 00:00:00+00:00,7.335,7.797,7.2375,7.5,86784,,,,,,,,,,,,,,,,8.340270823109366,,,,,,,,,,,,,,,8.30172991008851,,,8.321000366598938,#000000,,8.321000366598938,,44.369337007358865,-47.32626165559361,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6167037,4272789.652893757,False,False,False,False,344046.237609005,False,False,False,False
2022-04-29 00:00:00+00:00,6.345,7.425,6.06,7.2,135586,,,,,,,,,,,,,,,,7.919378950786613,,,,,,,,,,,,,,,8.056302599845495,,,7.987840775316053,#000000,,7.987840775316053,,41.83387751413546,-46.83321948839235,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6031451,4403060.863790516,False,False,False,False,328604.7385268565,False,False,False,False
2022-05-06 00:00:00+00:00,5.85,6.426,5.694,6.345,128912,,,,,,,,,,,,,,,,7.556972223557884,,,,,,,,,,,,,,,7.805837439563105,,,7.681404831560495,#000000,,7.681404831560495,,39.38011139841378,-46.49830596414043,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5902539,4514133.318324552,False,False,False,False,313812.68382116343,False,False,False,False
