date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_168,aVWAP_peak_143,aVWAP_peak_139,aVWAP_peak_115,aVWAP_peak_104,aVWAP_peak_80,aVWAP_peak_69,aVWAP_peak_57,aVWAP_peak_32,aVWAP_peak_23,aVWAP_peak_13,aVWAP_valley_187,aVWAP_valley_181,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_155,aVWAP_valley_136,aVWAP_valley_131,aVWAP_valley_122,aVWAP_valley_111,aVWAP_valley_107,aVWAP_valley_95,aVWAP_valley_85,aVWAP_valley_79,aVWAP_valley_63,aVWAP_valley_41,aVWAP_valley_28,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_10,aVWAP_valley_4,aVWAP_OB_bull_171,aVWAP_OB_bull_122,aVWAP_OB_bull_95,aVWAP_OB_bull_41,aVWAP_OB_bear_80,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,65.042452767,65.1600966084,64.2207698133,64.2207698133,7826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,7826.0,False,False,False,False
2022-01-07 00:00:00+00:00,64.0292565832,65.096258865,63.7556662546,65.0871391874,15741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15741,-1166.0,False,False,False,False,8412.296296296296,False,False,False,False
2022-01-14 00:00:00+00:00,63.1628872092,63.9829286209,61.7766962106,62.177962026,13702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-29443,-3260.5925925925926,False,False,False,False,8804.126200274348,False,False,False,False
2022-01-21 00:00:00+00:00,61.4533124422,62.9531346239,61.3232658393,62.5792278414,23179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-52622,-6916.9931412894375,False,False,False,False,9868.931666920693,False,False,False,False
2022-01-28 00:00:00+00:00,59.9942552194,61.2112761981,58.6930596164,59.9527606863,69369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.966197011300004,,,,,,59.966197011300004,#000000,,59.966197011300004,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-121991,-15440.993649342072,False,False,False,False,14276.344136037678,False,False,False,False
2022-02-04 00:00:00+00:00,60.3778288602,62.1870817036,60.0713164954,60.417864245,83061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.46345430076062,,,,,,60.46345430076062,#000000,,60.46345430076062,,2.3278771875344666,-47.799428596158826,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-38930,-17180.920045687104,False,False,False,False,19371.503829664514,False,False,False,False
2022-02-11 00:00:00+00:00,60.2445903702,61.6399010463,59.911722137,60.4680224719,53087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.49839933129535,,,,,,60.49839933129535,#000000,,60.49839933129535,,3.922135821872563,-46.38783531865606,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-92017,-22724.333375636208,False,False,False,False,21868.947990430104,False,False,False,False
2022-02-18 00:00:00+00:00,59.5697342261,61.1109597442,59.0590322793,59.9801197191,76540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.33960895995474,,,,,,60.33960895995474,#000000,,60.33960895995474,,4.7497351942648995,-45.740505151697725,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-168557,-33526.75312558908,False,False,False,False,25918.655546694543,False,False,False,False
2022-02-25 00:00:00+00:00,59.1684684108,59.8105849121,56.605838999,59.2687848646,21862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.20931472880958,,,,,,60.20931472880958,#000000,,60.20931472880958,,5.183736765270574,-45.46059664661116,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-190419,-45148.40104221211,False,False,False,False,25618.16254323569,False,False,False,False
2022-03-04 00:00:00+00:00,55.0190150928,59.0225535688,54.3716091784,59.0225535688,27481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8716824677291,,,,,,59.8716824677291,#000000,,59.8716824677291,,4.6484898647716,-45.46059664661116,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-217900,-57944.81577982602,False,False,False,False,25756.15050299601,False,False,False,False
