date,Close,High,Low,Open,Volume,aVWAP_peak_187,aVWAP_peak_183,aVWAP_peak_162,aVWAP_peak_158,aVWAP_peak_149,aVWAP_peak_141,aVWAP_peak_134,aVWAP_peak_128,aVWAP_peak_118,aVWAP_peak_113,aVWAP_peak_101,aVWAP_peak_83,aVWAP_peak_77,aVWAP_peak_69,aVWAP_peak_50,aVWAP_peak_37,aVWAP_peak_26,aVWAP_peak_15,aVWAP_valley_188,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_145,aVWAP_valley_140,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_111,aVWAP_valley_103,aVWAP_valley_95,aVWAP_valley_66,aVWAP_valley_49,aVWAP_valley_34,aVWAP_valley_28,aVWAP_valley_19,aVWAP_valley_11,aVWAP_OB_bull_95,aVWAP_OB_bull_66,aVWAP_OB_bear_141,aVWAP_OB_bear_50,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,1.85,2.04,1.75,2.04,2200290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2200290.0,False,False,False,False
2022-01-07 00:00:00+00:00,1.69,1.9032,1.68,1.85,1236217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1236217,-91571.62962962962,False,False,False,False,2128877.185185185,False,False,False,False
2022-01-14 00:00:00+00:00,2.0,2.08,1.55,1.69,2465579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,19.282604188264557,-98.2065104706614,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1229362,6275.3058984910895,False,False,False,False,2153818.060356653,False,False,False,False
2022-01-21 00:00:00+00:00,1.82,2.36,1.8,2.15,5200353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,27.35389618253877,-89.52209984077834,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3970991,-288337.0130569527,False,False,False,False,2379487.315145049,False,False,False,False
2022-01-28 00:00:00+00:00,1.78,1.9399,1.63,1.76,1600795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,32.22583527094228,-83.40223852801955,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5571786,-679703.6046823636,False,False,False,False,2321806.402912082,False,False,False,False
2022-02-04 00:00:00+00:00,1.81,1.9099,1.72,1.84,860207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,36.503201418749995,-77.37791173528927,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4711579,-978361.0413725588,False,False,False,False,2213539.78047415,False,False,False,False
2022-02-11 00:00:00+00:00,1.68,1.87,1.6601,1.83,899053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,37.00954338717118,-74.56360120646542,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5610632,-1321492.22349311,False,False,False,False,2116170.389327917,False,False,False,False
2022-02-18 00:00:00+00:00,1.57,1.8129,1.57,1.68,910130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,35.77134602654425,-73.14039367191776,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6520762,-1706623.318049176,False,False,False,False,2026834.0641925156,False,False,False,False
2022-02-25 00:00:00+00:00,1.57,1.64,1.33,1.53,775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,34.88691934038216,-71.11505338682284,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6520762,-2063226.1833788666,False,False,False,False,1934134.577956033,False,False,False,False
2022-03-04 00:00:00+00:00,1.53,1.8199,1.5,1.55,1185363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,33.717855190008656,-69.24522957168867,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7706125,-2481218.6883137655,False,False,False,False,1878670.0166259564,False,False,False,False
2022-03-11 00:00:00+00:00,1.32,1.55,1.26,1.51,1466104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,30.730942524616257,-69.24129222547639,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9172229,-2976849.081772005,False,False,False,False,1848109.5709499596,False,False,False,False
2022-03-18 00:00:00+00:00,1.53,1.6275,1.23,1.28,978563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4625000000000001,,,,,1.4625000000000001,#000000,,1.4625000000000001,,33.1496658685396,-63.88415710631881,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8193666,-3363279.964603708,False,False,False,False,1783698.7138425552,False,False,False,False
