date,Close,High,Low,Open,Volume,aVWAP_peak_185,aVWAP_peak_179,aVWAP_peak_172,aVWAP_peak_163,aVWAP_peak_157,aVWAP_peak_114,aVWAP_peak_104,aVWAP_peak_89,aVWAP_peak_70,aVWAP_peak_55,aVWAP_peak_33,aVWAP_peak_25,aVWAP_peak_14,aVWAP_peak_4,aVWAP_valley_184,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_151,aVWAP_valley_144,aVWAP_valley_136,aVWAP_valley_125,aVWAP_valley_110,aVWAP_valley_99,aVWAP_valley_86,aVWAP_valley_85,aVWAP_valley_67,aVWAP_valley_63,aVWAP_valley_52,aVWAP_valley_43,aVWAP_valley_19,aVWAP_valley_11,aVWAP_OB_bear_114,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,15.0,17.8,14.7,17.0,60852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,60852.0,False,False,False,False
2022-01-07 00:00:00+00:00,15.5,16.4,14.25,15.1,53847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,53847,3988.6666666666665,False,False,False,False,60333.11111111111,False,False,False,False
2022-01-14 00:00:00+00:00,13.2,16.8,12.0,16.3,92810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,76.24784853700517,-56.884681583476734,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-38963,807.0617283950619,False,False,False,False,62738.806584362144,False,False,False,False
2022-01-21 00:00:00+00:00,14.8,17.4,11.9,13.2,11484613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,68.36892779210707,-56.884681583476734,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11445650,848573.2053040694,False,False,False,False,908803.5616521871,False,False,False,False
2022-01-28 00:00:00+00:00,18.3,23.5,12.9,13.0,4083380,,,,,,,,,,,,,,18.233333333333334,,,,,,,,,,,,,,,,,,,18.233333333333334,#000000,,18.233333333333334,,69.67420161965985,-56.884681583476734,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15529030,1936014.4493556197,False,False,False,False,1143957.3719001734,False,False,False,False
2022-02-04 00:00:00+00:00,22.6,23.2,16.602,17.9,305048,,,,,,,,,,,,,,18.41179356981589,,,,,,,,,,,,,,,,,,,18.41179356981589,#000000,,18.41179356981589,,73.57253544390053,-54.33216059732477,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15834078,2965500.6382922404,False,False,False,False,1081815.9369446049,False,False,False,False
2022-02-11 00:00:00+00:00,22.0,23.3,21.12,22.8,99934,,,,,,,,,,,,,,18.49480260103798,,,,,,,,,,,,,,,,,,,18.49480260103798,#000000,,18.49480260103798,,75.0659302542134,-49.803542423259486,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15734144,3911326.0724928156,False,False,False,False,1009083.9416153749,False,False,False,False
2022-02-18 00:00:00+00:00,17.6,22.634,17.5,21.9,57582,,,,,,,,,,,,,,18.50430088624057,,,,,,,,,,,,,,,,,,,18.50430088624057,#000000,,18.50430088624057,,69.40517222663024,-49.803542423259486,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15676562,4782825.03008594,False,False,False,False,938602.3163105324,False,False,False,False
2022-02-25 00:00:00+00:00,14.5,17.65,13.219,17.2,31772,,,,,,,,,,,,,,18.480832699975274,,,,,,,,,,,,,,,,,,,18.480832699975274,#000000,,18.480832699975274,,62.45625869142257,-49.803542423259486,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15644790,5587415.027857351,False,False,False,False,871429.70028753,False,False,False,False
2022-03-04 00:00:00+00:00,12.8,15.399,12.6,14.2,42402,,,,,,,,,,,,,,18.436034882658845,,,,,,,,,,,,,,,,,,,18.436034882658845,#000000,,18.436034882658845,,56.23572562177775,-49.803542423259486,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15602388,6329264.877645696,False,False,False,False,810020.2410069722,False,False,False,False
