date,Close,High,Low,Open,Volume,aVWAP_peak_185,aVWAP_peak_161,aVWAP_peak_134,aVWAP_peak_123,aVWAP_peak_117,aVWAP_peak_112,aVWAP_peak_69,aVWAP_peak_59,aVWAP_peak_48,aVWAP_peak_32,aVWAP_peak_23,aVWAP_peak_14,aVWAP_valley_171,aVWAP_valley_155,aVWAP_valley_144,aVWAP_valley_136,aVWAP_valley_115,aVWAP_valley_95,aVWAP_valley_73,aVWAP_valley_64,aVWAP_valley_52,aVWAP_valley_41,aVWAP_valley_19,aVWAP_valley_11,aVWAP_valley_4,aVWAP_OB_bull_64,aVWAP_OB_bear_161,aVWAP_OB_bear_32,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,10.3139315397,10.740184808,10.3139315397,10.4047724002,530640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,530640.0,False,False,False,False
2022-01-07 00:00:00+00:00,10.3768213662,10.5445275701,10.1322498188,10.3418825737,581048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,581048,43040.59259259259,False,False,False,False,534373.925925926,False,False,False,False
2022-01-14 00:00:00+00:00,10.1595247094,10.658367209,10.1243949559,10.3838091247,750444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,77.50501904675764,-51.22741428959063,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-169396,27304.548696844995,False,False,False,False,550379.1165980796,False,False,False,False
2022-01-21 00:00:00+00:00,10.0058671676,10.1700636354,9.8645413602,10.145472808,1938862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,59.16680965015929,-51.22741428959063,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2108258,-130885.2697251435,False,False,False,False,653229.7005537774,False,False,False,False
2022-01-28 00:00:00+00:00,10.012933458,10.012933458,9.4122987763,9.9140053928,1208409,,,,,,,,,,,,,,,,,,,,,,,,,9.812721897433333,,,,9.812721897433333,#000000,,9.812721897433333,,46.51576978976372,-51.22741428959063,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-899849,-187845.54604179953,False,False,False,False,694354.0931053495,False,False,False,False
2022-02-04 00:00:00+00:00,10.2249221692,10.2955850729,9.9493368446,10.0270660387,476488,,,,,,,,,,,,,,,,,,,,,,,,,9.909974602849127,,,,9.909974602849127,#000000,,9.909974602849127,,46.41621164828096,-51.22741428959063,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-423361,-205291.13522388847,False,False,False,False,678215.8639864346,False,False,False,False
2022-02-11 00:00:00+00:00,10.2461210403,10.4934412033,10.1977876141,10.2531873307,465992,,,,,,,,,,,,,,,,,,,,,,,,,9.997171242548143,,,,9.997171242548143,#000000,,9.997171242548143,,46.92778339220769,-51.22741428959063,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,42631,-186926.53261471156,False,False,False,False,662495.5777652173,False,False,False,False
2022-02-18 00:00:00+00:00,10.2965830949,10.4369108804,10.0235328936,10.2673199114,387408,,,,,,,,,,,,,,,,,,,,,,,,,10.036116765869165,,,,10.036116765869165,#000000,,10.036116765869165,,48.59701876044958,-51.22741428959063,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,430039,-141225.38205065887,False,False,False,False,642118.7201529789,False,False,False,False
2022-02-25 00:00:00+00:00,9.7991636217,10.2255231701,9.56466587,10.2113111852,770569,,,,,,,,,,,,,,,,,,,,,,,,,9.99582869444464,,,,9.99582869444464,#000000,,9.99582869444464,,42.521973230601624,-51.22741428959063,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-340530,-155988.6870839434,False,False,False,False,651633.5556972027,False,False,False,False
2022-03-04 00:00:00+00:00,10.0478733583,10.118933283,9.6942081128,9.7067857195,260062,,,,,,,,,,,,,,,,,,,,,,,,,9.992756774172106,,,,9.992756774172106,#000000,,9.992756774172106,,42.44348554393827,-51.22741428959063,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-80468,-150394.5621147624,False,False,False,False,622628.2552751877,False,False,False,False
