date,Open,High,Low,Close,Volume,aVWAP_peak_864,aVWAP_peak_822,aVWAP_peak_798,aVWAP_peak_768,aVWAP_peak_750,aVWAP_peak_724,aVWAP_peak_649,aVWAP_peak_611,aVWAP_peak_555,aVWAP_peak_536,aVWAP_peak_498,aVWAP_peak_444,aVWAP_peak_386,aVWAP_peak_370,aVWAP_peak_313,aVWAP_peak_286,aVWAP_peak_255,aVWAP_peak_216,aVWAP_peak_164,aVWAP_peak_138,aVWAP_peak_109,aVWAP_peak_71,aVWAP_peak_18,aVWAP_valley_884,aVWAP_valley_852,aVWAP_valley_815,aVWAP_valley_774,aVWAP_valley_732,aVWAP_valley_702,aVWAP_valley_689,aVWAP_valley_671,aVWAP_valley_618,aVWAP_valley_586,aVWAP_valley_564,aVWAP_valley_547,aVWAP_valley_522,aVWAP_valley_479,aVWAP_valley_414,aVWAP_valley_372,aVWAP_valley_333,aVWAP_valley_317,aVWAP_valley_283,aVWAP_valley_264,aVWAP_valley_240,aVWAP_valley_187,aVWAP_valley_171,aVWAP_valley_127,aVWAP_valley_96,aVWAP_valley_36,aVWAP_OB_bull_774,aVWAP_OB_bull_671,aVWAP_OB_bull_522,aVWAP_OB_bull_414,aVWAP_OB_bull_294,aVWAP_OB_bear_750,aVWAP_OB_bear_71,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,112.155,114.26,110.725,114.13,56189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,56189.0,False,False,False,False
2025-02-03 16:00:00+00:00,114.0,115.165,113.44,114.67,32121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,32121.0,498.0,False,False,False,False,55815.85271317829,False,False,False,False
2025-02-03 17:00:00+00:00,114.65,114.98,114.12,114.46,15584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,89.85507246376793,14.492753623187738,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16537.0,746.6666666666666,False,False,False,False,55192.10305871041,False,False,False,False
2025-02-03 18:00:00+00:00,114.53,115.69,114.47,115.6,13606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,89.68791903161198,15.323377601439404,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,30143.0,1202.423772609819,False,False,False,False,54547.35727485443,False,False,False,False
2025-02-03 19:00:00+00:00,115.65,115.735,114.53,114.61,24745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,78.00635284178873,15.323377601439404,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5398.0,1267.4714660577288,False,False,False,False,54085.305224081494,False,False,False,False
2025-02-03 20:00:00+00:00,114.58,115.05,114.1,114.43,84759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,68.87789593713637,15.323377601439404,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-79361.0,17.41764487853925,False,False,False,False,54560.86638339806,False,False,False,False
2025-02-04 15:00:00+00:00,117.89,120.465,117.525,119.96,57804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,74.6077035899257,15.323377601439404,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21557.0,-317.0694503908955,False,False,False,False,54611.14752474072,False,False,False,False
2025-02-04 16:00:00+00:00,119.985,119.985,118.99,119.13,30016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,75.32612459737106,15.323377601439404,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-51573.0,-1111.7350403073156,False,False,False,False,54229.827408078076,False,False,False,False
2025-02-04 17:00:00+00:00,119.14,119.19,118.24,119.06,36637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,75.54528400623593,15.323377601439404,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-88210.0,-2462.0957373568144,False,False,False,False,53957.07039399935,False,False,False,False
2025-02-04 18:00:00+00:00,119.02,120.105,118.9,119.655,36142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,76.39983432917322,15.323377601439404,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-52068.0,-3231.1795243745382,False,False,False,False,53680.86775223192,False,False,False,False
