date,Close,High,Low,Open,Volume,aVWAP_peak_218,aVWAP_peak_180,aVWAP_peak_158,aVWAP_peak_99,aVWAP_peak_60,aVWAP_peak_38,aVWAP_peak_11,aVWAP_valley_225,aVWAP_valley_210,aVWAP_valley_191,aVWAP_valley_167,aVWAP_valley_140,aVWAP_valley_101,aVWAP_valley_87,aVWAP_valley_48,aVWAP_valley_31,aVWAP_valley_17,aVWAP_OB_bull_191,aVWAP_OB_bear_60,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-09-13 00:00:00+00:00,23.65,26.08,22.0,23.0,1828036,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1828036.0,False,False,False,False
2024-09-16 00:00:00+00:00,21.65,24.2425,20.515,24.0,246001,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-246001,-9647.098039215685,False,False,False,False,1765995.411764706,False,False,False,False
2024-09-17 00:00:00+00:00,21.5,22.875,20.92,21.98,101382,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-347383,-22891.643214148404,False,False,False,False,1700716.4544406,False,False,False,False
2024-09-18 00:00:00+00:00,21.0,22.45,20.688,21.5,53549,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-400932,-37716.755244966116,False,False,False,False,1636121.6523056745,False,False,False,False
2024-09-19 00:00:00+00:00,21.23,21.98,20.2852,21.17,119525,,,,,,,,,,,,,,,,,,,,,#000000,,,,3.3172633579638573,-46.959175255199796,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-281407,-47273.235431438035,False,False,False,False,1576647.2737838833,False,False,False,False
2024-09-20 00:00:00+00:00,22.55,24.49,21.0,21.26,438199,,,,,,,,,,,,,,,,,,,,,#000000,,,,17.110406339701623,-34.49975326404928,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,156792,-39270.677179224775,False,False,False,False,1532002.2434394173,False,False,False,False
2024-09-23 00:00:00+00:00,22.27,23.0,21.4,22.59,106745,,,,,,,,,,,,,,,,,,,,,#000000,,,,25.075260195080936,-28.080105706644087,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,50047,-35768.02317219636,False,False,False,False,1476109.8025202246,False,False,False,False
2024-09-24 00:00:00+00:00,22.99,23.25,22.12,22.67,106343,,,,,,,,,,,,,,,,,,,,,#000000,,,,34.10935195904644,-20.78426579933204,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,156390,-28232.41442034552,False,False,False,False,1422393.457323353,False,False,False,False
2024-09-25 00:00:00+00:00,23.16,23.75,22.15,23.3,132863,,,,,,,,,,,,,,,,,,,,,#000000,,,,40.87939640137924,-15.649577245470255,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,289253,-15782.00601170452,False,False,False,False,1371823.6354675354,False,False,False,False
2024-09-26 00:00:00+00:00,24.49,25.31,23.05,23.09,154229,,,,,,,,,,,,,,,,,,,,,#000000,,,,49.76043593403594,-8.462927772893991,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,443482,2228.34716522507,False,False,False,False,1324074.8262335144,False,False,False,False
