date,Open,High,Low,Close,Volume,aVWAP_peak_376,aVWAP_peak_374,aVWAP_peak_337,aVWAP_peak_300,aVWAP_peak_299,aVWAP_peak_264,aVWAP_peak_209,aVWAP_peak_159,aVWAP_peak_112,aVWAP_peak_77,aVWAP_valley_424,aVWAP_valley_343,aVWAP_valley_313,aVWAP_valley_263,aVWAP_valley_239,aVWAP_valley_170,aVWAP_valley_143,aVWAP_valley_142,aVWAP_valley_124,aVWAP_valley_123,aVWAP_valley_104,aVWAP_valley_52,aVWAP_OB_bull_239,aVWAP_OB_bull_104,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,0.4307,0.444,0.4307,0.444,1963.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1963.0,False,False,False,False
2023-12-15 17:00:00+00:00,0.4262,0.4363,0.4262,0.4317,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-218.0,-3.37984496124031,False,False,False,False,1935.9457364341083,False,False,False,False
2023-12-18 17:00:00+00:00,0.4126,0.4126,0.4125,0.4125,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-418.0,-9.808064419205577,False,False,False,False,1909.031849047533,False,False,False,False
2023-12-19 17:00:00+00:00,0.4296,0.4399,0.4296,0.43,1900.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,13.172200384711887,-38.145019653759306,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1482.0,13.320742781092182,False,False,False,False,1908.891820380129,False,False,False,False
2023-12-20 17:00:00+00:00,0.459,0.459,0.434,0.434,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,23.813352741543934,-29.358314555693173,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1982.0,43.84290180774192,False,False,False,False,1887.0485363432279,False,False,False,False
2023-12-21 17:00:00+00:00,0.451,0.451,0.4276,0.4298,334.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,29.430510293259154,-25.362852312870178,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1648.0,68.71355449289321,False,False,False,False,1862.9702644619374,False,False,False,False
2023-12-22 17:00:00+00:00,0.4298,0.4603,0.4298,0.4497,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,39.973420752373784,-16.72038339311286,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2048.0,99.40016605114292,False,False,False,False,1840.2885549353957,False,False,False,False
2023-12-25 17:00:00+00:00,0.4497,0.4497,0.4497,0.4497,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.002027725116875,-11.3431675370133,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2048.0,129.61101618988488,False,False,False,False,1811.7569494325214,False,False,False,False
2023-12-26 17:00:00+00:00,0.4497,0.4497,0.4497,0.4497,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,51.6877657069456,-7.849085857534092,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2048.0,159.35348105515797,False,False,False,False,1783.6676944025598,False,False,False,False
2023-12-27 17:00:00+00:00,0.4495,0.4538,0.445,0.4538,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,56.00050522370119,-4.34880626337857,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2954.0,202.68133406205473,False,False,False,False,1770.0604433265512,False,False,False,False
