date,Open,High,Low,Close,Volume,aVWAP_peak_419,aVWAP_peak_334,aVWAP_peak_303,aVWAP_peak_237,aVWAP_peak_201,aVWAP_peak_98,aVWAP_peak_64,aVWAP_valley_426,aVWAP_valley_344,aVWAP_valley_323,aVWAP_valley_265,aVWAP_valley_232,aVWAP_valley_167,aVWAP_valley_132,aVWAP_valley_101,aVWAP_valley_43,aVWAP_valley_24,aVWAP_OB_bull_265,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,62.69,62.985,62.275,62.845,61849.0,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,61849.0,False,False,False,False
2023-12-15 17:00:00+00:00,62.995,63.1,62.375,62.375,52808.0,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-52808.0,-818.7286821705426,False,False,False,False,61708.829457364336,False,False,False,False
2023-12-18 17:00:00+00:00,62.22,62.315,61.985,61.985,32376.0,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-85184.0,-2126.71738477255,False,False,False,False,61254.05690763776,False,False,False,False
2023-12-19 17:00:00+00:00,63.34,63.495,63.165,63.46,56772.0,,,,,,,,,,,,,,,,,,,,#000000,,,,22.419568215723263,-29.822388605849063,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-28412.0,-2534.2411462489445,False,False,False,False,61184.56765325577,False,False,False,False
2023-12-20 17:00:00+00:00,63.38,63.415,62.325,62.405,20717.0,,,,,,,,,,,,,,,,,,,,#000000,,,,29.493161601811646,-24.801328651312915,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-49129.0,-3256.640508322604,False,False,False,False,60557.163503592885,False,False,False,False
2023-12-21 17:00:00+00:00,63.63,63.805,63.405,63.8,28417.0,,,,,,,,,,,,,,,,,,,,#000000,,,,40.655082352703836,-15.897441761578392,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20712.0,-3527.266236875742,False,False,False,False,60058.86639501005,False,False,False,False
2023-12-22 17:00:00+00:00,64.18,64.345,63.955,64.175,18721.0,,,,,,,,,,,,,,,,,,,,#000000,,,,49.2565165545025,-9.339191686529219,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1991.0,-3503.4481556838696,False,False,False,False,59417.96924159904,False,False,False,False
2023-12-25 17:00:00+00:00,64.175,64.175,64.175,64.175,0.0,,,,,,,,,,,,,,,,,,,,#000000,,,,54.99080602236827,-5.14214067692842,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1991.0,-3479.9993470686154,False,False,False,False,58496.760416147896,False,False,False,False
2023-12-26 17:00:00+00:00,64.625,64.78,64.6,64.76,9499.0,,,,,,,,,,,,,,,,,,,,#000000,,,,60.56400718796294,-0.7047743732109382,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7508.0,-3309.6427680442957,False,False,False,False,57737.105215897536,False,False,False,False
2023-12-27 17:00:00+00:00,65.03,65.085,64.59,64.765,39629.0,,,,,,,,,,,,,,,,,,,,#000000,,64.81333333333333,,64.29364861174679,2.375719859040082,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,47137.0,-2527.5242755164772,False,False,False,False,57456.3593985968,False,False,False,False
