date,Close,High,Low,Open,Volume,aVWAP_peak_180,aVWAP_peak_174,aVWAP_peak_161,aVWAP_peak_152,aVWAP_peak_135,aVWAP_peak_125,aVWAP_peak_111,aVWAP_peak_102,aVWAP_peak_89,aVWAP_peak_84,aVWAP_peak_76,aVWAP_peak_58,aVWAP_peak_46,aVWAP_peak_33,aVWAP_valley_189,aVWAP_valley_171,aVWAP_valley_132,aVWAP_valley_122,aVWAP_valley_110,aVWAP_valley_105,aVWAP_valley_96,aVWAP_valley_91,aVWAP_valley_79,aVWAP_valley_70,aVWAP_valley_63,aVWAP_valley_53,aVWAP_valley_41,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_11,aVWAP_OB_bull_189,aVWAP_OB_bull_132,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,104.46,106.76,103.7,103.89,2723054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2723054.0,False,False,False,False
2022-01-07 00:00:00+00:00,89.57,105.5,87.66,104.63,6667726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6667726,-493905.6296296296,False,False,False,False,3015251.925925926,False,False,False,False
2022-01-14 00:00:00+00:00,82.83,95.06,80.31,87.93,5809924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12477650,-1381590.3978052125,False,False,False,False,3222264.672153635,False,False,False,False
2022-01-21 00:00:00+00:00,76.33,82.65,75.87,81.15,4966854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17444504,-2571435.849819641,False,False,False,False,3351493.511253366,False,False,False,False
2022-01-28 00:00:00+00:00,71.87,78.06,67.58,74.17,13152202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30596706,-4647381.786870038,False,False,False,False,4077471.9178271904,False,False,False,False
2022-02-04 00:00:00+00:00,77.21,78.96,71.77,71.77,11449003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,4.776244641208982,-45.484956237607136,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19147703,-5721479.654509295,False,False,False,False,4623511.257247399,False,False,False,False
2022-02-11 00:00:00+00:00,71.85,81.07,71.02,77.06,12420474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.460023072872927,-43.1438475980369,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-31568177,-7636049.828249346,False,False,False,False,5201064.05300685,False,False,False,False
2022-02-18 00:00:00+00:00,66.85,72.69,66.18,71.83,9120254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,8.841916754301595,-42.09044730765014,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-40688431,-10084374.359490136,False,False,False,False,5491374.419450787,False,False,False,False
2022-02-25 00:00:00+00:00,71.85,71.87,62.33,66.26,6899612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.937364524412574,-38.45590390151557,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-33788819,-11840259.14767605,False,False,False,False,5595688.314306284,False,False,False,False
2022-03-04 00:00:00+00:00,66.72,73.98,65.99,71.75,8397257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.068082251634452,-36.77281988451546,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-42186076,-14088097.43303338,False,False,False,False,5803211.920653967,False,False,False,False
