date,Close,High,Low,Open,Volume,aVWAP_peak_161,aVWAP_peak_146,aVWAP_peak_135,aVWAP_peak_124,aVWAP_peak_123,aVWAP_peak_117,aVWAP_peak_104,aVWAP_peak_98,aVWAP_peak_87,aVWAP_peak_66,aVWAP_peak_46,aVWAP_peak_31,aVWAP_peak_23,aVWAP_peak_16,aVWAP_valley_184,aVWAP_valley_176,aVWAP_valley_171,aVWAP_valley_155,aVWAP_valley_151,aVWAP_valley_140,aVWAP_valley_132,aVWAP_valley_125,aVWAP_valley_120,aVWAP_valley_114,aVWAP_valley_102,aVWAP_valley_96,aVWAP_valley_80,aVWAP_valley_74,aVWAP_valley_69,aVWAP_valley_41,aVWAP_valley_26,aVWAP_valley_19,aVWAP_valley_10,aVWAP_OB_bull_41,aVWAP_OB_bear_161,aVWAP_OB_bear_104,aVWAP_OB_bear_87,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,5.61,5.75,5.31,5.65,160246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,160246.0,False,False,False,False
2022-01-07 00:00:00+00:00,5.89,6.0,5.5,5.63,338186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,338186,25050.814814814814,False,False,False,False,173426.74074074073,False,False,False,False
2022-01-14 00:00:00+00:00,5.66,5.925,5.6,5.81,163829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,86.62531498352394,-10.18608257414229,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,174357,36110.53223593964,False,False,False,False,172715.79698216735,False,False,False,False
2022-01-21 00:00:00+00:00,5.4,5.9,5.28,5.56,203596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,71.57339421138823,-10.18608257414229,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-29239,31269.826144388553,False,False,False,False,175003.21942793275,False,False,False,False
2022-01-28 00:00:00+00:00,5.0,5.555,4.98,5.555,385396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,57.19881592517932,-10.18608257414229,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-414635,-1760.1609774180033,False,False,False,False,190587.86984067847,False,False,False,False
2022-02-04 00:00:00+00:00,5.44,5.74,4.96,4.96,192164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.80854984520266,-10.18608257414229,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-222471,-18109.11201612778,False,False,False,False,190704.62022285044,False,False,False,False
2022-02-11 00:00:00+00:00,5.4,5.87,5.3957,5.66,313765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,51.012410445169536,-10.18608257414229,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-536236,-56488.88149641461,False,False,False,False,199820.2039100467,False,False,False,False
2022-02-18 00:00:00+00:00,5.09,5.545,5.09,5.42,549621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,46.57993512070514,-10.18608257414229,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1085857,-132738.37175593944,False,False,False,False,225731.37399078396,False,False,False,False
2022-02-25 00:00:00+00:00,4.86,5.14,4.64,5.14,349813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,42.061059873043405,-10.18608257414229,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1435670,-229251.82569994393,False,False,False,False,234922.6055470222,False,False,False,False
2022-03-04 00:00:00+00:00,4.27,4.91,4.25,4.91,339582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,36.47543736749907,28.195964324434584,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1775252,-343770.3571295777,False,False,False,False,242675.1532842798,False,False,False,False
2022-03-11 00:00:00+00:00,4.68,4.8,4.03,4.23,448540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.503333333333333,,,,,4.503333333333333,#000000,,4.503333333333333,,36.17145952622001,26.183804464814244,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1326712,-416580.84919405344,False,False,False,False,257924.40118914796,False,False,False,False
2022-03-18 00:00:00+00:00,4.44,4.74,4.42,4.74,134882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.510269067673142,,,,,4.510269067673142,#000000,,4.510269067673142,,34.99781574416578,23.141324579633036,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1461594,-493989.2307352347,False,False,False,False,248810.1492492111,False,False,False,False
2022-03-25 00:00:00+00:00,4.31,4.64,4.12,4.44,169612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.475671943984822,,,,,4.475671943984822,#000000,,4.475671943984822,,33.68300259028228,19.871595303091766,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1631206,-578227.5099400321,False,False,False,False,242943.61967519546,False,False,False,False
