date,Open,High,Low,Close,Volume,aVWAP_peak_382,aVWAP_peak_353,aVWAP_peak_259,aVWAP_peak_228,aVWAP_peak_204,aVWAP_peak_153,aVWAP_peak_112,aVWAP_peak_81,aVWAP_peak_35,aVWAP_valley_415,aVWAP_valley_369,aVWAP_valley_343,aVWAP_valley_313,aVWAP_valley_265,aVWAP_valley_239,aVWAP_valley_213,aVWAP_valley_191,aVWAP_valley_174,aVWAP_valley_131,aVWAP_valley_54,aVWAP_valley_37,aVWAP_valley_20,aVWAP_OB_bull_415,aVWAP_OB_bull_239,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,112.995,113.31,111.46,112.18,47596.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,47596.0,False,False,False,False
2023-12-15 17:00:00+00:00,111.41,111.765,110.84,111.27,35040.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-35040.0,-543.2558139534883,False,False,False,False,47401.333333333336,False,False,False,False
2023-12-18 17:00:00+00:00,110.51,111.1,110.08,110.375,52628.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-87668.0,-1894.0270416441317,False,False,False,False,47482.3669250646,False,False,False,False
2023-12-19 17:00:00+00:00,112.46,112.64,110.89,111.67,58059.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.364165659672619,-36.17225090629464,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-29609.0,-2323.7165448744554,False,False,False,False,47646.34573242793,False,False,False,False
2023-12-20 17:00:00+00:00,110.36,110.51,108.89,108.89,33242.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,17.51348166714419,-35.159716439150586,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-62851.0,-3262.124040302758,False,False,False,False,47423.02254277788,False,False,False,False
2023-12-21 17:00:00+00:00,109.91,110.05,109.185,109.88,23651.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,23.488152181068934,-30.403125238176138,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-39200.0,-3819.3004117709324,False,False,False,False,47054.46405374256,False,False,False,False
2023-12-22 17:00:00+00:00,112.19,112.67,111.25,111.265,9232.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,32.103327744427304,-23.273386894671987,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-29968.0,-4224.706606937275,False,False,False,False,46468.06926221166,False,False,False,False
2023-12-25 17:00:00+00:00,111.265,111.265,111.265,111.265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,37.846778119999556,-18.83989279179969,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-29968.0,-4623.827434736697,False,False,False,False,45747.63407985179,False,False,False,False
2023-12-26 17:00:00+00:00,111.38,111.9,110.97,111.85,6663.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,43.41845869686418,-14.396285450677532,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-23305.0,-4913.45801714388,False,False,False,False,45141.67076078432,False,False,False,False
2023-12-27 17:00:00+00:00,113.97,113.97,112.13,112.59,11420.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,112.89666666666666,,49.072241946770674,-9.717257630735197,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11885.0,-5021.543939358704,False,False,False,False,44618.854159841925,False,False,False,False
