date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_174,aVWAP_peak_169,aVWAP_peak_164,aVWAP_peak_160,aVWAP_peak_151,aVWAP_peak_135,aVWAP_peak_124,aVWAP_peak_119,aVWAP_peak_109,aVWAP_peak_98,aVWAP_peak_90,aVWAP_peak_79,aVWAP_peak_70,aVWAP_peak_56,aVWAP_peak_49,aVWAP_peak_41,aVWAP_peak_31,aVWAP_peak_23,aVWAP_peak_14,aVWAP_valley_176,aVWAP_valley_171,aVWAP_valley_167,aVWAP_valley_159,aVWAP_valley_144,aVWAP_valley_141,aVWAP_valley_137,aVWAP_valley_129,aVWAP_valley_120,aVWAP_valley_114,aVWAP_valley_102,aVWAP_valley_92,aVWAP_valley_85,aVWAP_valley_73,aVWAP_valley_64,aVWAP_valley_63,aVWAP_valley_59,aVWAP_valley_51,aVWAP_valley_44,aVWAP_valley_38,aVWAP_valley_29,aVWAP_valley_19,aVWAP_valley_8,aVWAP_valley_4,aVWAP_OB_bull_144,aVWAP_OB_bull_120,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,1.65,1.7,1.44,1.68,2039572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2039572.0,False,False,False,False
2022-01-07 00:00:00+00:00,1.59,1.7,1.5,1.64,501994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-501994,-37184.74074074074,False,False,False,False,1925677.3333333333,False,False,False,False
2022-01-14 00:00:00+00:00,1.59,1.7,1.5,1.59,833182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-501994,-71615.0562414266,False,False,False,False,1844751.7530864198,False,False,False,False
2022-01-21 00:00:00+00:00,1.55,1.7,1.51,1.56,1088075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1590069,-184093.12614946906,False,False,False,False,1788701.6232281665,False,False,False,False
2022-01-28 00:00:00+00:00,1.44,1.62,1.42,1.53,1122599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4933333333333334,,,1.4933333333333334,#000000,,1.4933333333333334,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2712668,-371394.9686569158,False,False,False,False,1739360.6881742284,False,False,False,False
2022-02-04 00:00:00+00:00,1.47,1.6,1.44,1.47,528740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4965352198024353,,,1.4965352198024353,#000000,,1.4965352198024353,,4.023366920334158,-46.19666095812162,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2183928,-505656.67468232947,False,False,False,False,1649685.081642804,False,False,False,False
2022-02-11 00:00:00+00:00,1.5,1.57,1.48,1.48,867485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5034685062023654,,,1.5034685062023654,#000000,,1.5034685062023654,,10.115374143445518,-40.602831288865985,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1316443,-565714.9210021569,False,False,False,False,1591744.334854448,False,False,False,False
2022-02-18 00:00:00+00:00,1.515,1.56,1.48,1.54,843227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5071967136528666,,,1.5071967136528666,#000000,,1.5071967136528666,,15.866513705594262,-35.53640240131318,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-473216,-558863.1490760712,False,False,False,False,1536298.6063467113,False,False,False,False
2022-02-25 00:00:00+00:00,0.97,1.52,0.8662,1.5,4087295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1187333333333334,1.294055260421519,,,1.2063942968774262,#000000,,1.2063942968774262,,13.764253090106564,-34.21555237950942,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4560511,-855281.5084037697,False,False,False,False,1725261.3021728809,False,False,False,False
2022-03-04 00:00:00+00:00,0.99,1.07,0.9,0.99,1392300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0851767620903856,1.2456505698147156,,,1.1654136659525505,#000000,,1.1654136659525505,,12.980990933003142,-34.51494163395925,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3168211,-1026609.6188923793,False,False,False,False,1700597.5020119266,False,False,False,False
2022-03-11 00:00:00+00:00,1.0777,1.12,0.96,1.05,2078155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0762099620698402,1.2089046365558005,,,1.1425572993128204,#000000,,1.1425572993128204,,15.328435410053459,-34.51494163395925,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1090056,-1031309.3508262772,False,False,False,False,1728564.7240851172,False,False,False,False
2022-03-18 00:00:00+00:00,1.08,1.09,0.974951,1.06,1318006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.072067994741556,1.191609424390225,,,1.1318387095658906,#000000,,1.1318387095658906,,17.077291372304636,-36.28779183028773,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,227950,-938030.8803947011,False,False,False,False,1698152.966745479,False,False,False,False
2022-03-25 00:00:00+00:00,1.11,1.1299,1.07,1.07,693006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0743299349001818,1.1868766236793207,,,1.1306032792897511,#000000,,1.1306032792897511,,19.287959031985828,-34.452686529312544,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,920956,-800328.1485136122,False,False,False,False,1623697.6358754435,False,False,False,False
