date,Open,High,Low,Close,Volume,aVWAP_peak_408,aVWAP_peak_381,aVWAP_peak_356,aVWAP_peak_355,aVWAP_peak_337,aVWAP_peak_256,aVWAP_peak_221,aVWAP_peak_220,aVWAP_peak_219,aVWAP_peak_218,aVWAP_peak_163,aVWAP_peak_162,aVWAP_peak_161,aVWAP_peak_160,aVWAP_peak_123,aVWAP_peak_75,aVWAP_peak_57,aVWAP_peak_56,aVWAP_peak_55,aVWAP_valley_397,aVWAP_valley_396,aVWAP_valley_395,aVWAP_valley_394,aVWAP_valley_393,aVWAP_valley_281,aVWAP_valley_264,aVWAP_valley_240,aVWAP_valley_239,aVWAP_valley_165,aVWAP_valley_115,aVWAP_valley_98,aVWAP_valley_48,aVWAP_valley_47,aVWAP_valley_46,aVWAP_valley_45,aVWAP_OB_bull_397,aVWAP_OB_bull_281,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,21.995,22.025,21.95,21.99,2214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,2214.0,False,False,False,False
2023-12-15 17:00:00+00:00,22.03,22.03,21.845,21.855,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-880.0,-13.643410852713178,False,False,False,False,2193.3178294573645,False,False,False,False
2023-12-18 17:00:00+00:00,22.04,22.04,21.85,21.945,4353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,14.285714285714391,-71.42857142857159,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3473.0,40.413076137251366,False,False,False,False,2226.8012739619016,False,False,False,False
2023-12-19 17:00:00+00:00,21.945,21.99,21.945,21.98,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,26.817042606516488,-58.721804511278265,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3773.0,98.28264084830172,False,False,False,False,2196.9283859935,False,False,False,False
2023-12-20 17:00:00+00:00,21.98,21.98,21.89,21.895,1707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,29.959446657791496,-54.359806278664585,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2066.0,128.78988672662263,False,False,False,False,2189.3325970633678,False,False,False,False
2023-12-21 17:00:00+00:00,21.95,21.95,21.88,21.9,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,32.46994681560977,-49.94704574311315,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4088.0,190.1729892579928,False,False,False,False,2186.738293232928,False,False,False,False
2023-12-22 17:00:00+00:00,22.12,22.12,21.87,21.95,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,37.90077431018722,-42.5451746538953,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4522.0,257.33309795166736,False,False,False,False,2159.5640561285413,False,False,False,False
2023-12-25 17:00:00+00:00,21.95,21.95,21.95,21.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,41.521325973238845,-36.80737229801568,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4522.0,323.4519646500911,False,False,False,False,2126.0824428552305,False,False,False,False
2023-12-26 17:00:00+00:00,21.95,21.95,21.95,21.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,43.935027081939936,-32.146852925924605,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4522.0,388.54573264001215,False,False,False,False,2093.119924361351,False,False,False,False
2023-12-27 17:00:00+00:00,21.95,22.14,21.95,22.08,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,52.38112606409404,-22.064124953101732,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4705.0,455.4675042269887,False,False,False,False,2063.5056619681513,False,False,False,False
