date,Open,High,Low,Close,Volume,aVWAP_peak_532,aVWAP_peak_509,aVWAP_peak_479,aVWAP_peak_420,aVWAP_peak_378,aVWAP_peak_319,aVWAP_peak_285,aVWAP_peak_249,aVWAP_peak_234,aVWAP_peak_191,aVWAP_peak_119,aVWAP_peak_77,aVWAP_peak_41,aVWAP_peak_26,aVWAP_valley_564,aVWAP_valley_533,aVWAP_valley_505,aVWAP_valley_450,aVWAP_valley_405,aVWAP_valley_372,aVWAP_valley_331,aVWAP_valley_295,aVWAP_valley_264,aVWAP_valley_240,aVWAP_valley_155,aVWAP_valley_126,aVWAP_valley_90,aVWAP_valley_58,aVWAP_valley_28,aVWAP_OB_bull_564,aVWAP_OB_bull_450,aVWAP_OB_bull_331,aVWAP_OB_bull_264,aVWAP_OB_bull_155,aVWAP_OB_bear_560,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,36.92,37.48,36.795,37.125,14081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,14081.0,False,False,False,False
2025-02-03 16:00:00+00:00,37.12,37.45,37.12,37.245,13013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13013.0,201.75193798449612,False,False,False,False,14064.441860465116,False,False,False,False
2025-02-03 17:00:00+00:00,37.245,37.285,36.9,37.025,6861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,77.55102040816315,-28.57142857142896,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6152.0,294.003845922721,False,False,False,False,13952.760591310618,False,False,False,False
2025-02-03 18:00:00+00:00,37.01,37.1,36.82,36.845,13443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,58.419840377095554,-28.57142857142896,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7291.0,176.40688707120592,False,False,False,False,13944.857326329056,False,False,False,False
2025-02-03 19:00:00+00:00,36.845,37.02,36.69,36.71,10281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,44.025736373317045,-28.57142857142896,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17572.0,-98.7622119531539,False,False,False,False,13888.053336773568,False,False,False,False
2025-02-03 20:00:00+00:00,36.72,36.785,36.455,36.495,23441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,32.884316663684054,-28.57142857142896,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-41013.0,-733.091479984888,False,False,False,False,14036.161036978629,False,False,False,False
2025-02-04 15:00:00+00:00,36.83,37.45,36.83,37.105,16335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,40.13823295630564,-28.57142857142896,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-24678.0,-1104.3303717680678,False,False,False,False,14071.801951133999,False,False,False,False
2025-02-04 16:00:00+00:00,37.105,37.2,36.97,37.13,19856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,45.30996403346454,-28.57142857142896,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4822.0,-1161.9686605778652,False,False,False,False,14161.479440263704,False,False,False,False
2025-02-04 17:00:00+00:00,37.13,37.42,37.08,37.29,5086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,50.79582767754917,-28.57142857142896,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,264.0,-1139.860619328596,False,False,False,False,14020.774332662715,False,False,False,False
2025-02-04 18:00:00+00:00,37.29,37.29,37.08,37.2,11744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,52.80087788912121,-28.57142857142896,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11480.0,-1300.1728577886176,False,False,False,False,13985.475505799728,False,False,False,False
