date,Close,High,Low,Open,Volume,aVWAP_peak_169,aVWAP_peak_160,aVWAP_peak_150,aVWAP_peak_138,aVWAP_peak_133,aVWAP_peak_110,aVWAP_peak_93,aVWAP_peak_86,aVWAP_peak_80,aVWAP_peak_55,aVWAP_peak_50,aVWAP_peak_33,aVWAP_peak_14,aVWAP_valley_170,aVWAP_valley_166,aVWAP_valley_161,aVWAP_valley_157,aVWAP_valley_149,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_120,aVWAP_valley_110,aVWAP_valley_96,aVWAP_valley_85,aVWAP_valley_71,aVWAP_valley_51,aVWAP_valley_39,aVWAP_valley_24,aVWAP_valley_10,aVWAP_OB_bull_170,aVWAP_OB_bull_71,aVWAP_OB_bear_160,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,118.47,122.47,115.53,118.85,492292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,492292.0,False,False,False,False
2022-01-07 00:00:00+00:00,120.62,126.2799,115.66,119.38,1119985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1119985,82961.85185185185,False,False,False,False,538787.7777777778,False,False,False,False
2022-01-14 00:00:00+00:00,118.1,121.31,116.38,119.27,727307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,84.0942562592047,-21.575846833578858,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,392678,105903.78875171467,False,False,False,False,552752.1646090535,False,False,False,False
2022-01-21 00:00:00+00:00,112.71,117.05,109.76,117.05,1205821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,65.63276838446671,-21.575846833578858,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-813143,37826.24884418026,False,False,False,False,601127.6338972718,False,False,False,False
2022-01-28 00:00:00+00:00,109.4,115.31,103.395,110.92,1382831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,50.94633566962759,-21.575846833578858,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2195974,-127640.43625538863,False,False,False,False,659031.5869419184,False,False,False,False
2022-02-04 00:00:00+00:00,99.72,113.37,97.54,108.44,2355929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,38.59474153105702,-21.575846833578858,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4551903,-455363.58912535984,False,False,False,False,784727.6916128873,False,False,False,False
2022-02-11 00:00:00+00:00,100.52,103.785,96.85,99.49,795779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,30.79935850778872,-21.575846833578858,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3756124,-699864.3603012592,False,False,False,False,785546.3070489698,False,False,False,False
2022-02-18 00:00:00+00:00,101.79,104.03,98.7,101.02,1033193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,26.80595005582648,30.832933032531542,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2722931,-849721.1484270919,False,False,False,False,803890.5065268239,False,False,False,False
2022-02-25 00:00:00+00:00,101.1,102.63,95.23,101.37,573771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,23.785713169991627,26.306193972154247,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3296702,-1030978.9892843443,False,False,False,False,786844.6171544665,False,False,False,False
2022-03-04 00:00:00+00:00,96.05,101.69,95.225,99.63,828515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,20.63143625298293,21.350368334126628,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4125217,-1260181.8048929113,False,False,False,False,789931.3121800615,False,False,False,False
2022-03-11 00:00:00+00:00,96.97,99.205,93.58,96.35,744478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.585,,,,96.585,#000000,,96.585,,19.38212522836727,17.997584952871648,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3380739,-1417260.1156415844,False,False,False,False,786564.4001667236,False,False,False,False
2022-03-18 00:00:00+00:00,105.09,105.12,95.166,96.64,857535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.37223377712913,,,,99.37223377712913,#000000,,99.37223377712913,,25.08746307715871,17.997584952871648,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2523204,-1499181.8848533188,False,False,False,False,791821.4816358553,False,False,False,False
2022-03-25 00:00:00+00:00,105.18,106.1699,102.62,104.59,497724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.62485374082563,,,,100.62485374082563,#000000,,100.62485374082563,,29.219264304418495,17.997584952871648,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2025480,-1538166.9304197396,False,False,False,False,770036.4829961624,False,False,False,False
2022-04-01 00:00:00+00:00,107.44,107.96,101.88,104.53,717009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.93201671687825,,,,101.93201671687825,#000000,,101.93201671687825,,33.564869275665174,17.997584952871648,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1308471,-1521152.4170553144,False,False,False,False,766108.5212927429,False,False,False,False
2022-04-08 00:00:00+00:00,98.25,108.37,97.89,107.38,673871,,,,,,,,,,,,,101.50333333333333,,,,,,,,,,,,,,,,101.84925848234471,,,,101.67629590783902,#000000,,101.67629590783902,,33.36589063193217,17.997584952871648,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1982342,-1555314.6083845503,False,False,False,False,759276.1123080953,False,False,False,False
2022-04-15 00:00:00+00:00,95.41,99.34,95.4,98.04,590774,,,,,,,,,,,,,99.26726059091682,,,,,,,,,,,,,,,,101.10632505662898,,,,100.18679282377289,#000000,,100.18679282377289,,32.47886867695961,17.997584952871648,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2573116,-1630707.3040597688,False,False,False,False,746794.4743593476,False,False,False,False
2022-04-22 00:00:00+00:00,97.66,104.7,94.87,95.23,837055,,,,,,,,,,,,,99.19135175651458,,,,,,,,,,,,,,,,100.76090381918733,,,,99.97612778785096,#000000,,99.97612778785096,,33.10223107730624,17.997584952871648,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1736061,-1638511.281536823,False,False,False,False,753480.4392216181,False,False,False,False
2022-04-29 00:00:00+00:00,98.19,102.46,95.64,97.46,770518,,,,,,,,,,,,,99.0765290308744,,,,,,,,,,,,,,,,100.49035121670659,,,,99.78344012379048,#000000,,99.78344012379048,,33.840050394937236,17.189138975971247,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-965543,-1588661.7792007618,False,False,False,False,754742.4807607576,False,False,False,False
2022-05-06 00:00:00+00:00,89.36,99.68,87.43,97.84,2073024,,,,,,,,,,,,,96.175752737682,,,,,,,,,,,,,,,,98.2646420194414,,,,97.22019737856169,#000000,,97.22019737856169,,32.138385971207576,13.313670084145969,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3038567,-1696062.1659266313,False,False,False,False,852392.963667368,False,False,False,False
2022-05-13 00:00:00+00:00,90.74,91.43,85.18,88.15,1105361,,,,,,,,,,,,,94.8861559093091,,,,,,,,,,,,,,,,97.12429949047153,,,,96.00522769989031,#000000,,96.00522769989031,,31.65046665075178,10.70100099137722,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1933206,-1713628.375857992,False,False,False,False,871131.3367290444,False,False,False,False
2022-05-20 00:00:00+00:00,84.1,91.46,82.29,89.87,1003125,,,,,,,,,,,,,93.61532700911253,,,,,,,,,,,,,,,,95.98866819491478,,,,94.80199760201366,#000000,,94.80199760201366,,29.962988792651675,7.025130935142592,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2936331,-1804198.9406092518,False,False,False,False,880908.6451194856,False,False,False,False
2022-05-27 00:00:00+00:00,87.67,87.88,80.11,85.16,778286,,,,,,,,,,,,,92.78106324546066,,,,,,,,,,,,,,,,95.20161846379608,,,,93.99134085462836,#000000,,93.99134085462836,,30.486416929445497,5.631975300494162,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2158045,-1830409.7598233814,False,False,False,False,873306.9677032274,False,False,False,False
2022-06-03 00:00:00+00:00,87.21,88.285,85.65,87.32,670210,,,,,,,,,,,,,92.32916584609706,,,,,,,,,,,,,,,,94.7188525206681,,,,93.52400918338257,#000000,,93.52400918338257,,30.759238547159754,4.05943305086906,False,False,False,True,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-2828255,-1904324.2220586864,False,False,False,False,858262.7478733587,False,False,False,False
2022-06-10 00:00:00+00:00,82.97,88.94,82.88,87.77,948135,,,,,,,,,,,,,91.58682281875923,,,,,,,,,,,,,,,,93.9622637668681,,,,92.77454329281366,#000000,,92.77454329281366,,30.064899535096316,1.6261434534756773,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3776390,-2042995.7611654503,False,False,False,False,864919.9517345914,False,False,False,False
2022-06-17 00:00:00+00:00,75.91,81.6041,74.57,80.71,1066007,,,,,,,,,,,,,90.1448384073833,,,,,,,,,,,,,,,77.36136666666667,92.634991295513,,,,86.71373212318765,#000000,,86.71373212318765,,28.354121871573987,-1.659354534690685,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4842397,-2250358.8158939355,False,False,False,False,879815.2886431401,False,False,False,False
